question,A,B,C,D,answer,reasoning
,,,,,C,Ta có: $\overline{ABC} = 180^0 - (\widehat{BAC} + \widehat{ACB}) = 75^\circ = \widehat{ACB}$. Suy ra tam giác ABC cân tại A nên AB = AC = 4. Diện tích tam giác ABC là $S_{\Delta ABC} = \frac{1}{2} AB \cdot AC \sin \widehat{BAC} = 4$ (đơn vị diện tích)
,,,,,D,Ta có: N\u00f3i chu vi của tam gi\u1ea1c ABC l\u00e0: $p = \frac{21 + 17 + 10}{2} = 24$ (đơn vị độ dài). Do đ\u1ed9 Diện tích tam gi\u1ea1c ABC l\u00e0: $S = \sqrt{p(p - a)(p - b)(p - c)} = \sqrt{24(24 - 21)(24 - 17)(24 - 10)} = 84$ (đơn vị diện tích).
"Tam giác ABC có a = 21, b = 17, c = 10 .Diện tích của tam giác ABC bằng:",S_{ΔABC}=16,S_{ΔABC}=48,S_{ΔABC}=24,S_{ΔABC}=84,D,Ta có: p = (21 + 17 + 10)/2 = 24 (đơn vị độ dài). Do đó Diện tích tam giác ABC là: S = sqrt(p(p - a)(p - b)(p - c)) = sqrt(24(24 - 21)(24 - 17)(24 - 10)) = 84 (đơn vị diện tích).
"Tam giác ABC có $AB=3$, $AC=6$, $widehat{BAC}=60^\circ$. Tính độ dài đường cao kẻ từ đỉnh A xuống cạnh BC của tam giác.",$h=3\sqrt{3}$,$h=\sqrt{3}$,$h=3$,$h=\frac{3}{2}$,C,Ta có: $S_{\Delta ABC}=\frac{1}{2}.AB.AC.sin\widehat{A}=\frac{1}{2}.3.6.sin60^0=\frac{9\sqrt{3}}{2}$ (đơn vị diện tích). Lại có $S_{\Delta ABC}=\frac{1}{2}.BC.h_a \Rightarrow h_a=\frac{2S}{BC}=\frac{2.\frac{9\sqrt{3}}{2}}{3\sqrt{3}}=3$ (đơn vị độ dài).
"Tam giác ABC có AB = 3, AC = 6, BAC = 60°. Tính diện tích tam giác ABC.",S_{ΔABC} = 9√3,S_{ΔABC} = \frac{9√3}{2},S_{ΔABC} = 9,S_{ΔABC} = \frac{9}{2},B,Ta có: S_{ΔABC} = \frac{1}{2}.AB.AC.sinA = \frac{1}{2}.3.6.sin60^0 = \frac{9√3}{2} (đơn vị diện tích)
"Tam giác ABC có $AC=4$, $widehat{ACB}=60^\circ$. Tính độ dài đường cao $h$ xuất phát từ đỉnh $A$ của tam giác.",$h=2\sqrt{3}$,$h=4\sqrt{3}$,$h=2$,$h=4$,A,$h=AC.\sin{\widehat{ACB}}=4.\frac{\sqrt{3}}{2}=2\sqrt{3}$
"Tam giác ABC có a = 21, b = 17, c = 10 . Gọi B’ là hình chiếu vuông góc của B trên cạnh AC. Tính BB’. Tam giác ABC có AB = 8cm, AC = 18cm và có diện tích bằng 64 cm^2. Giá trị sinA bằng:",BB’ = 8,BB’ = 84/5,BB’ = 168/17,BB’ = 84/17,D,Ta có: Nửa chu vi là: p = (21 + 17 + 10)/2 = 24 (đơn vị độ dài). Suy ra S = sqrt(p(p - a)(p - b)(p - c)) = sqrt(24(24 - 21)(24 - 17)(24 - 10)) = 84 (đơn vị diện tích). Lại có S = (1/2) * b * BB’ ⇔ 84 = (1/2) * 17 * BB’ ⇔ BB’ = 168/17 (đơn vị độ dài). Ta có: SΔABC = (1/2) * AB * AC * sinBAC ⇔ 64 = (1/2) * 8 * 18 * sinA ⇔ sinA = 8/9.
"Tam giác ABC có AB = 8cm, AC = 18cm và có diện tích bằng 64 $\mathrm{cm}^2$. Giá trị sinA bằng:",$\sin A = \frac{\sqrt{3}}{2}$,$\sin A = \frac{3}{8}$,$\sin A = \frac{4}{5}$,$\sin A = \frac{8}{9}$,D,$\sin A = \frac{8}{9}$
"Hình bình hành ABCD có $AB=a$, $BC=a\sqrt{2}$ và $\widehat{BAD}=45^{\circ}$. Khi đó hình bình hành có diện tích bằng:",2a^{2},a^{2}\sqrt{2},a^{2},a^{2}\sqrt{3},C,"Diện tích tam giác ABD là: $S_{\Delta ABD} = \frac{1}{2}.AB.AD.sin\widehat{BAD} = \frac{1}{2}.a.a\sqrt{2}.sin45^{\circ} = \frac{a^{2}}{2}$. (BC = AD = a\sqrt{2})
Vậy diện tích hình bình hành ABCD là $S_{ABCD} = 2.S_{\Delta ABD} = 2.\frac{a^{2}}{2} = a^{2}$ (đơn vị diện tích)"
Tam giác ABC vuông tại A có AB = AC = 30cm. Hai đường trung tuyến BF và CE cắt nhau tại G. Diện tích tam giác GFC bằng:,50 cm^{2},50\sqrt{2} cm^{2},75 cm^{2},15\sqrt{105} cm^{2},C,Vì F là trung điểm của AC \Rightarrow FC = \frac{1}{2}AC = 15 cm. Đường thẳng BF cắt CE tại G suy ra G là trọng tâm tam giác ABC. Khi đó: \frac{d(B;AC)}{d(G;AC)} = \frac{BF}{GF} = 3 \Rightarrow d(G;AC) = \frac{1}{3}d(B;AC) = \frac{AB}{3} = 10 cm. Vậy diện tích tam giác GFC là: S_{\Delta GFC} = \frac{1}{2}.d(G;AC).FC = \frac{1}{2}.10.15 = 75 cm^{2}.
Tam giác đều nội tiếp đường tròn bán kính R = 4 cm có diện tích bằng:,13 cm^{2},13 \sqrt{2} cm^{2},12 \sqrt{3} cm^{2},15 cm^{2},C,"Xét tam giác ABC đều, có độ dài cạnh bằng a. Theo định lí sin, ta có: \frac{BC}{sin \widehat{BAC}} = 2R ⇔ \frac{a}{sin 60^{\circ}} = 2.4 ⇔ a = 8. sin 60^{\circ} = 4 \sqrt{3} (đơn vị độ dài)."
"Tam giác ABC có BC = 2√3, AC = 2AB và độ dài đường cao AH = 2. Tính độ dài cạnh AB.",AB = 2,AB = 2√3/3,AB = 2 hoặc AB = 2√21/3,AB = 2 hoặc AB = 2√3/3,C,Nửa chu vi là p = (2√3 + 3AB)/2. Suy ra S = √((3AB + 2√3)/2)((3AB - 2√3)/2)((2√3 - AB)/2)((2√3 + AB)/2). Lại có S = (1/2)BC.AH = 2√3. Từ đó ta có 2√3 = ((3AB + 2√3)/2)((3AB - 2√3)/2)((2√3 - AB)/2)((2√3 + AB)/2).
"Tam giác ABC có BC = a, CA = b, AB = c và có diện tích S. Nếu tăng cạnh BC lên 2 lần đồng thời tăng cạnh AC lên 3 lần và giữ nguyên độ lớn của góc C thì khi đó diện tích của tam giác mới được tạo nên bằng:",2S,3S,4S,6S,D,Diện tích tam giác ABC ban đầu là: $S = \frac{1}{2} . AC . BC . sin(ACB) = \frac{1}{2} . a . b . sin(ACB)$. Khi tăng cạnh BC lên 2 lần và cạnh AC lên 3 lần thì diện tích tam giác ABC lúc này là: $S_{\Delta ABC} = \frac{1}{2} . (3AC) . (2BC) . sin(ACB) = 6 . \frac{1}{2} . AC . BC . sin(ACB) = 6S$.
Tam giác ABC có BC = a và CA = b. Tam giác ABC có diện tích lớn nhất khi góc C bằng:,60^\circ,90^\circ,150^\circ,120^\circ,B,"Diện tích tam giác ABC là: $S_{\triangle ABC} = \frac{1}{2} \cdot AC \cdot BC \cdot sin \widehat{ACB} = \frac{1}{2} \cdot a \cdot b \cdot sin \widehat{ACB}$. Vì a, b dương và $sin \widehat{ACB} \leq 1$ nên suy ra $S_{\triangle ABC} \leq \frac{a \cdot b}{2}$. Dấu $\text{'}=\text{'}$ xảy ra khi và chỉ khi $sin \widehat{ACB} = 1 \Leftrightarrow \widehat{ACB} = 90^\circ$. Vậy giá trị lớn nhất của diện tích tam giác ABC là $S = \frac{a \cdot b}{2}$ (đơn vị diện tích)."
Tam giác cân có cạnh bên bằng a và góc ở đỉnh bằng α thì có diện tích là,$\frac{a^2 cos\alpha}{2}$,$\frac{a^2 sin\alpha}{2}$,$a^2 cos\alpha$,$a^2 sin\alpha$,B,$S = \frac{1}{2}a.b.sinC = \frac{1}{2}.a.a.sin\alpha= \frac{1}{2}a^2 sin\alpha$
