question,A,B,C,D,answer,reasoning
,,,,,A,Khi thay số đúng bởi số quy tròn đến một hàng nào đó thì sai số tuyệt đối của số quy tròn không vượt quá nửa đơn vị của hàng quy tròn. Ta có thể nói độ chính xác của số quy tròn bằng nửa đơn vị của hàng quy tròn.
Xem thêm bài tập trắc nghiệm Toán lớp 10 Chân trời sáng tạo có đáp án hay khác:,,,,,C,"Vì số 73,316 có chữ số hàng phần nghìn là 6 > 5 nên khi làm tròn số 73,316 đến hàng phần trăm, ta được 73,316 \approx 73,32."
"Quy tròn số 73,316 đến hàng phần trăm.","73,3;","73,31;","73,32;","73,317;",C,"Vì số 73,316 có chữ số hàng phần nghìn là 6 > 5 nên khi làm tròn số 73,316 đến hàng phần trăm, ta được 73,316 ≈ 73,32."
"Quy tròn số 0,1352 đến hàng phần mười.","0,1;","0,14;","0,13;","0,135;",A,"Vì số 0,1352 có chữ số hàng phần trăm là 3 < 5 nên khi làm tròn số 0,1352 đến hàng phần mười, ta được 0,1352 \approx 0,1."
Khẳng định nào sau đây là đúng?,Nếu sai số tương đối của phép đo càng lớn thì chất lượng phép đo càng cao;,Nếu sai số tương đối của phép đo càng nhỏ thì chất lượng phép đo càng thấp;,Nếu sai số tương đối của phép đo càng nhỏ thì chất lượng phép đo càng cao;,Không thể biết được chất lượng phép đo thông qua sai số tương đối.,C,Nếu sai số tương đối δa hay \frac{d}{a} càng nhỏ thì chất lượng của phép đo đạc hay tính toán càng cao.
Quy tròn số 214 557 đến hàng nghìn.,214 000,215 000,215,21 400,B,"Số 214 557 có chữ số hàng trăm là 5 ≥ 5 nên khi ta làm tròn số 214 557 đến hàng nghìn, ta được 214 557 ≈ 215 000."
"Quy tròn số 29,556 đến hàng đơn vị.",30,29,"29,5",31,A,"Số 29,556 có chữ số hàng phần mười là 5 ≥ 5 nên khi ta quy tròn số 29,556 đến hàng đơn vị, ta được 29,556 ≈ 30."
Hội chợ Trung thu có có 52 245 người tham dự. Hỏi hội chợ có khoảng bao nhiêu nghìn người?,52,53,"52,2",50,A,"Từ yêu cầu bài toán, ta sẽ làm tròn số 52 245 đến hàng nghìn. Vì số 52 245 có chữ số hàng trăm là 2 < 5 nên khi làm tròn số 52 245 đến hàng nghìn ta được 52 245 ≈ 52 000. Vậy hội chợ Trung thu có khoảng 52 nghìn người tham dự."
Hãy viết số quy tròn của số gần đúng b biết \(\overline{b}\) = 729 816 \(\pm\) 500.,700 000;,729 000;,730 000;,720 000;,C,"Hàng lớn nhất của độ chính xác d = 500 là hàng trăm, nên ta quy tròn b đến hàng nghìn. Vì số 729 816 có chữ số hàng trăm là 8 > 5 nên khi làm tròn số 729 816 đến hàng nghìn ta được 729 816 \(\approx\) 730 000."
"Chiều dài của một sợi dây là l = 13,455 m ± 0,02 m. Quy tròn chiều dài của sợi dây ta được:",13,14,"13,4","13,5",D,"Hàng lớn nhất của độ chính xác d = 0,02 (m) là hàng phần trăm, nên ta quy tròn số 13,455 đến hàng phần mười. Vì số 13,455 có chữ số hàng phần trăm là 5 ≥ 5 nên khi làm tròn số 13,455 đến hàng phần mười ta được 13,455 ≈ 13,5. Vậy quy tròn chiều dài của sợi dây ta được 13,5 m."
"Cho \bar{m} = 2 + \sqrt{3} = 3,7320508... Hãy xác định số gần đúng của \bar{m} với độ chính xác d = 0,0001.","3,73205;","3,73;","3,7321;","3,7320;",C,"Hàng của chữ số khác 0 đầu tiên bên trái của d = 0,0001 là hàng phần chục nghìn. Quy tròn \bar{m} đến hàng phần chục nghìn ta được số gần đúng của \bar{m} là m = 3,7321. Vậy ta chọn đáp án C."
"Quy tròn số \bar{a} = \frac{2}{7} = 0,28571428... đến hàng phần mười và ước lượng sai số tuyệt đối ta được kết quả lần lượt là:","0,3 và 0,01;","0,29 và 0,02;","0,3 và 0,02;","0,29 và 0,01.",C,"Quy tròn số \bar{a} = \frac{2}{7} = 0,28571428... đến hàng phần mười ta được số gần đúng là a = 0,3. Sai số tuyệt đối là: ∆a = \bar{a} - a = 0,0142857.. < 0,02. Vậy ta chọn đáp án C."
"Dung tích của một nồi cơm điện là 1,1 lít ± 0,01 lít. Sai số tương đối của dung tích nồi cơm điện không vượt quá giá trị nào sau đây?","0,4%","0,6%","0,8%",1%,D,"Ta có a = 1,1 (lít) và d = 0,01 (lít). Do đó sai số tương đối là: \delta a \leq \frac{d}{a} = \frac{0,01}{1,1} \approx 0,909\% < 1\%. Ta loại ba đáp án A, B, C vì cả 3 đáp này đều nhỏ hơn 0,909\%. Vậy ta chọn đáp án D."
Quy tròn số 54 739 đến hàng trăm và ước lượng sai số tương đối.,"54 800 và 0,073%","55 000 và 0,06%","54 700 và 0,06%","54 700 và 0,073%",D,"Quy tròn số $\bar{a}$ = 54 739 đến hàng trăm ta được số gần đúng là a = 54 700. ∆$\bar{a}$ = $\bar{a}$ - a = 39 < 40. Khi đó, sai số tương đối là: $δ_a$ = $\frac{Δa}{a}$ = $\frac{40}{54700}$ ≈ 0,073%."
