question,A,B,C,D,answer,reasoning
"Từ bảng dữ liệu đã cho, ta thấy ứng với mỗi thời điểm (ngày) trong bảng đều có một giá trị số lượng sản phẩm bán được duy nhất. Vì vậy bảng trên biểu thị một hàm số. Hàm số đó có tập xác định D = {1; 2; 3; 4; 5; 6; 7}. Vậy ta chọn phương án D.",2,3,1,7,D,"Từ bảng dữ liệu đã cho, ta thấy ứng với mỗi thời điểm (ngày) trong bảng đều có một giá trị số lượng sản phẩm bán được duy nhất. Vì vậy bảng trên biểu thị một hàm số. Hàm số đó có tập xác định D = {1; 2; 3; 4; 5; 6; 7}. Vậy ta chọn phương án D."
Hiển thị đáp án ,,,,,B,"Ta thấy ứng với mỗi thời điểm (tháng) trong bảng, ta đều có một giá trị doanh thu duy nhất. Vì vậy biến số x là tháng và y là doanh thu. Do đó ta có: +) D = {7; 8; 9; 10; 11; 12}; +) T = {30; 35; 28; 40; 50; 70}. Vậy ta chọn phương án B."
Cho bảng dữ liệu sau thống kê về doanh thu mỗi tháng (đơn vị: triệu đồng) của một cửa hàng trong 6 tháng cuối năm 2021:,D = {30; 35; 28; 40; 50; 70} và T = {7; 8; 9; 10; 11; 12},D = {7; 8; 9; 10; 11; 12} và T = {30; 35; 28; 40; 50; 70},D = {7; 8; 9; 10; 11; 12; 30; 35; 28; 40; 50; 70} và T = {7; 8; 9; 10; 11; 12},D = {7; 9; 11} và T = {30; 28; 50},B,"Ta thấy ứng với mỗi thời điểm (tháng) trong bảng, ta đều có một giá trị doanh thu duy nhất. Vì vậy biến số x là tháng và y là doanh thu. Do đó ta có: D = {7; 8; 9; 10; 11; 12} và T = {30; 35; 28; 40; 50; 70}."
Tập giá trị của hàm số cho bằng biểu đồ trên là:,"36,5%; 21,5%; 38,6%; 12,5%; 22,8%",2015; 2016; 2017; 2018; 2019; 2020,"36,5%; 21,5%; 38,6%; 12,5%; 22,8%; 22,8%","2015; 2016; 2017; 2018; 2019; 2020; 36,5%; 21,5%; 38,6%; 12,5%; 22,8%; 22,8%",A,"Ta thấy ứng với mỗi thời điểm (năm) trong biểu đồ, ta đều có một giá trị tốc độ tăng duy nhất. Vì vậy biến số x là năm và y là tốc độ tăng. Do đó ta có tập giá trị T = {36,5%; 21,5%; 38,6%; 12,5%; 22,8%; 22,8%}. Phương án A sai vì không có giá trị 22,8%. Vậy ta chọn phương án C."
Biểu đồ trên có biểu thị cho ta một hàm số không? Nếu có hãy xác định tập giá trị của hàm số đó.,"Biểu đồ trên biểu thị một hàm số. Tập giá trị T = {1,9; 6,46; 10,57; 19,94; 4,08}",Biểu đồ trên biểu thị một hàm số. Tập giá trị T = {2017; 2018; 2019; 2020; Sơ bộ 2021},"Biểu đồ trên biểu thị một hàm số. Tập giá trị T = {1,9; 6,46; 10,57; 19,94; 4,08; 2017; 2018; 2019; 2020; Sơ bộ 2021}",Biểu đồ trên không biểu thị một hàm số.,D,"Hàm số y = f(x) đồng biến trên K nếu ∀x1, x2 ∈ K, x1 < x2 ⇒ f(x1) < f(x2)."
"Hàm số y = f(x) được gọi là đồng biến trên K nếu ∀x1, x2 ∈ K, x1 < x2 ⇒ f(x1) ≤ f(x2);","Hàm số y = f(x) được gọi là nghịch biến trên K nếu ∀x1, x2 ∈ K, x1 < x2 ⇒ f(x1) > f(x2);","Hàm số y = f(x) được gọi là đồng biến trên K nếu ∀x1, x2 ∈ K, x1 < x2 ⇒ f(x1) ≤ f(x2);","Hàm số y = f(x) được gọi là đồng biến trên K nếu ∀x1, x2 ∈ K, x1 < x2 ⇒ f(x1) > f(x2);","Hàm số y = f(x) được gọi là đồng biến trên K nếu ∀x1, x2 ∈ K, x1 < x2 ⇒ f(x1) < f(x2);",B,Khi hàm số nghịch biến (giảm) trên khoảng (a; b) thì đồ thị của nó có dạng đi xuống từ trái sang phải. Do đó ta chọn phương án B.
Khi hàm số nghịch biến trên khoảng (a; b) thì đồ thị của hàm số đó có dạng:,A. Đi xuống từ trái sang phải;,B. Đi lên từ trái sang phải;,C. Đi lên rồi đi xuống từ trái sang phải;,D. Đi xuống rồi đi lên từ trái sang phải;,A,Khi hàm số nghịch biến (giảm) trên khoảng (a; b) thì đồ thị của nó có dạng đi xuống từ trái sang phải.
Đồ thị của hàm số là hình nào trong các hình dưới đây,A. ,B. ,C. ,D. ,C,"Ta thấy trong cả bốn hệ thức trên, đại lượng x đều nhận giá trị thuộc tập số D = ℝ. Ở ba phương án A, B, D, ta thấy với mỗi giá trị x ∈ ℝ, ta đều xác định được một và chỉ một giá trị tương ứng y ∈ ℝ. Do đó các hệ thức ở đáp án A, B, D đều cho ta một hàm số. Ở phương án C, ta thấy hệ thức đã cho không thỏa mãn định nghĩa hàm số. Cụ thể: Với x = 1, ta có y² = 1 + 8 = 9. Nghĩa là, y = 3 hoặc y = –3. Do đó tồn tại một giá trị x = 1 ∈ ℝ, ta xác định được hai giá trị tương ứng y ∈ ℝ là y = 3 hoặc y = –3. Vì vậy hệ thức ở phương án C không cho ta một hàm số y của x."
"Ta thấy trong cả bốn hệ thức trên, đại lượng x đều nhận giá trị thuộc tập số D = ℝ.",2x + y = 3;,y = x² – 5;,y² = x + 8;,y = 3x³ – 3x + 5;,C,"Ta thấy trong cả bốn hệ thức trên, đại lượng x đều nhận giá trị thuộc tập số D = ℝ. • Ở ba phương án A, B, D, ta thấy với mỗi giá trị x ∈ ℝ, ta đều xác định được một và chỉ một giá trị tương ứng y ∈ ℝ. Do đó các hệ thức ở đáp án A, B, D đều cho ta một hàm số. • Ở phương án C, ta thấy hệ thức đã cho không thỏa mãn định nghĩa hàm số. Cụ thể: Với x = 1, ta có y² = 1 + 8 = 9. Nghĩa là, y = 3 hoặc y = –3. Do đó tồn tại một giá trị x = 1 ∈ ℝ, ta xác định được hai giá trị tương ứng y ∈ ℝ là y = 3 hoặc y = –3. Vì vậy hệ thức ở phương án C không cho ta một hàm số y của x. Vậy ta chọn phương án C."
"Tập xác định D của hàm số f(x) có nghĩa khi và chỉ khi x+1≥0, x≠0. Tức là khi x≥−1, x≠0. Vì vậy tập xác định của hàm số này là D = [−1; +∞) {0}.",A. D = ℝ {0},B. D = ℝ {−1; 0},C. D = [−1; +∞) {0},D. D = [−1; +∞},C,"Biểu thức f(x) có nghĩa khi và chỉ khi x+1≥0, x≠0. Tức là khi x≥−1, x≠0. Vì vậy tập xác định của hàm số này là D = [−1; +∞) {0}."
