question,A,B,C,D,answer,reasoning
Hiển thị đáp án ,Mỗi cách sắp xếp n phần tử của tập A theo một thứ tự gọi là một hoán vị các phần tử đó.,Mỗi cách lấy k phần tử của A và sắp xếp chúng theo một thứ tự gọi là một chỉnh hợp chập k của n phần tử đó.,Mỗi tập con gồm k phần tử của A được gọi là một tổ hợp chập k của n phần tử.,Mỗi hoán vị của n phần tử cũng chính là chỉnh hợp chập n của n phần tử đó.,D,Mỗi hoán vị của n phần tử cũng chính là chỉnh hợp chập n của n phần tử đó. Do đó phương án D là phát biểu sai.
Hiển thị đáp án ,1,2,3,4,B,"Ta quy ước: P0 = 0! = 1. Do đó phương án A đúng. Ta có Cn =, với 0 ≤ k ≤ n. Ta có Pn = An n. Do đó phương án B sai. Do đó phương án C đúng. Ta có k!. Cn = k!. n! = An k!. n! = A n k. Do đó phương án D đúng. Vậy ta chọn phương án B."
"Cho n ≥ 1, n ∈ ℤ và 1 ≤ k ≤ n. Phát biểu nào sau đây sai?",12.11.10.9.8.7.6.5.4,4.3.2.1,12.11.10.9,8!,C,Ta có A12=12.11.10.9.
Giá trị của A12 bằng:,12.11.10.9.8.7.6.5.4,4.3.2.1,12.11.10.9,8!,C,Ta có A12 = 12.11.10.9. Do đó ta chọn phương án C.
Số hoán vị của ba phần tử của M là:,4,6,6,7,B,Ta có C\_n0 - C\_n1 + C\_n1 - C\_n0 = 0.
Giá trị của Cn0−Cn1+Cn1−Cn0 bằng:,0,1,n,2n,A,Ta có Cn0−Cn1+Cn1−Cn0=0. Vậy ta chọn phương án A.
Giá trị của C10 7 bằng:,120,604 800,35,720,A,Ta có C10 7 = 10! / (7! . 3!) = 720 / 6 = 120. Vậy ta chọn phương án A.
Một tổ học sinh có 5 nam và 5 nữ xếp thành một hàng dọc thì số các cách xếp khác nhau là:,25,10!,10,40,B,Tổ học sinh có tổng cộng 5 + 5 = 10 học sinh. Mỗi cách xếp khác nhau là một hoán vị của 10 phần tử. Do đó số cách xếp 10 học sinh thành một hàng dọc là: 10! cách xếp.
Một lớp có 30 học sinh. Hỏi có bao nhiêu cách chọn 3 học sinh để làm vệ sinh lớp học trong một ngày?,40 60,900,24 360,90,A,Mỗi cách chọn 3 học sinh để làm vệ sinh lớp học trong một ngày là một tổ hợp chập 3 của 30 phần tử. Do đó số cách phân công 3 học sinh là: $C_{30}^{3} = 4060$. Vậy ta chọn phương án A.
"Từ danh sách gồm 9 học sinh của lớp 10A, bầu ra một ủy ban gồm một chủ tịch, một phó chủ tịch, một thư kí và một ủy viên. Hỏi có bao nhiêu khả năng cho kết quả bầu ủy ban này?",84,126,3024,6561,C,"Mỗi cách chọn 4 học sinh trong 9 học sinh để bầu ra một ban gồm một chủ tịch, một phó chủ tịch, một thư kí và một ủy viên là một chỉnh hợp chập 4 của 9 phần tử. Do đó số khả năng có thể về kết quả bầu uỷ ban này là: $A_9^4=3024$. Vậy ta chọn phương án C."
