question,A,B,C,D,answer,reasoning
Vậy ta chọn phương án A.,3/5,,,,A,sinα = y<sub>M</sub> = 3/5; cosα = x<sub>M</sub> = 4/5
"Các câu hỏi trắc nghiệm Toán lớp 10 sách Chân trời sáng tạo có đáp án, chọn lọc khác:",,,,,C,sin(90° – α) = cosα; tan(90° – α) = cotα. Do đó ta chọn phương án C.
"Với mọi góc α thỏa mãn 0° ≤ α ≤ 180°, ta luôn có sin(90° – α) và tan(90° – α) lần lượt bằng",cotα và cosα,sinα và tanα,cosα và cotα,cosα và tanα,C,sin(90° – α) = cosα và tan(90° – α) = cotα
"Với mọi góc α thỏa mãn 0° ≤ α ≤ 180°, ta luôn có cos(180° – α) bằng:",-cosα,cosα,sinα,tanα,A,cos(180° – α) = –cosα. Do đó ta chọn phương án A.
Giá trị của tan103° bằng:,tan77°,-tan77°,cot77°,-cot77°,B,Ta có tan103° = tan(180° – 77°) = –tan77°. Vậy ta chọn phương án B.
Nếu góc α thỏa mãn 90° ≤ α ≤ 180° thì:,cotα > 0,tanα > 0,cosα > 0,sinα > 0,D,"Khi đó sinα > 0, cosα < 0, tanα < 0, cotα < 0. Do đó ta chọn phương án D."
"Cho tam giác ABC bất kì có BC = a, AC = b và AB = c. Đẳng thức nào đúng?",b^2 = a^2 + c^2 – ac.cosB;,a^2 = b^2 + c^2 + 2bc.cosA;,c^2 = b^2 + a^2 + ab.cosC;,c^2 = b^2 + a^2 – 2ab.cosC.,D,Theo định lí côsin ta có: a^2 = b^2 + c^2 – 2bc.cosA; b^2 = a^2 + c^2 – 2ac.cosB; c^2 = b^2 + a^2 – 2ab.cosC. Do đó phương án D là đúng.
"Cho tam giác ABC bất kì có BC = a, AC = b và AB = c. Gọi h<sub>a</sub>, h<sub>b</sub>, h<sub>c</sub> độ dài các đường cao lần lượt ứng với các cạnh BC, CA, AB. Biết tam giác ABC có diện tích là S. Khẳng định nào sau đây là <strong>đúng</strong>?","h<sub>a</sub> = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mi>S</mi><mi>a</mi></mfrac></math>","h<sub>b</sub> = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>2</mn><mi>S</mi></mrow><mi>b</mi></mfrac><mo>;</mo></math>","h<sub>c</sub> = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mi>S</mi><mrow><mn>2</mn><mi>c</mi></mrow></mfrac><mo>;</mo></math>","h<sub>a</sub> = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>4</mn><mi>S</mi></mrow><mi>a</mi></mfrac><mo>;</mo></math>",B,"h<sub>b</sub> = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>2</mn><mi>S</mi></mrow><mi>b</mi></mfrac><mo>;</mo></math> h<sub>c</sub> = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>2</mn><mi>S</mi></mrow><mi>c</mi></mfrac></math>"
"Cho tam giác ABC bất kì có BC = a, AC = b và AB = c. Gọi R, r lần lượt là bán kính đường tròn ngoại tiếp và nội tiếp tam giác; p, S lần lượt là nửa chu vi và diện tích tam giác. Khẳng định nào sau đây là đúng?",,,,,D,"Theo định lí sin ta có: \frac{a}{\sin A} = 2R. Do đó B sai. Ta có các công thức tính diện tích tam giác như sau: • S = \frac{abc}{4R}. Do đó A sai. • S = pr, suy ra r = \frac{S}{p}. Do đó D đúng."
"Cho tam giác ABC bất kì có BC = a, AC = b và AB = c. Gọi R, r lần lượt là bán kính đường tròn ngoại tiếp và nội tiếp tam giác; p, S lần lượt là nửa chu vi và diện tích tam giác. Khẳng định nào sau đây là đúng?",S = 1/2abc;,a/sinA = R;,cosB = (b^2 + c^2 - a^2)/(2bc);,r = S/p;,D,"Theo hệ quả định lí côsin ta có: cosB = (a^2 + c^2 - b^2)/(2ac); Do đó C sai. Theo định lí sin ta có: a/sinA = 2R; Do đó B sai. Ta có các công thức tính diện tích tam giác như sau: • S = (abc)/(4R); Do đó A sai. • S = pr, suy ra r = S/p. Do đó D đúng."
