question,A,B,C,D,answer,reasoning
,,,,,A,Ta có : $\overrightarrow{m} - \overrightarrow{n}$ = (3 – (– 1)); – 4 – 2) = (4; – 6).
"Cho $\overrightarrow{m} = (– 1; 2)$, $\overrightarrow{n} = (5; – 7)$. Tìm tọa độ của vectơ $2\overrightarrow{m} + \overrightarrow{n}$.",4; – 5,3; – 3,6; 9,– 5; – 14,B,Ta có: $2\overrightarrow{m} = 2(–1; 2) = (–2; 4)$ và $2\overrightarrow{m} + \overrightarrow{n} = (– 2 + 5); 4 – 7) = (3; – 3)$.
"Trong hệ tọa độ Oxy cho $\overrightarrow{k} = (5 ; 2)$, $\overrightarrow{n} = (10 ; 8)$. Tìm tọa độ của vectơ $3\overrightarrow{k} - 2\overrightarrow{n}$.",(15; – 10),(2; 4),(– 5; – 10),(50; 16),C,Ta có: $3\overrightarrow{k} = 3(5 ; 2) = (15 ; 6)$ ; $2\overrightarrow{n} = 2(10 ; 8) = (20 ; 16)$ $\Rightarrow 3\overrightarrow{k} - 2\overrightarrow{n} = (15 – 20 ; 6 – 16) = (– 5; – 10)$.
"Trong hệ tọa độ Oxy cho hai điểm A (2; –3), I(4; 7). Biết I là trung điểm của đoạn thẳng AB. Tìm tọa độ điểm B.",I (6; 4),I (2; 10),I (6; 17),I (8; -21),C,"Gọi điểm B có tọa độ (xB; yB). Vì I là trung điểm của AB nên ta có: xI = (xA + xB)/2 và yI = (yA + yB)/2. Thay số A(2; -3) và I(4; 7) vào công thức trên, ta có: 4 = (2 + xB)/2 và 7 = (-3 + yB)/2. Giải hệ phương trình trên, ta có: xB = 6 và yB = 17. Do đó, tọa độ điểm B là (6; 17)."
"Trong hệ tọa độ Oxy cho tam giác ABC có A (3; 5), B (1; 2), C (5; 2). Tìm tọa độ trọng tâm G của tam giác ABC.",G (–3; –3),G (9/2; 9/2),G (–6; –3),G (3; 3),D,"Gọi toạ độ trọng tâm G (x; y), ta có: G (3; 3)."
"Trong hệ tọa độ Oxy cho tam giác ABC có A (6 ; 1), B (–3 ; 5) và trọng tâm G (–1 ;1). Tìm tọa độ đỉnh C?",C (6 ; – 3),C (– 6 ; 3),C (– 6 ; – 3),C (– 3 ; 6),C,Vì G là trọng tâm tam giác ABC nên : $\overrightarrow{GA} + \overrightarrow{GB} + \overrightarrow{GC} = \overrightarrow{0}$
"Trong hệ tọa độ Oxy cho tam giác ABC có M (2; 3), N (0; –4), P (–1; 6) lần lượt là trung điểm của các cạnh BC, AC, AB. Tìm tọa độ đỉnh A?",A (1 ; 5),A(–3 ; –1),A (–2 ; –7),A (1 ; –10),B,"Gọi toạ độ A (x ; y). Ta có : PA→ = (x + 1; y – 6) và MN→ = (–2; –7) Theo tính chất đường trung bình tam giác, ta có: MN→= 1/2AB→ = PA→ Hay A (–3; –1)."
"Trong hệ tọa độ Oxy cho tam giác ABC có B (9 ; 7), C (11 ; –1). Gọi M, N lần lượt là trung điểm của AB, AC. Tìm tọa độ vectơ MN?",(2 ; – 8),(1 ; – 4),(10 ; 6),(5 ; 3),B,Vì M là trung điểm AB nên ta có : MN = 1/2.BC = 1/2.(2; –8) = (1; –4).
"Trong hệ tọa độ Oxy cho tam giác ABC có C (–2 ; –4), trọng tâm G (0 ; 4) và trung điểm cạnh BC là M (2 ; 0). Tổng hoành độ của điểm A và B là.",–2,2,4,8,B,Vì M là trung điểm BC nên ta có : $\overrightarrow{OM} = \frac{1}{2}(\overrightarrow{OB} + \overrightarrow{OC})$. Vì G là trọng tâm tam giác ABC nên $\overrightarrow{OG} = \frac{1}{3}(\overrightarrow{OA} + \overrightarrow{OB} + \overrightarrow{OC})$. Suy ra $x_A + x_B = 6 + (–4) = 2$.
"Trong hệ tọa độ Oxy cho tam giác ABC có A (– 2 + x ; 2), B (3 ; 5 + 2y), C(x ; 3 – y). Tìm tổng 2x + y với x, y để O (0 ; 0) là trọng tâm tam giác ABC?",-7,-2,-11,-\frac{21}{10},C,"Vì O là trọng tâm tam giác ABC nên, ta có : $\Rightarrow 2.x + y = 2 . \left( - \frac{1}{2} \right) + (-10) = -11$."
"Trong hệ tọa độ Oxy cho tam giác ABC có A (6 ; 1), B ( –3 ; 5) và trọng tâm G (–1 ; 1). Tìm tọa độ đỉnh C?",6 ; –3,–6 ; 3,–6 ; –3,–3 ; 6,C,Gọi toạ độ điểm C (x ; y). Vì G là trọng tâm tam giác ABC nên ta có: $\frac{x+6-3}{3}=-1$ và $\frac{y+1+5}{3}=1$. Hay C (–6; –3).
