question,A,B,C,D,answer,reasoning
,,,,,C,Đường tròn (C) có tâm I(1; –5) và đi qua O(0; 0) nên có bán kính là: R = OI = $\sqrt{1^2 + (-5)^2} = \sqrt{26}$. Suy ra R$^2$ = 26. Vậy phương trình đường tròn (C) là: (x – 1)$^2$ + (y + 5)$^2$ = 26.
,,,,,B,"Phương trình (C) có dạng: x^2 + y^2 – 2ax – 2by + c = 0, với a = –6, b = 7, c = 4. Suy ra tâm I(–6; 7). Ta có R^2 = a^2 + b^2 – c = 36 + 49 – 4 = 81. Vậy phương trình của đường tròn (C) là: (x + 6)^2 + (y – 7)^2 = 81."
Đường tròn (C): x^2 + y^2 + 12x – 14y + 4 = 0 viết được dưới dạng:,(C): (x + 6)^2 + (y – 7)^2 = 9,(C): (x + 6)^2 + (y – 7)^2 = 81,(C): (x + 6)^2 + (y – 7)^2 = 89,(C): (x + 6)^2 + (y – 7)^2 = sqrt(89),B,"Phương trình (C) có dạng: x^2 + y^2 – 2ax – 2by + c = 0, với a = –6, b = 7, c = 4. Suy ra tâm I(–6; 7). Ta có R^2 = a^2 + b^2 – c = 36 + 49 – 4 = 81. Vậy phương trình của đường tròn (C) là: (x + 6)^2 + (y – 7)^2 = 81."
Đường tròn (C) có tâm I(2; –3) và tiếp xúc với trục Oy có phương trình là:,(x + 2)^2 + (y – 3)^2 = 4,(x + 2)^2 + (y – 3)^2 = 9,(x – 2)^2 + (y + 3)^2 = 4,(x – 2)^2 + (y + 3)^2 = 9,C,"Phương trình trục Oy: x = 0. Đường tròn (C) có tâm I(2; –3) và tiếp xúc với trục Oy nên có bán kính là: R = d(I, Oy) = 2. Vậy phương trình đường tròn (C): (x – 2)^2 + (y + 3)^2 = 4."
Tọa độ tâm I và bán kính R của đường tròn (C): $(x – 1)^2 + (y + 3)^2 = 16$ là:,"I(–1; 3), R = 4","I(1; –3), R = 4","I(1; –3), R = 16","I(–1; 3), R = 16",B,"Đường tròn (C) có tâm I(1; –3), bán kính R = $sqrt{16}$ = 4."
Đường tròn (C): x^{2} + y^{2} – 6x + 2y + 6 = 0 có tâm I và bán kính R là:,"I(3; –1), R = 4","I(–3; 1), R = 4","I(3; –1), R = 2","I(–3; 1), R = 2",C,"Phương trình đã cho có dạng: x^{2} + y^{2} – 2ax – 2by + c = 0, với a = 3, b = –1, c = 6. Suy ra tâm I(3; –1). Ta có R^{2} = a^{2} + b^{2} – c = 9 + 1 – 6 = 4. Suy ra R = \sqrt{4} = 2. Vậy đường tròn (C) có tâm I(3; –1), bán kính R = 2."
"Tọa độ tâm I của đường tròn đi qua ba điểm A(0; 4), B(2; 4), C(4; 0) là:",I(0; 0),I(1; 0),I(3; 2),I(1; 1),D,"Gọi M, N lần lượt là trung điểm của AB, BC. Vì M là trung điểm AB nên ta có $x_M = \frac{x_A + x_B}{2} = \frac{0 + 2}{2} = 1$, $y_M = \frac{y_A + y_B}{2} = \frac{4 + 4}{2} = 4$. Suy ra M(1; 4). Tương tự, ta có N(3; 2). Đường trung trực ∆_1 của đoạn thẳng AB đi qua điểm M(1; 4) và có vectơ pháp tuyến $\overrightarrow{AB} = (2; 0)$. Suy ra phương trình ∆_1 là: 2(x – 1) + 0(y – 4) = 0 ⇔ x – 1 = 0. Tương tự, ta có phương trình đường trung trực ∆_2 của đoạn thẳng BC đi qua điểm N(3; 2) và có vectơ pháp tuyến $\overrightarrow{BC} = (2; -4)$ là: 2(x – 3) – 4(y – 2) = 0 ⇔ x – 2y + 1 = 0. Vì IA = IB = IC = R nên I cách đều ba điểm A, B, C. Do đó I nằm trên đường trung trực ∆_1 và I cũng nằm trên đường trung trực ∆_2. Hay I là giao điểm của ∆_1 và ∆_2. Khi đó tọa độ I là nghiệm của hệ phương trình: {x – 1 = 0, x – 2y + 1 = 0} ⇔ {x = 1, y = 1}. Suy ra tọa độ tâm I(1; 1)."
"Trong các phương trình sau, phương trình nào là phương trình của một đường tròn?",4x^{2} + y^{2} – 10x – 6y – 2 = 0,x^{2} + y^{2} – 2x – 8y + 20 = 0,x^{2} + 2y^{2} – 4x – 8y + 1 = 0,x^{2} + y^{2} – 4x + 6y – 12 = 0,D,Phương trình đường tròn có dạng: x^{2} + y^{2} – 2ax – 2by + c = 0 (điều kiện: a^{2} + b^{2} – c > 0).
"Đường tròn (C) đi qua hai điểm A(–1; 2), B(–2; 3) và có tâm I thuộc đường thẳng ∆: 3x – y + 10 = 0. Phương trình đường tròn (C) là:",(x + 3)^2 + (y – 1)^2 = \sqrt{5},(x – 3)^2 + (y + 1)^2 = \sqrt{5},(x – 3)^2 + (y + 1)^2 = 5,(x + 3)^2 + (y – 1)^2 = 5,D,"Giả sử I(a; b) ∈ ∆: 3x – y + 10 = 0. Suy ra 3a – b + 10 = 0 ⇔ b = 3a + 10. Khi đó ta có I(a; 3a + 10). Suy ra \overrightarrow{IA} = \overrightarrow{IB} (= R). ⇔ IA^2 = IB^2 ⇔ (–1 – a)^2 + (–3a – 8)^2 = (–2 – a)^2 + (–3a – 7)^2 ⇔ 4a = –12 ⇔ a = –3. Với a = –3, ta có b = 3a + 10 = 3.(–3) + 10 = 1. Suy ra I(–3; 1). Ta có R^2 = IA^2 = (–1 – a)^2 + (–3a – 8)^2 = [–1 – (–3)]^2 + [–3.(–3) – 8]^2 = 5. Vậy phương trình đường tròn (C): (x + 3)^2 + (y – 1)^2 = 5."
Cho phương trình x^{2} + y^{2} – 2mx – 4(m – 2)y + 6 – m = 0. Điều kiện của m để phương trình đã cho là một phương trình đường tròn là:,m ∈ ℝ;,m ∈ (–∞; 1) ∪ (2; +∞);,m ∈ (–∞; 1) ∪ (2; +∞);,m ∈ (–∞; 1/3) ∪ (2; +∞).,B,5m^{2} – 15m + 10 > 0 ⇔ m < 1 hoặc m > 2.
