question,A,B,C,D,answer,reasoning
"Theo định lí hàm cosin, ta có: B^2 + C^2 = A^2 + B^2 + A^2 - 2.A.B.C.cos(60°) = 3",,,,,D,B^2 + C^2 = A^2 + B^2 + A^2 - 2.A.B.C.cos(60°) = 3
"Gọi M, N lần lượt là trung điểm của AB, BC.",,,,,A,"MN là đường trung bình của ΔABC ⇒ MN = 1/2 AC. Mà MN = 3, suy ra AC = 6. Theo định lí hàm cosin, ta có: A B^2 = A C^2 + B C^2 - 2 A C . B C . cos A C B ⇔ 9^2 = 6^2 + B C^2 - 2 . 6 . B C . cos 60° ⇔ B C^2 - 6 . B C - 45 = 0 ⇔ B C = 3 + 3√6"
"Tam giác ABC có đoạn thẳng nối trung điểm của AB và BC bằng 3, cạnh",B.C = 3 + 3√6;,,AB = 9 và B.C = 3√7;,B.C = (3 + 3√33)/2.,A,"Theo định lí hàm cosin, ta có: A.B^2 = A.C^2 + B.C^2 - 2.A.C.B.cos(C^). Mà A.B = √2, A.C = √3 và C^ = 60°. Suy ra B.C = 3 + 3√6."
"Tam giác ABC có AB = 5, BC = 7, CA = 8. Số đo góc A^ bằng:",,,60°,90°,C,"Theo định lí hàm cosin, ta có: cos A^ = (AB^2 + AC^2 - BC^2) / (2AB * AC) = (25 + 64 - 49) / (2 * 5 * 8) = 1/2. Do đó, A^ = 60°."
Tam giác ABC có AB = 5. Tính độ dài cạnh AC.,5√6/2,5√3,5√2,10,A,"Theo định lí hàm sin, ta có: 5/sin(45°) = AC/sin(60°) ⇒ AC = 5√6/2."
"Tam giác ABC có <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>B</mi><mo>^</mo></mover><mo>=</mo><mn>60</mn><mo>°</mo><mo>,</mo><mtext></mtext><mover><mi>C</mi><mo>^</mo></mover><mo>=</mo><mn>45</mn><mo>°</mo></math> và AB = 5. Tính độ dài cạnh AC.","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>5</mn><msqrt><mn>6</mn></msqrt></mrow><mn>2</mn></mfrac></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>5</mn><msqrt><mn>3</mn></msqrt></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mn>3</mn></msqrt></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>10</mn></math>",A,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>5</mn><msqrt><mn>6</mn></msqrt></mrow><mn>2</mn></mfrac><mo>=</mo><mfrac><mrow><mn>5</mn><msqrt><mn>6</mn></msqrt></mrow><mn>2</mn></mfrac></math>"
"Tam giác ABC có AB = 4, BC = 6, AC = 2√7. Điểm M thuộc đoạn BC sao cho MC = 2MB. Tính độ dài cạnh AM.",4√2,3,2√3,3√2,C,"Theo định lí hàm cosin, ta có: cos B = (AB^2 + BC^2 - AC^2) / (2 * AB * BC) = (16 + 36 - 28) / (2 * 4 * 6) = 1/2. Do MC = 2MB => BM = 1/3 BC = 2. Theo định lí hàm cosin, ta có: AM^2 = AB^2 + BM^2 - 2 * AB * BM * cos B = 16 + 4 - 2 * 4 * 2 * 1/2 = 12 => AM = 2√3"
"Tam giác ABC có A B = 6 − √2, B C = √3, C A = √2. Gọi D là chân đường phân giác trong góc A^. Khi đó góc A^D B^ bằng bao nhiêu độ?",45°,60°,75°,90°,C,"Theo định lí hàm cosin, ta có: cos B^A C^ = (A B^2 + A C^2 - B C^2) / (2 A B . A C) = - 1/2 ⇒ B^A C^ = 120° ⇒ B^A D^ = 60°. Trong Δ A B D có B^A D^ = 60°, A^B D^ = 45° ⇒ A^D B^ = 75°."
"Tam giác ABC có A = 3, A = 6 và A = 60°. Tính bán kính R của đường tròn ngoại tiếp tam giác ABC.",R = 3,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>R</mi><mo>=</mo><msqrt><mn>3</mn></msqrt><mo>;</mo></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>R</mi><mo>=</mo><msqrt><mn>3</mn></msqrt><mo>;</mo></math>",R = 6,C,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>B</mi><msup><mi>C</mi><mn>2</mn></msup><mo>=</mo><mi>A</mi><msup><mi>B</mi><mn>2</mn></msup><mo>+</mo><mi>A</mi><msup><mi>C</mi><mn>2</mn></msup><mo>−</mo><mn>2</mn><mi>A</mi><mi>B</mi><mo>.</mo><mi>A</mi><mi>C</mi><mo>.</mo><mi>cos</mi><mover><mrow><mi>B</mi><mi>A</mi><mi>C</mi></mrow><mo>^</mo></mover></math>"
"Tam giác MPQ vuông tại P. Trên cạnh MQ lấy hai điểm E, F sao cho các góc MPE, EPF, FPQ bằng nhau. Đặt MP = q, PQ = m, PE = x, PF = y. Trong các hệ thức sau, hệ thức nào đúng?",ME = EF = FQ;,M^2E^2 = q^2 + x^2 - xq;,M^2F^2 = q^2 + y^2 - yq;,M^2Q^2 = q^2 + m^2 - 2qm;,C,"Theo định lí hàm cosin, ta có: M^2E^2 = q^2 + x^2 - 2qxcos30°. Theo định lí hàm sin, ta có: M^2F^2 = q^2 + y^2 - 2qycos60°. Khi đó, M^2F^2 = q^2 + y^2 - yq."
