question,A,B,C,D,answer,reasoning
,,,,,C,Khoảng tứ phân vị không bị ảnh hưởng bởi các giá trị rất lớn hoặc rất bé trong mẫu.
,,,,,A,R = x_{n} - x_{1}. Do đó ta chọn đáp án A.
Cho một mẫu dữ liệu đã được sắp xếp theo thứ tự không giảm $x_{1} leq x_{2} leq x_{3} leq ... leq x_{n}$. Khi đó khoảng biến thiên R của mẫu số liệu bằng,R = $x_{n} - x_{1}$,R = $x_{1} - x_{n}$,R = $rac{x_{n} - x_{1}}{2}$,R = $rac{x_{1} - x_{n}}{2}$,A,"Khoảng biến thiên của một mẫu số liệu, kí hiệu là R, là hiệu giữa giá trị lớn nhất và giá trị nhỏ nhất của mẫu số liệu đó, tức là R = $x_{n} - x_{1}$."
Nếu đơn vị của số liệu là kg thì đơn vị của phương sai là:,kg,kg^{2},kg^{3},Không có đơn vị,B,Do đó đơn vị của phương sai bằng bình phương đơn vị của mẫu số liệu. Vậy nếu mẫu số liệu có đơn vị là kg thì phương sai có đơn vị là kg^{2}.
Độ lệch chuẩn là gì?,Độ lệch chuẩn là bình phương của phương sai;,Độ lệch chuẩn là một nửa của phương sai;,Độ lệch chuẩn là căn bậc hai của phương sai;,Độ lệch chuẩn là căn bậc ba của phương sai.,C,"Căn bậc hai của phương sai được gọi là độ lệch chuẩn, kí hiệu là S."
Cho dãy số liệu thống kê sau: 1; 2; 3; 4; 5; 6; 7; 8; 9. Phương sai và độ lệch chuẩn của mẫu số liệu trên lần lượt là,$2\sqrt{15}$ và 60,60 và $2\sqrt{15}$,$\frac{2\sqrt{15}}{3}$ và $\frac{20}{3}$,$\frac{20}{3}$ và $\frac{2\sqrt{15}}{3}$,D,Số trung bình của mẫu số liệu trên là: $\overline{x} = \frac{1}{9}(1+2+3+4+5+6+7+8+9) = 5$. Phương sai là: $S^2 = \frac{1}{n}[(x_1-\overline{x})^2 + (x_2-\overline{x})^2 + ... + (x_n-\overline{x})^2]$. Độ lệch chuẩn là: $S = \sqrt{S^2} = \sqrt{\frac{20}{3}} = \frac{2\sqrt{15}}{3}$.
Một nhà nghiên cứu ghi lại tuổi của 30 bệnh nhân mắc bệnh đau mắt hột như sau: Khoảng biến thiên R của mẫu số liệu trên là:,11,9,13,10,C,"Quan sát bảng số liệu, ta thấy giá trị lớn nhất và giá trị nhỏ nhất lần lượt là 25 và 12. Do đó ta có khoảng biến thiên của mẫu số liệu là: R = 25 – 12 = 13."
Tìm khoảng tứ phân vị ∆Q của mẫu số liệu trên.,0,1,2,3,D,Vì cỡ mẫu n = 30 = 2.15 là số chẵn. Do đó giá trị tứ phân vị thứ hai bằng trung bình cộng của số liệu thứ 15 và số liệu thứ 16. Theo bảng tần số trên thì số liệu thứ 15 và số liệu thứ 16 cùng bằng 1. Do đó ta có Q2 = 1. Ta tìm tứ phân vị thứ nhất là trung vị của nửa mẫu số liệu bên trái Q2. Ta có cỡ mẫu lúc này n = 15 = 2.7 + 1 là số lẻ. Nên giá trị tứ phân vị thứ nhất là số liệu thứ 8. Do đó Q1 = 0. Ta tìm tứ phân vị thứ ba là trung vị của nửa mẫu số liệu bên phải Q2. Ta có cỡ mẫu lúc này n = 15 = 2.7 + 1. Nên giá trị tứ phân vị thứ ba là số liệu thứ 8 tính từ số liệu thứ 16 trở đi. Tức là giá trị tứ phân vị thứ ba là số liệu thứ 23 của mẫu dữ liệu ban đầu. Do đó Q3 = 3. Ta suy ra khoảng tứ phân vị ∆Q = Q3 – Q1 = 3 – 0 = 3.
Số điện năng tiêu thụ của 10 hộ ở một khu dân cư trong một tháng như sau: 165; 85; 65; 65; 70; 50; 45; 100; 45; 100. Khoảng tứ phân vị của mẫu số liệu trên bằng:,48,50,52,54,B,"Sắp xếp mẫu số liệu trên theo thứ tự không giảm, ta được: 45; 45; 50; 65; 65; 70; 85; 100; 100; 165. Vì cỡ mẫu n = 10 là số chẵn, nên giá trị tứ phân vị thứ hai của mẫu số liệu là trung bình cộng của số liệu thứ 5 và số liệu thứ 6. Do đó Q_{2} = (65 + 70) : 2 = 67,5. Tứ phân vị thứ nhất là trung vị của mẫu: 45; 45; 50; 65; 65. Do đó Q_{1} = 50. Tứ phân vị thứ ba là trung vị của mẫu: 70; 85; 100; 100; 165. Do đó Q_{3} = 100. Ta suy ra khoảng tứ phân vị ∆_{Q} = Q_{3} – Q_{1} = 100 – 50 = 50."
"Nhiệt độ của 24 tỉnh thành ở Việt Nam (đơn vị: °C) vào một ngày của tháng 7 được cho trong bảng sau đây:

Khoảng biến thiên R của bảng số liệu trên là:",R = 11,R = 12,R = 13,R = 14,B,"Quan sát bảng số liệu, ta thấy giá trị lớn nhất và giá trị nhỏ nhất lần lượt là 41 và 29.
Do đó ta có khoảng biến thiên của mẫu số liệu là: R = 41 – 29 = 12."
