question,A,B,C,D,answer,reasoning
Mẫu số liệu trên có 10 số (là số chẵn) nên trung vị là số trung bình cộng của hai số liệu đứng ở vị trí thứ 5 và 6.,,,,Trung vị của dãy số liệu trên là số trung bình cộng khối lượng của học sinh thứ 5 và thứ 6.,D,Trung vị của dãy số liệu trên là số trung bình cộng khối lượng của học sinh thứ 5 và thứ 6.
Sắp xếp các số liệu của mẫu trên theo thứ tự không giảm : 5; 7; 17; 19; 23; 24; 39,,,,,C,Mẫu số liệu trên có 7 số nên trung vị là số liệu đứng ở vị trí \frac{7+1}{2} = 4. Vậy M_e = 19.
"Trung tâm kiểm soát bệnh tật thành phố Đà Nẵng công bố số lượng ca nhiễm dương tính tính từ 12 giờ ngày 17/08 đến 12h ngày 18/08/2021 tại các quận Sơn Trà, Thanh Khê, Liên Chiểu, Cẩm Lệ, Hải Châu, Ngũ Hành Sơn và huyện Hoà Vang lần lượt như sau: 17; 24; 7; 23; 39; 19; 5. Tìm trung vị của mẫu số liệu trên.",5,17,19,24,C,Mẫu số liệu trên có 7 số nên trung vị là số liệu đứng ở vị trí 4 = 19.
Tìm tứ phân vị của mẫu số liệu sau:,Q<sub>1</sub> = 210; Q<sub>2</sub> = 230; Q<sub>3</sub> = 250;,Q<sub>1</sub> = 220; Q<sub>2</sub> = 230; Q<sub>3</sub> = 280;,Q<sub>1</sub> = 220; Q<sub>2</sub> = 230; Q<sub>3</sub> = 280;,Q<sub>1</sub> = 200; Q<sub>2</sub> = 250; Q<sub>3</sub> = 280;,B,"Mẫu số liệu trên được sắp xếp theo thứ tự tăng dần như sau: 200 210 220 225 225 235 240 250 270 280. Trung vị của mẫu số liệu trên là: <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>225</mn><mo>+</mo><mn>235</mn></mrow><mn>2</mn></mfrac></math> = 230 ⇒ Q<sub>2</sub> = 230. Nửa dãy phía dưới số 230 (nghĩa là những số nhỏ hơn 230) gồm: 200 210 220 225 225 có trung vị là 220 ⇒ Q<sub>1</sub> = 220. Nửa dãy phía trên số 230 (nghĩa là những số lớn hơn 230) gồm: 235 240 250 270 280 có trung vị là 250 ⇒ Q<sub>3</sub> = 250. Vậy tứ phân vị của mẫu số liệu: Q<sub>1</sub> = 220; Q<sub>2</sub> = 230; Q<sub>3</sub> = 250."
Tính số trung bình cộng của mẫu số liệu trên.,6,7,8,9,A,Số trung bình cộng của mẫu số liệu trên là 6.
Số liệu xuất hiện nhiều nhất trong mẫu số liệu được gọi là:,Số trung bình cộng;,Trung vị;,Tứ phân vị;,Mốt.,B,Số lượng gia đình có 2 con là 12 gia đình (số lượng nhiều nhất trong bảng) nên M<sub>0</sub> = 2
Điểm trung bình của các học sinh dự thi môn toán là bao nhiêu?,15;,"15, 23;","15,50;",16;,B,"= 15,23."
Điểm trung bình của các học sinh dự thi môn toán là bao nhiêu?,15,"15, 23","15,50",16,B,"Điểm trung bình của các học sinh dự thi môn toán là: (9.1 + 10.1 + 11.3 + 12.5 + 13.8 + 14.13 + 15.19 + 16.24 + 17.14 + 18.10 + 19.2) / 100 = 15,23."
Tìm trung vị của bảng số liệu trên.,7,8,"7,5","7,3",C,"Theo bảng số liệu trên; Giá trị ở vị trí thứ 10 là: 7 Giá trị ở vị trí thứ 11 là: 8 Vậy trung vị M<sub style=""box-sizing: border-box; position: relative; line-height: 0; vertical-align: baseline; bottom: -0.25em;"">e</sub> = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>7</mn><mo>+</mo><mn>8</mn></mrow><mn>2</mn></mfrac></math>= 7,5."
Điểm trung bình của cả nhóm gần nhất với số nào dưới đây?,"6,3",7,"5,72","5,73",D,"Điểm trung bình của nhóm học sinh trên là: \frac{1+3+3+4+5+6+7+7+8+9+10}{11} = 5,727272... \approx 5,73."
Số chiếc áo bán ra trong quý I năm 2022 của một cửa hàng được thống kê trong bảng tần số sau: Cửa hàng đó nên nhập về nhiều hơn cỡ áo nào để bán trong quý tiếp theo?,XL;,L;,M;,S.,C,Từ bảng số liệu trên ta có: 127 tương ứng là số áo bán được của size M. Mà 127 là số lượng áo bán được nhiều nhất. Vậy cửa hàng đó nên nhập về nhiều hơn cỡ áo size M để bán trong quý tiếp theo.
"Trong kết quả thống kê điểm môn Tiếng Anh của một lớp có 40 học sinh , điểm thấp nhất là 2 điểm và cao nhất là 10 điểm. Vậy.",Điểm trung bình là 6;,Trung vị là 6;,Cả A và B đều đúng;,Chưa thể kết luận về điểm trung bình và trung vị,A,"Q<sub>1</sub> = 80,5 ; Q<sub>2</sub> = 100,5; Q<sub>3</sub> = 111"
Hãy tìm tứ phân vị của mẫu số liệu trên.,"Q<sub>1</sub> = 80,5 ; Q<sub>2</sub> = 100,5; Q<sub>3</sub> = 111;",Q<sub>1</sub> = 80 ; Q<sub>2</sub> = 100; Q<sub>3</sub> = 111;,"Q<sub>1</sub> = 80,5 ; Q<sub>2</sub> = 100,5; Q<sub>3</sub> = 111,5;",43kg.,A,"Q<sub>1</sub> = 80,5 ; Q<sub>2</sub> = 100,5; Q<sub>3</sub> = 111."
Khối lượng trung bình của 3 nhóm học sinh là:,42kg,"64,5kg","44,3kg",43kg,D,Khối lượng trung bình của 3 nhóm học sinh là: \frac{48.5 + 10.45 + 15.40}{30} = 43(kg).
