question,A,B,C,D,answer,reasoning
Quy ước chọn chiều dương của một đường tròn định hướng là:,Luôn cùng chiều quay kim đồng hồ.,>,Luôn ngược chiều quay kim đồng hồ.,>,B,Quy ước chọn chiều dương của một đường tròn định hướng là luôn ngược chiều quay kim đồng hồ.
Khẳng định nào sau đây là đúng?,\pi rad = 1°.,\pi rad = 60°.,\pi rad = 180°.,\pi rad = \frac{180}{\pi}°.,C,\pi rad tương ứng với 180°.
"Đổi số đo của góc -\frac{3π}{16} rad sang đơn vị độ, phút, giây.",33°45',-29°30',-33°45',-32°55.,C,-\frac{3π}{16} = -\frac{135}{4}° = -33°45'
Cho π < α < \frac{3π}{2}. Khẳng định nào sau đây đúng?,tan\left(\frac{3π}{2} - α\right) < 0.,tan\left(\frac{3π}{2} - α\right) > 0.,tan\left(\frac{3π}{2} - α\right) ≤ 0.,tan\left(\frac{3π}{2} - α\right) ≥ 0.,B,"Ta có π < α < \frac{3π}{2} → 0 < \frac{3π}{2} - α < \frac{π}{2} → sin\left(\frac{3π}{2} - α\right) > 0, cos\left(\frac{3π}{2} - α\right) > 0 → tan\left(\frac{3π}{2} - α\right) > 0."
"Cho bốn cung (trên một đường tròn định hướng): \alpha = -\frac{5\pi}{6}, \beta = \frac{\pi}{3}, \gamma = \frac{25\pi}{3}, \delta = \frac{19\pi}{6}. Các cung nào có điểm cuối trùng nhau?",\alpha và β; γ và δ,β và γ; α và δ,"α, β, γ","β, γ, δ",B,Ta có δ - α = 4π ⇒ hai cung α và δ có điểm cuối trùng nhau. Và γ - β = 8π ⇒ hai cung β và γ có điểm cuối trùng nhau.
Tính giá trị của \cos\left[\frac{\pi}{4} + [2k + 1]\pi\right].,\cos\left[\frac{\pi}{4} + [2k + 1]\pi\right] = -\frac{\sqrt{3}}{2}.,\cos\left[\frac{\pi}{4} + [2k + 1]\pi\right] = -\frac{\sqrt{2}}{2}.,,>,B,Ta có \cos\left[\frac{\pi}{4} + [2k + 1]\pi\right] = \cos\left[\frac{5\pi}{4} + 2k\pi\right] = \cos\left[\frac{5\pi}{4}\right] = -\cos\left[\frac{\pi}{4}\right] = -\frac{\sqrt{2}}{2}.
Tính giá trị biểu thức P = tan 10° . tan 20° . tan 30° ..... tan 80° .,0,1,4,8,B,Áp dụng công thức tan x . tan (90° - x) = tan x . cot x = 1. Do đó P = 1.
Cho \cos{\alpha} = \frac{1}{3}. Khi đó \sin{\alpha - \frac{3\pi}{2}} bằng,-\frac{2}{3}.,-\frac{1}{3}.,\frac{1}{3}.,\frac{2}{3}.,C,Ta có \sin{\alpha - \frac{3\pi}{2}} = \sin{\alpha + \frac{\pi}{2} - 2\pi} = \sin{\alpha + \frac{\pi}{2}} = \cos{\alpha} = \frac{1}{3}.
"Biết A, B, C là các góc của tam giác ABC mệnh đề nào sau đây đúng:",\sin(A+C) = -\sin B.,\cos(A+C) = -\cos B.,\tan(A+C) = \tan B.,\cot(A+C) = \cot B.,B,"Vì A, B, C là ba góc của một tam giác suy ra A+C = π - B. Khi đó sin(A+C) = sin B; cos(A+C) = -cos B; tan(A+C) = -tan B; cot(A+C) = -cot B."
Cho góc \alpha thỏa mãn cot\alpha=\frac{1}{3}. Tính P=\frac{3sin\alpha+4cos\alpha}{2sin\alpha-5cos\alpha}.,P=\frac{-15}{13}.,P=\frac{15}{13}.,P=-13.,P=13.,D,Chia cả tử và mẫu của P cho sin\alpha ta được P=\frac{3+4cot\alpha}{2-5cot\alpha}=\frac{3+\frac{4}{3}}{2-\frac{5}{3}}=\frac{\frac{13}{3}}{\frac{1}{3}}=13
Biểu thức lượng giác \[\left(\sin\left[\frac{π}{2}-x\right]+\sin\left[10π+x\right]\right)^2+\left(\cos\left[\frac{3π}{2}-x\right]+\cos\left[8π-x\right]\right)^2\] có giá trị bằng?,1,2,\frac{1}{2},\frac{3}{4},B,Ta có sin\left[\frac{π}{2}-x\right]=cos x; sin\left[10π+x\right]=sin x. Và cos\left[\frac{3π}{2}-x\right]=-sin x; cos\left[8π-x\right]=cos x. Khi đó ... = 2.
Cho góc \alpha thỏa mãn tan\alpha = -\frac{4}{3} và \frac{2017π}{2} < α < \frac{2019π}{2}. Tính sin\alpha.,sin\alpha = -\frac{3}{5}.,sin\alpha = \frac{3}{5}.,sin\alpha = -\frac{4}{5}.,sin\alpha = \frac{4}{5}.,D,Ta có 1 + tan²α = \frac{1}{cos²α} ⇔ \frac{2017π}{2} < α < \frac{2019π}{2}. Mà cosα = -\frac{3}{5}. Mà tanα = -\frac{4}{3} ⇔ -\frac{4}{3} = \frac{sinα}{-\frac{3}{5}} → sinα = \frac{4}{5}.
Khẳng định nào sai trong các khẳng định sau?,\cos 6a = \cos^{2} 3a \cdot 3a - \sin^{2} 3a \cdot 3a .,\cos 6a = 1 - 2 \sin^{2} 3a .,\cos 6a = 1 - 6 \sin^{2} a .,\cos 6a = 2 \cos^{2} 3a - 1.,C,"Áp dụng công thức \cos 2α = \cos^{2} α - \sin^{2} α = 2 \cos^{2} α - 1 = 1 - 2 \sin^{2} α, ta được \cos 6a = \cos^{2} 3a \cdot 3a - \sin^{2} 3a \cdot 3a = 2 \cos^{2} 3a - 1 = 1 - 2 \sin^{2} 3a"
"Nếu tan(a+b) = 7, tan(a-b) = 4 thì giá trị đúng của tan 2a là",-\frac{11}{27}.,\frac{11}{27},-\frac{13}{27}.,\frac{13}{27},A,Ta có tan 2a = tan([a+b]+[a-b]) = \frac{tan(a+b)+tan(a-b)}{1+tan(a+b).tan(a-b)} = \frac{7+4}{1-7.4} = -\frac{11}{27}.
