question,A,B,C,D,answer,reasoning
"Độ chính xác d = 10^{-10} làm tròn số a = 3,141592653589 chính xác đến chữ số thập phân thứ chín, ta được kết quả là a ≈ 3,141592654.","3,141592654",,,,A,"Độ chính xác d = 10^{-10} làm tròn số a = 3,141592653589 chính xác đến chữ số thập phân thứ chín, ta được kết quả là a ≈ 3,141592654."
"Sử dụng máy tính bỏ túi, hãy viết giá trị gần đúng của <math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mn>3</mn></msqrt></math> chính xác đến hàng phần nghìn.","1,7320","1,732","1,733","1,731",B,"Sử dụng máy tính cầm tay:<math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mn>3</mn></msqrt></math> = 1,73205080757… làm tròn đến hàng phần nghìn ta được kết quả: 1,732."
"Sử dụng máy tính bỏ túi, hãy viết giá trị gần đúng của π² chính xác đến hàng phần nghìn.","9,873","9,870","9,872","9,871",B,"Sử dụng máy tính cầm tay:<math>π²</math>= 9,8696044011… làm tròn đến hàng phần nghìn ta được kết quả: 9,870"
Cho số gần đúng a = 23748023 với độ chính xác d = 101. Hãy viết số quy tròn của số a.,23749000,23748000,23746000,23747000,B,"Độ chính xác d = 101 (hàng trăm), nên ta làm tròn số a = 23748023 đến hàng nghìn, được kết quả là a = 23748000."
Hãy viết số quy tròn của số gần đúng a = 17658 biết a¯ = 17658 ± 16.,17700,17800,17500,17600,A,"Làm tròn số a = 17658 đến hàng trăm, kết quả là: 17700"
"Hãy viết số quy tròn của số gần đúng a = 15,318 biết a¯ = 15,318 ± 0,056.","15,3","15,31","15,32","15,4",C,"a¯ = 15,318 ± 0,056 ⇒ d = 0,056 làm tròn số a = 15,318 chính xác đến hàng của d.10 = 0, 56 (hàng phần trăm), kết quả là: 15,32."
"Cho tam giác ABC có độ dài ba cạnh: a = 12cm ± 0,2cm;b = 10,2cm ± 0,2cm;c = 8cm ± 0,1cm. Tính chu vi P của tam giác đã cho.","P = 30,2cm ± 0,2cm","P = 30,2cm ± 1cm","P = 30,2cm ± 0,5cm","P = 30,2cm ± 2cm",C,"Chu vi tam giác là: P = a + b + c = (12 + 10,2 + 8) ± (0,2 + 0,2 + 0,1)= 30,2 ± 0,5."
"Cho tam giác ABC có độ dài ba cạnh: a = 12cm ± 0,2cm;b = 10,2cm ± 0,2cm;c = 8cm ± 0,1cm. Tính chu vi P của tam giác đã cho.","P = 30,2cm ± 0,2cm",,"P = 30,2cm ± 0,5cm","P = 30,2cm ± 2cm",C,"Chu vi tam giác là: P = a + b + c = (12 + 10,2 + 8) ± (0,2 + 0,2 + 0,1)= 30,2 ± 0,5."
"Một miếng đất hình chữ nhật có chiều rộng x = 43m ± 0,5m và chiều dài y = 63m ± 0,5m. Tính chu vi P của miếng đất đã cho.",P = 212m ± 4m,P = 212m ± 2m,"P = 212m ± 0,5m",P = 212m ± 1m,C,"P = 2.(x + y) = 2.[(43 ± 0,5) + (63 ± 0,5)] = 2. [(43 ± 63) + (0,5 0,5)] = 212 ± 2."
Diện tích của thửa ruộng là:,"345m ± 0, 001m","345m ± 0, 3801m","345m ± 0, 01m","345m ± 0, 3801m",D,"S = x.y = (23 ± 0,01).(15 ± 0,01) = 23.15 ± (23.0,01 + 15.0,01 + 0,01.0,01) = 345 ± 0,3801"
"Cho giá trị gần đúng của 23/7 là 3,28. Sai số tuyệt đối của số 3,28 là:","0,04","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>0</mn><mo>,</mo><mn>04</mn></mrow><mn>7</mn></mfrac></math>","0,06",Đáp án khác,B,"Ta có : <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>23</mn><mn>7</mn></mfrac></math> ≈ 3,28"
Viết chuẩn giá trị gần đúng của C là:,"5,74","5,736","5,737","5,7368",A,"C ≈ 5,74096"
Viết giá trị gần đúng của √10 đến hàng phần trăm (dùng MTBT):,"3,16","3,17","3,10","3,162",A,"Ta có: √10 = 3,16227766. Cần lấy chính xác đến hàng phần trăm nên ta phải lấy 2 chữ số thập phân. Vì đứng sau số 6 ở hàng phần trăm là số 2 < 5 nên theo nguyên lý làm tròn ta được kết quả là 3,16."
