question,A,B,C,D,answer,reasoning
Theo định lí côsin ta có: a² = b² + c² – 2bc.cosA; b² = a² + c² – 2ac.cosB; c² = b² + a² – 2ab.cosC. Do đó phương án D là đúng. Vậy ta chọn phương án D.,2,,,2ac.cosB,D,Theo định lí côsin ta có: a² = b² + c² – 2bc.cosA; b² = a² + c² – 2ac.cosB; c² = b² + a² – 2ab.cosC. Do đó phương án D là đúng. Vậy ta chọn phương án D.
Hiển thị đáp án ,2,a.sinA = b.sinB,c = 2R.sinC,b = 2R.sinB,C,Theo định lí sin ta có: \frac{a}{sinA} = \frac{b}{sinB} = \frac{c}{sinC} = 2R. Do đó A đúng. Ta cũng có hệ quả định lí sin: b = 2R.sinB và c = 2R.sinC. Do đó C sai và D đúng. Vậy ta chọn phương án C.
"Cho tam giác ABC bất kì có BC = a, AC = b và AB = c. Công thức tính diện tích tam giác ABC nào sau đây là đúng:",bc.sinA;,ac.sinA;,bc.sinB;,ab.sinB.,A,Ta có công thức tính diện tích tam giác ABC là: S = 1/2 bc.sinA = 1/2 ac.sinA = 1/2 a.c.sinB = 1/2 a.b.sinC. Do đó ta chọn phương án A.
"Cho tam giác ABC bất kì có BC = a, AC = b và AB = c. Công thức tính diện tích tam giác ABC nào sau đây là đúng:",bc.sinA;,ac.sinB;,bc.sinB;,ac.sinC;,B,S = \frac{1}{2}ah_a = \frac{1}{2}bh_b = \frac{1}{2}ch_c
"Cho tam giác ABC bất kì có BC = a, AC = b và AB = c. Gọi h_a, h_b, h_c độ dài các đường cao lần lượt ứng với các cạnh BC, CA, AB. Biết tam giác ABC có diện tích là S. Khẳng định nào sau đây là đúng?",S = abc;,h_a = 2S/a;,h_b = 2S/b;,r = S/p;,D,"Theo định lí sin ta có: \frac{a}{sinA} = 2R. Do đó B sai. Ta có các công thức tính diện tích tam giác như sau: • S = \frac{abc}{4R}, suy ra r = S/p."
"Cho tam giác ABC bất kì có BC = a, AC = b và AB = c. Gọi R, r lần lượt là bán kính đường tròn ngoại tiếp và nội tiếp tam giác; p, S lần lượt là nửa chu vi và diện tích tam giác. Khẳng định nào sau đây là đúng?",abc,R = a/sin(A);,cos(B) = (b² + c² - a²) / (2bc);,r = S/p;,B,"Theo định lí côsin ta có: c² = a² + b² - 2ab.cosC. Mà C = 120°, nên cosC = 1/2. Do đó c² = a² + b² - 2ab.(1/2) = a² + b² - ab = a² + b² + ab."
"Cho tam giác ABC có BC = a, AC = b và AB = c. Biết C = 120°. Khẳng định nào sau đây là đúng?",c² = a² + b² – ab,c² = a² + b² + ab,c² = a² + b² – 3ab,c² = a² + b² + 3ab,A,Theo hệ quả định lí côsin ta có: cosA > 0. Do đó A < 90°.
Diện tích của tam giác ABC bằng:,16,48,24,84,D,Nửa chu vi của tam giác ABC là: p = \frac{a+b+c}{2} = \frac{21+17+10}{2} = 24. Diện tích tam giác ABC là: S = \sqrt{p(p-a)(p-b)(p-c)} = \sqrt{24(24-21)(24-17)(24-10)} = 84 (đơn vị diện tích). Vậy ta chọn phương án D.
"∆ABC có a = 5, b = 6, c = 7. Bán kính r của đường tròn nội tiếp ∆ABC bằng:",2√6,2,2√6,8,A,Nửa chu vi của ∆ABC là: p = (a+b+c)/2 = 9. Diện tích của ∆ABC là: S = √(p(p-a)(p-b)(p-c)) = 6√6. Ta có S = pr. Vậy ta chọn phương án A.
"∆ABC có AB = 3, AC = 6 và A=60°. Độ dài bán kính R của đường tròn ngoại tiếp ∆ABC bằng:",3,√3,3√3,6,C,"Áp dụng định lí côsin cho ∆ABC, ta có: BC² = AB² + AC² - 2.AB.AC.cosA. Suy ra BC = √27. Áp dụng định lí sin, ta có R = BC/2.sinA = 3√3."
