question,A,B,C,D,answer,reasoning
Phương trình của Elip là \(\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1\) có độ dài trục lớn BB = 2b. Xét E: \(4x^2 + 16y^2 = 1\) \(⇔ \frac{x^2}{\frac{1}{4}} + \frac{y^2}{\frac{1}{16}} = 1\),,,,,D,Vì phương trình của Elip là \(\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1\) có độ dài trục lớn BB = 2b. Xét E: \(4x^2 + 16y^2 = 1\) \(⇔ \frac{x^2}{\frac{1}{4}} + \frac{y^2}{\frac{1}{16}} = 1\)
,,,,,D,"Gọi phương trình của Elip là \frac{x^2}{a^2} + \frac{y^2}{b^2} = 1, có độ dài trục lớn A_1A_2 = 2a. Xét E: x^2 + 4y^2 = 16 ⇔ \frac{x^2}{16} + \frac{y^2}{4} = 1 ⇒ a = 4 ⇒ A_1A_2 = 2.4 = 8."
Elip $E: x^2 + 4y^2 = 16$ có độ dài trục lớn bằng:,1,2,5,8,D,"Gọi phương trình của Elip là $rac{x^2}{a^2} + rac{y^2}{b^2} = 1$, có độ dài trục lớn $A_1A_2 = 2a.$ Xét $E: x^2 + 4y^2 = 16 Leftrightarrow rac{x^2}{16} + rac{y^2}{4} = 1 Leftrightarrow a = 4 Leftrightarrow A_1A_2 = 2.4 = 8.$"
Trong các phương trình dưới đây là phương trình elip?,\frac{x^2}{25} + \frac{y^2}{144} = 1,\frac{x^2}{25} - \frac{y^2}{4} = 1,\frac{y^2}{4} = x,4x^2 + 25y^2 = 1,D,"Xét phương trình E: \frac{x^2}{25} + \frac{y^2}{144} = 1 có dạng phương trình phương trình elip với a = 5, b = 12 nhưng không thỏa mãn a > b. Do đó (E) không là elip. Xét phương trình F: \frac{x^2}{25} - \frac{y^2}{4} = 1 không có dạng của phương trình elip. Xét phương trình G: \frac{y^2}{4} = x không có dạng của phương trình elip. Xét phương trình H: 4x^2 + 25y^2 = 1 có dạng của phương trình elip với a = \frac{1}{2}, b = \frac{1}{5} thỏa mãn \frac{1}{2} > \frac{1}{5} > 0. Do đó D đúng."
Elip $E: \frac{x^2}{36} + \frac{y^2}{9} = 1$ có độ dài trục lớn bằng:,5,12,25,50,B,"Tổng quát: Phương trình của Elip là $\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1$, có độ dài trục lớn $A_1A_2 = 2a$. Xét $E: \frac{x^2}{36} + \frac{y^2}{9} = 1 \Rightarrow A_1A_2 = 2.6 = 12$."
Elip $E: \frac{x^2}{16} + y^2 = 4$ có tổng độ dài trục lớn và trục bé bằng:,5,10,20,40,C,"Phương trình của Elip là $\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1$, có độ dài trục lớn $A_1A_2 = 2a$ và độ dài trục bé là $B_1B_2 = 2b$. Xét $E: \frac{x^2}{16} + y^2 = 4 \Leftrightarrow \frac{x^2}{64} + \frac{y^2}{4} = 1 \Rightarrow A_1A_2 + B_1B_2 = 2.8 + 2.2 = 20$."
Khái niệm nào sau đây định nghĩa về hypebol?,Cho điểm F cố định và một đường thẳng \(\Delta\) cố định không đi qua F. Hypebol (H) là tập hợp các điểm M sao cho khoảng cách từ M đến F bằng khoảng cách từ M đến \(\Delta\);,"Cho \(F_1\), \(F_2\) cố định với \(F_1F_2 = 2c\) (c > 0). Hypebol (H) là tập hợp điểm M sao cho \(MF_1 - MF_2 = 2a\) với a là một số không đổi và a < c;","Cho \(F_1\), \(F_2\) cố định với \(F_1F_2 = 2c\) (c > 0) và một độ dài 2a không đổi (a > c). Hypebol (H) là tập hợp các điểm M sao cho \(MF_1 + MF_2 = 2a\);",Cả ba định nghĩa trên đều không đúng định nghĩa của Hypebol.,B,"Cho \(F_1\), \(F_2\) cố định với \(F_1F_2 = 2c\) (c > 0). Hypebol (H) là tập hợp điểm M sao cho \(MF_1 - MF_2 = 2a\) với a là một số không đổi và a < c;"
Dạng chính tắc của hypebol là?,\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1,\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1,y^2 = 2px,y = px^2,B,\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1
"Cho Hypebol (H) có phương trình chính tắc là \(\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1\), với a, b > 0. Khi đó khẳng định nào sau đây đúng?","Nếu \(c^2 = a^2 + b^2\) thì (H) có các tiêu điểm là \(F_1(c; 0), F_2(-c; 0)\);","Nếu \(c^2 = a^2 + b^2\) thì (H) có các tiêu điểm là \(F_1(0; c), F_2(0; -c)\);","Nếu \(c^2 = a^2 - b^2\) thì (H) có các tiêu điểm là \(F_1(c; 0), F_2(-c; 0)\);","Nếu \(c^2 = a^2 - b^2\) thì (H) có các tiêu điểm là \(F_1(0; c), F_2(0; -c)\);",A,"Nếu \(c^2 = a^2 + b^2\) thì (H) có các tiêu điểm là \(F_1(c; 0), F_2(-c; 0)\);"
"Cho Hypebol (H) có phương trình chính tắc là \(\frac{x^2}{4} - \frac{y^2}{9} = 1\), với a, b > 0. Khi đó khẳng định nào sau đây đúng về tỉ số \(\frac{c}{a}\)?",\(\frac{c}{a} = \frac{13}{2}\),\(\frac{c}{a} = \frac{\sqrt{13}}{3}\),\(\frac{c}{a} = \frac{\sqrt{13}}{2}\),\(\frac{c}{a} = -\frac{13}{2}\),C,Xét phương trình hypebol \(\frac{x^2}{4} - \frac{y^2}{9} = 1\). Khi đó \(c^2 = a^2 + b^2 = 2^2 + 3^2 = 13\) \(\Rightarrow\) \(c = \sqrt{13}\) \(\Rightarrow\) \(\frac{c}{a} = \frac{\sqrt{13}}{2}\).
