question,A,B,C,D,answer,reasoning
"Xét đáp án A: 1 + (– 1) – 3 = – 3 < 0, đáp án A sai.
Đáp án B: – 1 – (– 1) = 0, đáp án B sai.
Đáp án C: 1 + 3.( – 1) + 1= – 1 < 0, đáp án C đúng.
Đáp án D: – 1 – 3(– 1) – 1 = 1 > 0, đáp án D sai.","1 + (– 1) – 3 = – 3 < 0, đáp án A sai.","– 1 – (– 1) = 0, đáp án B sai.","1 + 3.( – 1) + 1= – 1 < 0, đáp án C đúng.","– 1 – 3(– 1) – 1 = 1 > 0, đáp án D sai.",C,1 + 3.( – 1) + 1= – 1 < 0
Hiển thị đáp án,,2,,0,B,"Xét đáp án A: – 5 – 4.0 + 5 = 0, vậy (– 5; 0) là nghiệm của bất phương trình, đáp án A sai. Đáp án B: – 2 – 4.1 + 5 = – 1 < 0, vậy (– 2; 1) không là nghiệm của bất phương trình, đáp án B đúng. Đáp án C: 1 – 4.( – 3) + 5 = 18 > 0, vậy (1; – 3) là nghiệm của bất phương trình, đáp án C sai. Đáp án D: 0 – 4.0 + 5 = 5 > 0, vậy (0; 0) là nghiệm của bất phương trình, đáp án D đúng."
"Trong các cặp số sau đây, cặp nào không là nghiệm của bất phương trình 2x + y < 1",(– 2; 1),(3; – 7),(0; 1),(0; 0),C,"Xét đáp án A: 2.( – 2) + 1 = – 3 < 1, đáp án A đúng. Đáp án B: 2.3 + (– 7) = – 1 < 1, đáp án B đúng. Đáp án C: 2.0 + 1 = 1, đáp án C sai. Đáp án D: 2.0 + 0 = 0 < 1, đáp án D đúng."
Nửa mặt phẳng là miền nghiệm của bất phương trình – x + 2 + 2(y – 2) < 2(1 – x) không chứa điểm nào trong các điểm sau:,– 2x + y ≥ 0,2x + y ≥ 0,– 2x – y ≥ 1,x + 2y ≥ 0,A,Giả sử đường thẳng (d) chia mặt phẳng tọa độ thành hai nửa mặt phẳng có dạng: y = 2x. Dễ dàng nhận thấy đường thẳng (d) đi qua hai điểm có tọa độ là (0; 0) và (1; 2). Ta có hệ phương trình 0 = a.0 + b và 2 = a.1 + b ⇔ a = 2 và b = 0 ⇒ y = 2x. Vậy đường thẳng có phương trình – 2x + y = 0. Xét điểm A(0; 2) thay vào phương trình đường thẳng ta được: – 2.0 + 2 = 2 > 0. Vì điểm A(0; 2) thuộc miền nghiệm của bất phương trình. Vậy phần tô đậm biểu diễn miền nghiệm của bất phương trình – 2x + y ≥ 0 (kể cả đường thẳng d) Đáp án A đúng.
Phần nửa mặt phẳng tô đậm (không kể đường thẳng ∆) trong hình vẽ dưới đây biểu diễn miền nghiệm của bất phương trình nào?,x + y > 2,x - 2y > 2,x + y > -2,x - 2y > -2,C,"Giả sử đường thẳng (∆) chia mặt phẳng tọa độ thành hai nửa mặt phẳng có dạng: y = ax + b. Dễ dàng nhận thấy đường thẳng (∆) đi qua hai điểm có tọa độ là (– 2; 0) và (0; – 2). Ta có hệ phương trình <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced close="""" open=""{""><mtable columnalign=""left""><mtr><mtd><mn>0</mn><mo>=</mo><mi>a</mi><mo>.</mo><mo>(</mo><mo>−</mo><mn>2</mn><mo>)</mo><mo>+</mo><mi>b</mi></mtd></mtr><mtr><mtd><mo>−</mo><mn>2</mn><mo>=</mo><mi>a</mi><mn>.0</mn><mo>+</mo><mi>b</mi></mtd></mtr></mtable></mfenced><mo>⇔</mo><mfenced close="""" open=""{""><mtable columnalign=""left""><mtr><mtd><mi>a</mi><mo>=</mo><mo>−</mo><mn>1</mn></mtd></mtr><mtr><mtd><mi>b</mi><mo>=</mo><mo>−</mo><mn>2</mn></mtd></mtr></mtable></mfenced></math>⇒ y = – x – 2. Vậy đường thẳng có phương trình x + y = – 2. Xét điểm O(0; 0) thay vào phương trình đường thẳng ta được 0 + 0 = 0 > – 2. Vì O(0; 0) thuộc miền nghiệm của bất phương trình. Vậy phần tô đậm biểu diễn miền nghiệm của bất phương trình x + y > – 2 (không kề đường thẳng ∆). Đáp án C đúng."
Phần nữa mặt phẳng không bị gạch (không kể đường thẳng d) ở hình dưới đây là miền nghiệm của bất phương trình nào?,2x – y > – 4,– x + 2y > 2,2x – y > 2,– x + 2y > – 4,D,"Giả sử đường thẳng (d) chia mặt phẳng tọa độ thành hai nửa mặt phẳng có dạng: y = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>2</mn></mfrac></math>x – 2. Dễ dàng nhận thấy đường thẳng (d) đi qua hai điểm có tọa độ là (4; 0) và (0; – 2). Ta có hệ phương trình... Vậy đường thẳng có phương trình – x + 2y = – 4. Xét điểm O(0; 0) thay vào phương trình đường thẳng ta có: – 0 + 2.0 = 0 > – 4. Vì O(0; 0) thuộc miền nghiệm của bất phương trình. Vậy phần nửa mặt phẳng không bị gạch biểu diễn miền nghiệm của bất phương trình – x + 2y > – 4"
Phần nữa mặt phẳng không bị gạch (không kể đường thẳng d) ở hình dưới đây là miền nghiệm của bất phương trình nào?,2x + y > 1,2x + y > -1,x + 2y > 1,x + 2y > -1,A,"Giả sử đường thẳng (d) chia mặt phẳng tọa độ thành hai nửa mặt phẳng có dạng: y = ax + b. Dễ dàng nhận thấy đường thẳng (d) đi qua hai điểm có tọa độ là \frac{1}{2}; 0 và (0; 1). Ta có hệ phương trình 0 = \frac{1}{2}.a + b và 1 = a.0 + b. Từ đó, a = -2 và b = 1. Vậy đường thẳng có phương trình 2x + y = 1. Xét điểm O(0; 0) thay vào phương trình đường thẳng ta có: 2.0 + 0 = 0 < 1. Vì O(0; 0) không thuộc miền nghiệm của bất phương trình. Vậy phần nửa mặt phẳng không bị gạch biểu diễn miền nghiệm của bất phương trình 2x + y > 1"
"Miền nghiệm của bất phương trình x + y ≤ 2 là phần tô đậm của hình vẽ nào, trong các hình vẽ sau (kể cả bờ)?",A,,,,A,Xét đường thẳng x + y – 2 = 0 đi qua 2 điểm A(2; 0) và B(0; 2). Lấy điểm O(0; 0) ta có: 0 + 0 = 0 &lt; 2. Vậy miền nghiệm của bất phương trình x + y ≤ 2 là phần tô đậm ở đáp án A.
Cho bất phương trình 3x + 2 + 2(y – 2) < 2(x + 1) miền nghiệm của bất phương trình không chứa điểm nào sau đây?,A. (0; 0),B. (1; 1),C. (1; – 1),D. (4; 2),D,"Xét đáp án A ta có: 0 + 2.0 – 4 < 0 thoả mãn bất phương trình x + 2y – 4 < 0, vậy điểm (0; 0) thuộc miền nghiệm. Xét đáp án B ta có: 1 + 2.1 – 4 < 0 thoả mãn bất phương trình x + 2y – 4 < 0, vậy điểm (1; 1) thuộc miền nghiệm. Xét đáp án C ta có: 0 + 2.(–1) – 4 < 0 thoả mãn bất phương trình x + 2y – 4 < 0, vậy điểm (1; – 1) thuộc miền nghiệm. Xét đáp án D ta có: 4 + 2.2 – 4 > 0 không thoả mãn bất phương trình x + 2y – 4 < 0, vậy điểm (4; 2) không thuộc miền nghiệm."
Cho bất phương trình 3x + 2 + 2(y – 2) < 2(x + 1) miền nghiệm của bất phương trình không chứa điểm nào sau đây?,0; 0,1; 1,1; – 1,4; 2,D,"Xét đáp án D ta có: 4 + 2.2 – 4 > 0 không thoả mãn bất phương trình x + 2y – 4 < 0, vậy điểm (4; 2) không thuộc miền nghiệm"
