question,A,B,C,D,answer,reasoning
Để chỉ 5 là phần tử của tập hợp ℕ (tập hợp số tự nhiên). Ta viết 5 ∈ ℕ (đọc là 5 thuộc tập hợp số tự nhiên).,2,5,,,B,5 ∈ ℕ (đọc là 5 thuộc tập hợp số tự nhiên). Do đó ta chọn phương án B.
Mệnh đề,,,x + 2 \\(2x + 3) = 0,,C,x + 2 \(2x + 3) = 0
Kí hiệu nào sau đây là để chỉ không phải là số hữu tỉ?,∅,∅ ⊂ A,A ⊂ A,∅ ⊂ ∅,A,"Phương án A sai vì A là tập hợp, ∅ là tập rỗng. Mà kí hiệu giữa hai tập hợp ta không dùng “∈”. Phương án B và D đúng vì tập rỗng là tập con của mọi tập hợp. Phương án C đúng vì mọi tập hợp đều có tập con là chính nó. Vậy ta chọn phương án A."
Cho hai tập hợp M và N. Hình nào sau đây minh họa M là tập con của N?,"A. <img alt=""Trắc nghiệm Tập hợp có đáp án - Toán lớp 10 Chân trời sáng tạo (ảnh 1)"" height=""80"" src=""https://vietjack.me/storage/uploads/images/1179/26-1658329648.jpg"" width=""173""/>","B. <img alt=""Trắc nghiệm Tập hợp có đáp án - Toán lớp 10 Chân trời sáng tạo (ảnh 1)"" height=""85"" src=""https://vietjack.me/storage/uploads/images/1179/27-1658329675.jpg"" width=""168""/>","C. <img alt=""Trắc nghiệm Tập hợp có đáp án - Toán lớp 10 Chân trời sáng tạo (ảnh 1)"" height=""98"" src=""https://vietjack.me/storage/uploads/images/1179/28-1658329694.jpg"" width=""160""/>","D. <img alt=""Trắc nghiệm Tập hợp có đáp án - Toán lớp 10 Chân trời sáng tạo (ảnh 1)"" height=""97"" src=""https://vietjack.me/storage/uploads/images/1179/29-1658329716.jpg"" width=""142""/>",C,"Theo đề, ta có quan hệ bao hàm: M là tập con của N hay M ⊂ N. Nên khi vẽ biểu đồ Ven, ta sẽ vẽ đường cong kín biểu diễn tập hợp M nằm gọn trong đường cong kín biểu diễn tập hợp N. Ta thấy chỉ có biểu đồ ở phương án C thỏa mãn yêu cầu."
Cho hai tập hợp M và N. Hình nào sau đây minh họa M là tập con của N?,–3; 1,[–3; 1],[–3; 1),,D,"Ta thấy A là một tập con của tập số thực ℝ. Do đó ta có thể dùng kí hiệu đoạn, khoảng, nửa khoảng để biểu diễn tập hợp A. Ta thấy tập hợp A có dạng: {x ∈ ℝ | a < x < b}, với a = –3; b = 1. Do đó ta có thể sử dụng kí hiệu khoảng (a; b) để biểu diễn tập hợp A. Vậy ta có biểu diễn tập hợp A như sau: A = (–3; 1)."
Cho tập hợp A = {x ∈ ℝ | –3 < x < 1}. Tập A là tập nào sau đây?,A. (–3; 1),B. [–3; 1],C. [–3; 1),D. (–3; 1),A,"Tập hợp (1; 4] là tập hợp gồm các số thực sao cho 1 < x ≤ 4. Tập hợp (1; 4] có dạng nửa khoảng (a; b], với a = 1, b = 4. Do đó khi biểu diễn tập hợp (1; 4] trên trục số, ta thu được hình vẽ: <img alt=""Trắc nghiệm Tập hợp có đáp án - Toán lớp 10 Chân trời sáng tạo (ảnh 1)"" height=""49"" src=""https://vietjack.me/storage/uploads/images/1179/30-1658330065.jpg"" width=""219""/>  Vậy ta chọn phương án A."
Hình vẽ nào sau đây (phần không bị gạch) minh họa cho tập hợp (1; 4]?,"A. <img src=""https://vietjack.me/storage/uploads/images/1179/30-1658329957.jpg"" width=""219""/>","B. <img src=""https://vietjack.me/storage/uploads/images/1179/31-1658329974.jpg"" width=""223""/>","C. <img src=""https://vietjack.me/storage/uploads/images/1179/32-1658329992.jpg"" width=""224""/>","D. <img src=""https://vietjack.me/storage/uploads/images/1179/33-1658330013.jpg"" width=""215""/>",A,"Tập hợp (1; 4] là tập hợp gồm các số thực sao cho 1 < x ≤ 4. Tập hợp (1; 4] có dạng nửa khoảng (a; b], với a = 1, b = 4. Do đó khi biểu diễn tập hợp (1; 4] trên trục số, ta thu được hình vẽ: <img src=""https://vietjack.me/storage/uploads/images/1179/30-1658330065.jpg"" width=""219""/>. Vậy ta chọn phương án A."
Tập hợp X = {2; 7} có bao nhiêu phần tử?,4,3,2,Vô số,C,Tập hợp X gồm có 2 phần tử là 2 và 7.
"Cho A = {1; 2; 3}. Trong các khẳng định sau, khẳng định nào sai?",∅,1 ∈ A,{1; 2} ⊂ A,2 = A,D,"Phương án D sai vì 2 không phải là tập hợp A, 2 là phần tử của A."
"Cho bốn tập hợp E, F, G, K thỏa mãn E ⊂ F, F ⊂ G và G ⊂ K. Khẳng định nào sau đây đúng?",G ⊂ F,G ⊂ K,E = F = G,E ⊂ K,D,"Ta có: E ⊂ F, F ⊂ G và G ⊂ K. Do đó E ⊂ K."
