question,A,B,C,D,answer,reasoning
"Ta có : <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>a</mi><mo>→</mo></mover><mo>=</mo><mo>−</mo><mover><mi>b</mi><mo>→</mo></mover></math>. Do đó, <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>a</mi><mo>→</mo></mover></math> và <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>b</mi><mo>→</mo></mover></math> cùng phương, cùng độ dài và ngược hướng nhau.",,,,Đáp án đúng là: D,D,"a→ = −b→. Do đó, a→ và b→ cùng phương, cùng độ dài và ngược hướng nhau."
Hiển thị đáp án,,sai vì nếu ABDC là hình bình hành thì → + ↝ = ↜ phải là ABDC là hình bình hành mới đúng.,C đúng.,,C,C đúng.
"Cho ba điểm phân biệt A, B, C. Đẳng thức nào sau đây đúng?",,ABCD là hình bình hành nếu AB và CD không cùng giá.,"C. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>+</mo><mover><mrow><mi>C</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>=</mo><mover><mrow><mi>C</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>;</mo></math>",,B,ABCD là hình bình hành nếu AB và CD không cùng giá.
"Cho ba điểm A, B, C phân biệt. Khẳng định nào sau đây đúng?",,"Ta có : <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>M</mi><mi>P</mi></mrow><mo>→</mo></mover><mo>+</mo><mover><mrow><mi>N</mi><mi>M</mi></mrow><mo>→</mo></mover><mo>=</mo><mover><mrow><mi>N</mi><mi>M</mi></mrow><mo>→</mo></mover><mo>+</mo><mover><mrow><mi>M</mi><mi>P</mi></mrow><mo>→</mo></mover><mo>=</mo><mover><mrow><mi>N</mi><mi>P</mi></mrow><mo>→</mo></mover></math>. Vậy B đúng.",,,B,"Ta có : <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>M</mi><mi>P</mi></mrow><mo>→</mo></mover><mo>+</mo><mover><mrow><mi>N</mi><mi>M</mi></mrow><mo>→</mo></mover><mo>=</mo><mover><mrow><mi>N</mi><mi>M</mi></mrow><mo>→</mo></mover><mo>+</mo><mover><mrow><mi>M</mi><mi>P</mi></mrow><mo>→</mo></mover><mo>=</mo><mover><mrow><mi>N</mi><mi>P</mi></mrow><mo>→</mo></mover></math>. Vậy B đúng."
"Cho ba điểm A, B, C phân biệt. Khẳng định nào sau đây đúng?",,Ta có : M→+N→=N→+M→+P→+Q→=N→,,,B,Ta có : M→+N→=N→+M→+P→+Q→=N→
Cho hai điểm A và B phân biệt. Điều kiện để I là trung điểm AB là:,A. I A = I B;,B. I A → = − I B →;,C. I A → = − I B →;,D. A I → = B I → .,C,I A → = − I B →;
Điều kiện nào là điều kiện cần và đủ để I là trung điểm của đoạn thẳng AB?,I A = I B;,I A → + I B → = 0;,I A → − I B → = 0;,I A → = I B → .,B,I A → + I B → = 0
"Cho tam giác ABC cân ở A, đường cao AH. Khẳng định nào sau đây sai?",A. AH = AC; ,B. H là trung điểm BC (tính chất tam giác cân).,C. ,D. ,A,AH ≠ AC
Cho tam giác ABC đều cạnh a. Tính,,,Gọi H là trung điểm của BC ⇒ AH ⊥ BC.,,A,Xét tam giác vuông AHC ta có: AH^2 + HC^2 = AC^2 ⇒ AH = √(AC^2 - HC^2) = √(a^2 - (a/2)^2) = √(3a^2/4) = a√3/2.
Cho tam giác ABC vuông cân tại A có AB = a. Tính độ dài của AC.,,,Gọi M là trung điểm BC ⇒ AM = 1/2 BC (tính chất đường trung tuyến ứng với cạnh huyền trong tam giác vuông).,,A,"Ta có : AM^2 + BM^2 = AB^2 (tính chất đường trung tuyến ứng với cạnh huyền trong tam giác vuông) ⇒ 2 AM^2 = AB^2 ⇒ AM = AB = √2. Khi đó, AC = AM = √2."
"Cho tam giác ABC vuông tại A và có AB = 3, AC = 4. Tính",,,,,C,Áp dụng định lí Py – ta – go cho tam giác vuông ABC ta có: CB = √(AC^2 + AB^2) = √(3^2 + 4^2) = √(9 + 16) = √25 = 5 hay CB = 5
"Cho hình chữ nhật ABCD, hai đường đường chéo AC và BD cắt nhau tại O. Tính hiệu <mover><mrow><mi>C</mi><mi>B</mi></mrow><mo>→</mo></mover> - <mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover>",,,,<mover><mrow><mi>C</mi><mi>A</mi></mrow><mo>→</mo></mover>,D,<mover><mrow><mi>C</mi><mi>B</mi></mrow><mo>→</mo></mover> - <mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover> = <mover><mrow><mi>C</mi><mi>B</mi></mrow><mo>→</mo></mover> + (−<mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover>) = <mover><mrow><mi>C</mi><mi>A</mi></mrow><mo>→</mo></mover>
