question,A,B,C,D,answer,reasoning
Với mỗi góc α (0° ≤ α ≤ 180°) thì tỉ số y0/x0 là tan của góc α và ta kí hiệu là tanα=y0/x0.,,,tanα=y0/x0,,C,Do đó ta chọn phương án C.
Hiển thị đáp án ,sinα = yM = \frac{3}{5}; cosα = xM = \frac{4}{5},,,,A,sinα = yM = \frac{3}{5}; cosα = xM = \frac{4}{5}
Câu 2. Với điểm M; ta gọi xOM = α. Khẳng định nào sau đây đúng?,sinα = 3/5 và cosα = 4/5;,sinα = 4/5 và cosα = 3/5;,cosα = 4/5 và cotα = 3/5;,cosα = 3/5 và tanα = 4/5;,C,"Với mọi góc α thỏa mãn 0° ≤ α ≤ 180°, ta luôn có sin(90° – α) = cosα và tan(90° – α) = cotα."
"Với mọi góc α thỏa mãn 0° ≤ α ≤ 180°, ta luôn có sin(90° – α) và tan(90° – α) lần lượt bằng:",cotα và cosα;,sinα và tanα;,cosα và cotα;,cosα và tanα.,C,"Với mọi góc α thỏa mãn 0° ≤ α ≤ 180°, ta luôn có sin(90° – α) = cosα và tan(90° – α) = cotα."
"Với mọi góc α thỏa mãn 0° ≤ α ≤ 180°, ta luôn có cos(180° – α) bằng:",–cosα,cosα,sinα,tanα,A,"Với mọi góc α thỏa mãn 0° ≤ α ≤ 180°, ta luôn có cos(180° – α) = –cosα."
Giá trị của tan103° bằng:,tan77°,-tan77°,cot77°,-cot77°,B,"Quan sát bảng giá trị lượng giác của một số góc đặc biệt, ta có $sin30° = \frac{1}{2}$. Để tính sin30°, ta ấn liên tiếp các phím sau đây: $sin(3)0° = \frac{1}{2}$."
Giá trị của sin30° bằng: ,1/2,1,2/2,-1/2,D,"Nếu góc α thỏa mãn 90° ≤ α ≤ 180° thì α là góc tù. Khi đó sinα > 0, cosα < 0, tanα < 0, cotα < 0. Do đó ta chọn phương án D."
Nếu góc α thỏa mãn 90° ≤ α ≤ 180° thì:,cotα > 0;,tanα > 0;,cosα > 0;,sinα > 0;,C,"Nếu góc α thỏa mãn 90° ≤ α ≤ 180° thì α là góc tù. Khi đó sinα > 0, cosα < 0, tanα < 0, cotα < 0. Do đó ta chọn phương án D."
Cho góc x (0° ≤ x ≤ 180°) mà tanx không xác định. Giá trị của x bằng:,30°,60°,90°,120°,C,"Quan sát bảng giá trị lượng giác của một số góc đặc biệt, ta có tanx không xác định khi x = 90°. Vì vậy x = 90°."
"Sử dụng máy tính cầm tay, giá trị của cot26°32’54’’ xấp xỉ bằng:","2,001","0,4996","-2,001","0,4469",A,"Ta thu được kết quả tan26°32’54’’ ≈ 0,4996353264. Vì cotx = 1/tanx hay cotx = 1/(tanx). Nên để tìm cot26°32’54’’, ta bấm liên tiếp các phím: 1 ÷ Ans. Ta thu được kết quả cot26°32’54’’ ≈ 2,001. Vậy ta chọn phương án A."
