question,A,B,C,D,answer,reasoning
,,,,,D,"$(a+b)^4=a^4+4a^3b+6a^2b^2+4ab^3+b^4$. Do đó A, C đúng và D sai. $(a-b)^4=a^4-4a^3b+6a^2b^2-4ab^3+b^4$. Do đó B đúng."
"Trong các phát biểu sau, phát biểu nào sai?",(a+b)^4 = a^4 + 4a^3b + 6a^2b^2 + 4ab^3 + b^4;,(a-b)^4 = a^4 - 4a^3b + 6a^2b^2 - 4ab^3 + b^4;,(a+b)^4 = b^4 + 4b^3a + 6b^2a^2 + 4ba^3 + a^4;,(a+b)^4 = a^4 + b^4;,D,"Ta có: (a+b)^4 = a^4 + 4a^3b + 6a^2b^2 + 4ab^3 + b^4. Do đó A, C đúng và D sai."
Số hạng chứa x^4 trong khai triển biểu thức (2x + 3)^5 là:,32x^4;,240x^4;,720;,240;,B,Ta có (a + b)^5 = a^5 + 5a^4b +10a^3b^2 + 10a^2b^3 + 5ab^4 + b^5. Do đó: (2x + 3)^5 = (2x)^5 + 5(2x)^4.3 +10(2x)^3.3^2 + 10(2x)^2.3^3 + 5.(2x).3^4 + 3^5. Vậy trong khai triển số hạng chứa x^4 là 240x^4.
Trong khai triển nhị thức (a + 2)^n - 5 (n ∈ ℕ). Có tất cả 6 số hạng. Vậy n bằng,17,21,25,11,D,Ta có trong khai triển (a + b)^n có n + 1 số hạng. Trong khai triển (a + 2)^n - 5 (n ∈ ℕ) có tất cả 6 số hạng nên ta có n – 5 = 6. Vậy n = 11.
Trong khai triển (x + 2y)^5 số hạng chứa x^2y^3 là:,80x^2y^3,40x^2y^3,80,10,A,Ta có (x + 2y)^5 = x^5 + 5x^4.(2y) + 10x^3.(2y)^2 + 10x^2.(2y)^3 + 5x.(2y)^4 + (2y)^5 = x^5 + 10x^4.y + 40x^3.y^2 + 80x^2.y^3 + 80x.y^4 + 32y^5. Số hạng cần tìm chứa x^2y^3 nên ta có 80x^2y^3
Hệ số của x² trong khai triển (2 – 3x)³ là k. Nhận xét nào sau đây đúng về k ?,k là một số tự nhiên;,k là một số nguyên âm;,k là một số nguyên dương;,k = 0.,B,Ta có: (2x – 3)³ = 8x³ – 24x² + 36x – 27. Vậy k là một số nguyên âm.
Cho số tự nhiên n thỏa mãn $A_n^2 + 2C_n^n = 22$. Hệ số của số hạng chứa $x^3$ trong khai triển của biểu thức $(3x – 4)^n$ bằng,–4320,–1440,4320,1080,C,Điều kiện n ≥ 2; n ∈ ℕ. Ta có (a + b)^5 = a^5 + 5a^4b + 10a^3b^2 + 10a^2b^3 + 5ab^4 + b^5. Thay a = 3x; b = – 4 vào công thức ta có: (3x – 4)^5 = 243x^5 – 1620x^4 + 4320x^3 – 5760x^2 + 3840x – 1024. Vậy hệ số của x^3 là 4320.
Khai triển nhị thức (2x + 3)^4 ta được kết quả là,x^4 + 216x^3 + 216x^2 + 96x + 81,16x^4 + 216x^3 + 216x^2 + 96x + 81,16x^4 + 96x^3 + 216x^2 + 216x + 81,x^4 + 96x^3 + 216x^2 + 216x + 81,C,Khai triển nhị thức (2x + 3)^4 = 16x^4 + 96x^3 + 216x^2 + 216x + 81
"Với n là số nguyên dương thỏa mãn Cₙ₁ + Cₙ₂ = 10, hệ số của x⁵ trong khai triển của biểu thức (x³ + 2/x)ⁿ bằng",0,8,20,32,A,Điều kiện n ≥ 2; n ∈ ℕ. Ta có: (a + b)⁴ = a⁴ + 4a³b + 5a²b² + 4ab³ + b⁴. Thay a = x³; b = 2/x vào công thức ta có: ... Vậy hệ số của x⁵ trong khai triển là bằng 0.
Tính giá trị biểu thức $T = C_{4}^{0} + \frac{1}{2}C_{4}^{1} + \frac{1}{4}C_{4}^{2} + \frac{1}{8}C_{4}^{3} + \frac{1}{16}C_{4}^{4}$,$\frac{3}{2}$,$\frac{9}{16}$,$\frac{81}{16}$,$\frac{27}{16}$,C,$T = C_{4}^{0} + \frac{1}{2}C_{4}^{1} + \frac{1}{4}C_{4}^{2} + \frac{1}{8}C_{4}^{3} + \frac{1}{16}C_{4}^{4} = \frac{81}{16}$
