question,A,B,C,D,answer,reasoning
"Một công việc có thể thực hiện theo ba phương án khác nhau. Phương án A có 3 cách thực hiện, phương án B có 4 cách thực hiện và phương án C có 7 cách thực hiện. Tính tổng số cách thực hiện công việc đã cho.",14,,,,A,"Mỗi cách thực hiện của phương án này không trùng với bất kì cách nào của phương án kia. Do đó, theo quy tắc cộng, ta có 3 + 4 + 7 = 14 cách thực hiện công việc đã cho."
"Các câu hỏi trắc nghiệm Toán lớp 10 sách Chân trời sáng tạo có đáp án, chọn lọc khác",,,,,D,"Công việc được chia thành ba công đoạn: Công đoạn A có 8 cách thực hiện; Công đoạn B: ứng với mỗi cách thực hiện công đoạn A, có 3 cách thực hiện; Công đoạn C: ứng với mỗi cách thực hiện công đoạn A và mỗi cách thực hiện công đoạn B, có 6 cách thực hiện. Theo quy tắc nhân, ta có 8 . 3 . 6 = 144 cách thực hiện công việc đã cho."
Cho tập hợp A có n phần tử (n ≥ 1) và số nguyên k (1 ≤ k ≤ n). Phát biểu nào sau đây sai?,Một chỉnh hợp chập k của n phần tử trên là mỗi cách lấy k phần tử của tập A và sắp xếp chúng theo một thứ tự,Một hoán vị của tập A là mỗi cách sắp xếp n phần tử của tập A theo một thứ tự,Một tổ hợp chập k của n phần tử là mỗi cách lấy k phần tử của A,Mỗi hoán vị của n phần tử cũng chính là tổ hợp chập n của n phần tử đó,D,Mỗi hoán vị của n phần tử cũng chính là chỉnh hợp chập n của n phần tử đó
Cho tập hợp A có n phần tử (n ≥ 1) và số nguyên k (1 ≤ k ≤ n). Phát biểu nào sau đây sai?,Một chỉnh hợp chập k của n phần tử trên là mỗi cách lấy k phần tử của tập A và sắp xếp chúng theo một thứ tự,Một hoán vị của tập A là mỗi cách sắp xếp n phần tử của tập A theo một thứ tự,Một tổ hợp chập k của n phần tử là mỗi cách lấy k phần tử của A,Mỗi hoán vị của n phần tử cũng chính là chỉnh hợp chập n của n phần tử đó,D,Mỗi hoán vị của n phần tử cũng chính là chỉnh hợp chập n của n phần tử đó
"Cho n ≥ 1, n ∈ ℤ và 1 ≤ k ≤ n. Phát biểu nào sau đây sai?",P₀ = 1,Pₙ = Cₙⁿ,Cₙₖ = Cₙₙ₋ₖ,Aₙₖ = k! * Cₙₖ,B,Ta có Pₙ = Aₙₙ. Do đó phương án B sai.
Cho tập hợp X gồm n phần tử (n ≥ 1) và số nguyên k (1 ≤ k ≤ n). Một chỉnh hợp chập k của n phần tử là:,Một kết quả bất kì của sự sắp xếp k phần tử bất kì của tập hợp X,Một kết quả của việc lấy k phần tử từ n phần tử của tập X và sắp xếp chúng theo một thứ tự nào đó,Một số được tính bởi công thức: n(n – 1)(n – 2)…(n – k + 1),Một kết quả của việc lấy k phần tử từ n phần tử của tập X,B,Mỗi cách lấy k phần tử của tập X và sắp xếp chúng theo một thứ tự gọi là một chỉnh hợp chập k của n phần tử đó.
Biểu thức $C_{4}^{0}.x^{4}+C_{4}^{1}.x^{3}y+C_{4}^{2}.x^{2}y^{2}+C_{4}^{3}.xy^{3}+C_{4}^{4}.y^{4}$ bằng:,(x + y)^{4},(x - y)^{4},(x + y)^{5},(x - y)^{5},A,"Theo công thức nhị thức Newton, ta có: $C_{4}^{0}.x^{4}+C_{4}^{1}.x^{3}y+C_{4}^{2}.x^{2}y^{2}+C_{4}^{3}.xy^{3}+C_{4}^{4}.y^{4}=(x+y)^{4}$."
Tổng số mũ của a và b trong mỗi hạng tử khi khai triển biểu thức (m + 2n)^5 bằng,4,5,6,7,B,"Ta có tổng số mũ của a, b trong mỗi hạng tử khi khai triển (a + b)^n luôn bằng n. Vậy tổng số mũ của a và b trong mỗi hạng tử khi khai triển biểu thức (a + b)^5 bằng 5."
Số hạng tử trong khai triển $(a + b)^{99}$ bằng,97,98,99,100,D,Ta có trong khai triển $(a + b)^n$ có $n + 1$ hạng tử. Vậy trong khai triển $(a + b)^{99}$ có $100$ hạng tử.
Từ các chữ số 1; 5; 6; 7; 9 có thể lập được bao nhiêu số tự nhiên có 4 chữ số?,3125,120,20,625,D,"Gọi $overline{abcd}$ là số cần tìm. Việc lập một số tự nhiên có 4 chữ số gồm 4 công đoạn: Công đoạn 1: Chọn số ở vị trí a, có 5 cách chọn một chữ số từ các chữ số 1; 5; 6; 7; 9. Công đoạn 2: Chọn số ở vị trí b, có 5 cách chọn một số từ các chữ số 1; 5; 6; 7; 9. Công đoạn 3: Chọn số ở vị trí c, có 5 cách chọn một số từ các chữ số 1; 5; 6; 7; 9. Công đoạn 4: Chọn số ở vị trí d, có 5 cách chọn một số từ các chữ số 1; 5; 6; 7; 9. Theo quy tắc nhân, ta có tất cả 5.5.5.5= 5^{4} = 625 cách lập một số tự nhiên có 4 chữ số."
"Trên bàn có 8 cây bút chì khác nhau, 6 cây bút bi khác nhau và 10 cuốn tập khác nhau. Một học sinh muốn chọn một đồ vật duy nhất (một cây bút chì hoặc một cây bút bi hoặc một cuốn tập) thì số cách chọn khác nhau là:",24,480,48,60,A,"Việc chọn một đồ vật duy nhất có ba phương án thực hiện: Phương án 1: Chọn một cây bút chì, có 8 cách chọn. Phương án 2: Chọn một cây bút bi, có 6 cách chọn. Phương án 3: Chọn một cuốn tập, có 10 cách chọn. Theo quy tắc cộng, ta có tất cả 8 + 6 + 10 = 24 cách chọn một đồ vật duy nhất."
