question,A,B,C,D,answer,reasoning
,,,,,A,Thay lần lượt các giá trị: 2; (-1); (-2); 1 vào biểu thức $\frac{x^2 - 4}{x - 2}$. Ta được: Khi x = 2 thay vào hàm số y: $\frac{2^2 - 4}{2 - 2} = \frac{0}{0}$.
,,,,,D,Hàm số y = \frac{3x-1}{2x-2} xác định khi 2x - 2 \neq 0 \Leftrightarrow 2x \neq 2 \Leftrightarrow x \neq 1. Như vậy tập xác định của hàm số là D = \mathbb{R} \{1}
Tập xác định của hàm số y = \frac{3x-1}{2x-2} là:,D = ℝ;,D = (1; 0);,D = (-∞; 1);,D = ℝ \{1},D,Hàm số y = \frac{3x-1}{2x-2} xác định khi 2x - 2 ≠ 0 ⇔ 2x ≠ 2 ⇔ x ≠ 1. Như vậy tập xác định của hàm số là D = ℝ \{1}
Tập xác định của hàm số y = \sqrt{x+2} là:,D = \mathbb{R} \{-2},D = (0; 2),D = (-\infty; 2],D = [-2; +\infty),D,Hàm số y = \sqrt{x+2} xác định khi x + 2 \geq 0 \Rightarrow x \geq -2. Tập xác định: D = [-2; +\infty)
Điểm nào sau đây thuộc đồ thị hàm số y = 4x + 1,2; 3,0; 1,4; 5,0; 0,B,"Thay x = 0; y = 1 vào hàm số ta được: 1 = 0.1 + 1 (luôn đúng). Do đó, (0; 1) thuộc đồ thị hàm số."
Tìm tập xác định của hàm số y = ,D = [-3; +∞),D = [-2; +∞),D = ℝ,D = [2; +∞),B,Để hàm số y xác định thì tập xác định D = [-2; +∞)
Tìm tập xác định của y = \sqrt{6 - 3x} - \sqrt{x - 1},D = (1; 2),D = [1; 2],D = [1; 3],D = [-1; 2],B,Để hàm số y xác định thì x - 1 \ge 0 và 6 - 3x \ge 0. Từ đó ta có x \ge 1 và x \le 2. Do đó tập xác định của hàm số là D = [1; 2]
Tìm tập xác định của hàm số y = \frac{\sqrt{x+1}}{x^2-x-6},D = {3},D = [-1; +∞)\{3},D = ℝ,D = [-1; +∞),B,Để hàm số y xác định thì x+1≥0 và x^2-x-6≠0. Từ đó ta có tập xác định của hàm số là D = [-1; +∞)\{3}
Tìm tập xác định của hàm số y = f(x) = \sqrt{x+1} với x \geq 1 và f(x) = \frac{1}{x} với x < 1,-1,\mathbb{R},[-1; +\infty),[-1; 1),C,Với x \geq 1 thì f(x) = \frac{1}{x} xác định với mọi x \geq 1. Với x < 1 thì f(x) = \sqrt{x+1} xác định khi -1 \leq x < 1. Kết hợp (1) và (2) ta được f(x) xác định với mọi x \geq -1 hay D = [-1; +\infty)
Cho hàm số f(x) = 4 - 3x. Khẳng định nào sau đây sai?,Hàm số nghịch biến trên $\left(-\infty; \frac{4}{3}\right)$;,Hàm số nghịch biến trên $\left(\frac{4}{3}; +\infty\right)$;,Hàm số nghịch biến trên $\mathbb{R}$;,Hàm số đồng biến trên $\left(\frac{3}{4}; +\infty\right)$.,D,"a = -3 < 0, hàm số nghịch biến trên $\mathbb{R}$."
Xét sự biến thiên của hàm số y = \frac{3}{x} trên khoảng (0; +∞). Khẳng định nào sau đây đúng?,Hàm số đồng biến trên (0; +∞);,Hàm số nghịch biến trên (0; +∞);,"Hàm số vừa đồng biến, vừa nghịch biến trên khoảng (0; +∞);","Hàm số không đồng biến, cũng không nghịch biến trên khoảng (0; +∞).",B,"Với mọi x_{1}, x_{2} ∈ (0; +∞) và x_{1} < x_{2} ta có: \frac{f(x_{1}) - f(x_{2})}{x_{1} - x_{2}} = -\frac{3(x_{1} - x_{2})}{x_{1}x_{2}} : \frac{x_{1} - x_{2}}{1} = -\frac{3}{x_{1}x_{2}} mà x_{1}.x_{2} > 0 nên -\frac{3}{x_{1}x_{2}} < 0 ⇒ Hàm số y = \frac{3}{x} nghịch biến trên (0; +∞)."
Có tất cả bao nhiêu giá trị nguyên của tham số m thuộc đoạn [-3; 3] để hàm số f(x) = (m + 1)x + m - 2 đồng biến trên $\mathbb{R}$.,7,5,4,3,C,Tập xác định: D = $\mathbb{R}$. Ta có y = (m + 1)x + m – 2 đồng biến khi m + 1 > 0 $\Leftrightarrow$ m > -1. Với m $\in$ [-3; 3] có giá trị nguyên ta được m $\in$ {0; 1; 2; 3}.
Tìm tham số m để hàm số y = f(x) = -x^2 + (m - 1)x + 2 nghịch biến trên khoảng (1; 2).,m < 5,m > 5,m < 3,m > 3,C,"Để hàm số nghịch biến trên khoảng (1; 2) thì m < (x_1 + x_2) + 1 với mọi x_1, x_2 thuộc khoảng (1; 2). Do đó m < 3."
Điểm nào không thuộc đồ thị hàm số y = 5x - 1,0; -1,1; 4,2; 9,1; 2,D,Như vậy điểm (1; 2) không thuộc đồ thị hàm số y = 5x - 1.
Tìm m để hàm số y = f(x) = \frac{x}{x-m} xác định trên khoảng (0; 5),0 < m < 5,m ≤ 0,m ≥ 5,m ≤ 0 hoặc m ≥ 5,D,Hàm số y xác định khi x - m ≠ 0 ⇔ x ≠ m. Do đó để hàm số xác định trên khoảng (0; 5) thì m ∉ (0; 5) nghĩa là m ≤ 0 hoặc m ≥ 5.
