question,A,B,C,D,answer,reasoning
Mệnh đề là gì?,Một câu hỏi,Một câu cảm thán,Một câu không khẳng định tính đúng sai,Một câu khẳng định tính đúng sai,D,"Phương án D: \""Việt Nam là một nước thuộc châu Á.\"" là một mệnh đề (mệnh đề đúng)."
"Các câu hỏi trắc nghiệm Toán lớp 10 sách Chân trời sáng tạo có đáp án, chọn lọc khác:",,,,,D,"Khi mệnh đề A \Rightarrow B là định lí, ta nói A là điều kiện đủ để có B. Vậy ta chọn phương án D."
Mệnh đề A Þ B được hiểu như thế nào?,A. A khi và chỉ khi B,B. B suy ra A,C. A là điều kiện cần để có B,D. A là điều kiện đủ để có B,C,A là điều kiện đủ để có B
Câu nào trong các câu sau không phải là mệnh đề chứa biến?,3n là số lẻ (n là số tự nhiên);,x2 + 1 > 0;,2 – x2 < 0;,4 + x.,D,"Các câu ở phương án A, B, C đúng vì là mệnh đề chứa biến. Câu ở phương án D chỉ là một biểu thức, không phải là mệnh đề chứa biến."
Câu nào trong các câu sau không phải là mệnh đề chứa biến?,3n là số lẻ (n là số tự nhiên);,x\^2 + 1 > 0;,2 - x\^2 < 0;,4 + x.,C,P đúng và Q sai.
Cho hai mệnh đề P và Q. Điều kiện để mệnh đề P Þ Q sai là:,P đúng và Q đúng;,P sai và Q đúng;,P đúng và Q sai;,P sai và Q sai.,C,P Þ Q chỉ sai khi P đúng và Q sai.
Cho hai mệnh đề P và Q. Phát biểu mệnh đề P Û Q nào sau đây sai?,P khi và chỉ khi Q;,P tương đương Q;,P là điều kiện cần để có Q;,P là điều kiện cần và đủ để có Q.,C,"P là điều kiện cần và đủ để có Q (hay Q là điều kiện cần và đủ để có P). Do đó phương án D đúng, phương án C sai."
Nếu hai góc ở vị trí so le trong thì hai góc đó bằng nhau,A. Nếu hai góc bằng nhau thì hai góc đó ở vị trí so le trong;,B. Nếu hai góc không ở vị trí so le trong thì hai góc đó không bằng nhau;,C. Nếu hai góc không bằng nhau thì hai góc đó không ở vị trí so le trong;,D. Nếu hai góc ở vị trí so le trong thì hai góc đó không bằng nhau.,A,"Mệnh đề Q → P được phát biểu như sau: “Nếu hai góc bằng nhau, thì hai góc đó ở vị trí so le trong”."
"Câu 1: Cho mệnh đề: “Nếu hai góc ở vị trí so le trong thì hai góc đó bằng nhau”. Trong các mệnh đề sau đây, đâu là mệnh đề đảo của mệnh đề trên?",Nếu hai góc bằng nhau thì hai góc đó ở vị trí so le trong;,Nếu hai góc không ở vị trí so le trong thì hai góc đó không bằng nhau;,Nếu hai góc không bằng nhau thì hai góc đó không ở vị trí so le trong;,Nếu hai góc ở vị trí so le trong thì hai góc đó không bằng nhau.,A,"Mệnh đề P Þ Q có mệnh đề đảo là mệnh đề Q Þ P. Mệnh đề Q Þ P được phát biểu như sau: “Nếu hai góc bằng nhau, thì hai góc đó ở vị trí so le trong”."
Cho hai mệnh đề P và Q. Điều kiện để mệnh đề P Û Q đúng là:,P đúng và Q sai;,P đúng và Q đúng;,P sai và Q đúng;,P sai và Q sai.,D,Mệnh đề P Û Q đúng khi cả P và Q đều đúng.
