question,A,B,C,D,answer,reasoning
,,,,,B,Ta có : f(x) = -x^2 + 6x + 7 = 0 ⇔ -1 ≤ x ≤ 7.
,,,,,C,Ta có : f(x) = -2x^2 + 3x - 7 = 0 vô nghiệm. Dựa vào bảng xét dấu : -2x^2 + 3x - 7 ≥ 0 ⇔ x ∈ ∅.
Giải bất phương trình $-2x^2+3x-7\geq 0$,S=0,S=0,S=\emptyset,S=\mathbb{R},C,Ta có : f(x) = -2x^2+3x-7=0 vô nghiệm. Bảng xét dấu : -2x^2+3x-7\geq 0\Leftrightarrow x\in\emptyset.
Tập nghiệm của bất phương trình $x^2 - 3x + 2 < 0$ là:,$(-infty; 1) cup (2; +infty)$,$(2; +infty)$,$(1; 2)$,$(-infty; 1)$,C,Dựa vào bảng xét dấu $f(x) = x^2 - 3x + 2 < 0 Leftrightarrow 1 < x < 2$.
Tập nghiệm của bất phương trình: $2x^2 – 7x – 15 ≥ 0$ là:,,,,,A,Ta có : f(x) = $2x^2 – 7x – 15 = 0$ $⇔$ $2x^2 – 7x – 15 ≥ 0$ $⇔$ $x ∈ (-∞; 1] ∪ [4; +∞)$
Tập nghiệm của bất phương trình $-x^2+5x-4<0$ là:,,(1;4),$(-\infty;1)\cup(4;+\infty)$,$(-\infty;1)\cup(4;+\infty)$,C,Ta có: $f(x)=-x^2+5x-4=0 \Leftrightarrow x=1; x=4$. Bảng xét dấu $\begin{array}{|c|c|c|c|} \hline \text{Khoảng} & (-\infty;1) & (1;4) & (4;+\infty) \hline \text{Cấp độ} & 2 & 1 & 0 \hline \text{Đại diện} & x=-1 & x=2 & x=5 \hline \text{Thay vào f(x)} & f(-1)=8>0 & f(2)=-4<0 & f(5)=6>0 \hline \text{Kết luận} & f(x)>0 & f(x)<0 & f(x)>0 \hline \end{array}$. Dựa vào bảng xét dấu $f(x)<0 \Leftrightarrow x \in (1;4)$.
Tập nghiệm của bất phương trình $sqrt{2}x^{2} - (sqrt{2} + 1)x + 1 < 0$ là:,"$left(rac{sqrt{2}}{2}; 1ight)$",$emptyset$,,"$left(-infty; rac{sqrt{2}}{2}ight) cup (1; +infty)$",A,Ta có: $f(x) = sqrt{2}x^{2} - (sqrt{2} + 1)x + 1 = 0 Leftrightarrow sqrt{2}x^{2} - sqrt{2}x - x + 1 = 0 Leftrightarrow sqrt{2}x(x - 1) - (x - 1) = 0 Leftrightarrow (sqrt{2}x - 1)(x - 1) = 0 Leftrightarrow x = rac{sqrt{2}}{2} 	ext{ hoặc } x = 1$. Dựa vào bảng xét dấu $f(x) < 0 Leftrightarrow rac{sqrt{2}}{2} < x < 1$.
Tập nghiệm của bất phương trình $6x^2 + x - 1 le 0$ là,1,2,3,4,A,$f(x) = 6x^2 + x - 1 le 0 Leftrightarrow -rac{1}{2} le x le rac{1}{3}$
Số thực dương lớn nhất thỏa mãn $x^2 - x - 12 leq 0$ là ?,1,2,3,4,D,Ta có $f(x) = x^2 - x - 12 leq 0 Leftrightarrow -3 leq x leq 4$. Suy ra số thực dương lớn nhất thỏa $x^2 - x - 12 leq 0$ là 4.
Bất phương trình nào sau đây có tập nghiệm là $\mathbb{R}$?,-3x^2 + x - 1 ≥ 0,-3x^2 + x - 1 > 0,-3x^2 + x - 1 < 0,-3x^2 + x - 1 ≤ 0,C,"- Xét f(x) = -3x^2 + x - 1 có a = -3 < 0, Δ = 1^2 - 4(-3)(-1) = -11 < 0, nên f(x) < 0, ∀x tức là tập nghiệm của bất phương trình là $\mathbb{R}$. Như vậy chỉ có đáp án C là phù hợp, các đáp án còn lại đều vô nghiệm."
"Cho bất phương trình $x^2 - 8x + 7 \ge 0$. Trong các tập hợp sau đây, tập nào có chứa phần tử không phải là nghiệm của bất phương trình.",x \le 1,1 \le x \le 4,[6; +\infty),x \ge 4,D,Ta có: f(x) = x^2 - 8x + 7 \ge 0 \Leftrightarrow (x - 1)(x - 7) \ge 0 \Leftrightarrow x \in (-\infty; 1] \cup [7; +\infty).
Giải bất phương trình $x(x+5)\leq 2(x^2+2)$,x\leq 1,1\leq x\leq 4,,x\geq 4,C,Bất phương trình $x(x+5)\leq 2(x^2+2)\Leftrightarrow x^2+5x\leq 2x^2+4\Leftrightarrow x^2-5x+4\geq 0\Leftrightarrow (x-1)(x-4)\geq 0$. Xét phương trình $x^2-5x+4=0\Leftrightarrow (x-1)(x-4)=0\Leftrightarrow x=1;x=4$. Lập bảng xét dấu:
Tập nghiệm S của bất phương trình $x^2 + x - 12 < 0$ là:,S = (-4; 3),S = (4; +∞),S = (3; +∞),S = ∅,A,Tam thức bậc hai f(x) = $x^2$ + x - 12 có a = 1 > 0 và có hai nghiệm x = -4; x = 3. Ta có bảng xét dấu: f(x) < 0 suy ra -4 < x < 3.
Tổng các nghiệm nguyên của bất phương trình $x^2 - x ≥ x(7 - x) - 6(x - 1)$ trên đoạn bằng:,5,6,21,40,D,Bất phương trình $x^2 - x ≥ x(7 - x) - 6(x - 1)$ tương đương với $x ≥ 6$. Do x thuộc đoạn và x nguyên nên ta có: $x ∈ {6; 7; 8; 9; 10}$. Tổng các nghiệm nguyên là 6 + 7 + 8 + 9 + 10 = 40.
Bất phương trình $\frac{2x-1}{x+3}-\frac{3x+1}{x+3}-3x+1 \leq \frac{x-1}{x+3}+x^2-5$ có tập nghiệm là:,$S = (-\infty; -\frac{2}{3})$,,$S = \mathbb{R}$,$S = \emptyset$,D,Bất phương trình $\frac{2x-1}{x+3}-\frac{3x+1}{x+3}-3x+1 \leq \frac{x-1}{x+3}+x^2-5$ tương đương với $0 \leq -6 \Leftrightarrow x \in \emptyset$. Do đó tập nghiệm $S = \emptyset$.
