question,A,B,C,D,answer,reasoning
Trục Oy: x = 0 có VTCP <math>0;1</math> nên một đường thẳng song song với Oy cũng có VTCP là <math>0;1</math>.,,VTCP là <math>0;1</math>,,,B,VTCP là <math>0;1</math>
Đường thẳng đi qua hai điểm A(– 3; 2) và B(1; 4) có VTCP là:,,,,,B,1−(−3);4−2=2(2;1)hay u→=2;1.
Vectơ nào dưới đây là một vectơ chỉ phương của đường thẳng đi qua hai điểm A(– 3; 2) và B(1; 4).,1; 3,2; 1,1; 3,3; 1,B,Ta có: OM→ = a; b. ⇒ đường thẳng OM có VTCP: u→ = OM→ = a; b.
Vectơ nào dưới đây là một vectơ chỉ phương của đường thẳng đi qua gốc tọa độ O(0; 0) và điểm M(a; b)?,– a; – b,a; b,1; a,1; b,B,Ta có: OM → = a; b ⇒ đường thẳng OM có VTCP: u → = a; b.
Vectơ nào dưới đây là một vectơ chỉ phương của đường thẳng song song với trục Ox?,1; 0,2; 0,-1; 2,1; 1,A,Trục Ox: y = 0 có VTCP <math>i</math> nên một đường thẳng song song với Ox cũng có VTCP là <math>i</math>.
Vectơ nào dưới đây là một vectơ pháp tuyến của đường thẳng đi qua hai điểm A(a; 0) và B(0; b)?,a; -b,a; b,-b; a,b; a,A,Ta có: AB→ = -a; b. ⇒ đường thẳng AB có VTCP AB→ = -a; b hoặc u→ = -AB→ = a; -b. ⇒ đường thẳng AB có VTPT là n→ = b; a.
Một đường thẳng có bao nhiêu vectơ chỉ phương?,2,5,7,Vô số,D,Một đường thẳng có vô số vectơ chỉ phương
7. Đường thẳng d đi qua điểm M(1; – 2) và có vectơ chỉ phương u→ = 3;5 có phương trình tham số là:,,,,,B,Ta có VTPT của đường thẳng d là n→ = 2;1 nên VTCP là u→ = −1;2
Đường thẳng d đi qua gốc tọa độ O và có vectơ pháp tuyến n→ = 2;1 có phương trình tham số là:,y = – 2,x = 0,3y = – 2,2x = 0,C,Ta có VTPT của đường thẳng d là n→ = 2;1 nên VTCP là u→ = –1;2. Khi đó phương trình tổng quát của đường thẳng d là: 0(x – 0) – 3(y – 2) = 0 ⇔ y = 2.
Câu 9. Đường thẳng d đi qua điểm M(0; – 2) và có vectơ chỉ phương u→ = 3;0 có phương trình tổng quát là:,y = – 2,x = 0,3y = – 2,2x = 0,D,Vectơ chỉ phương u→ = 0;1 hay chọn u→ = 0;1.
Viết phương trình tham số của đường thẳng d đi qua điểm M(6; –10)và vuông góc với trục Oy?,– 2x + 3y + 6 = 0 ;,3x – 2y + 10 = 0;,3x – 2y + 6 = 0 ;,3x + y – 8 = 0.,D,"Ta có: Vectơ chỉ phương của AB là <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mover><mi>u</mi><mo>→</mo></mover><mrow><mi>A</mi><mi>B</mi></mrow></msub><mo>=</mo><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>=</mo><mfenced><mrow><mo>−</mo><mn>2</mn><mo>;</mo><mn>6</mn></mrow></mfenced><mo>⇒</mo><msub><mover><mi>n</mi><mo>→</mo></mover><mrow><mi>A</mi><mi>B</mi></mrow></msub><mo>=</mo><mfenced><mrow><mn>3</mn><mo>;</mo><mn>1</mn></mrow></mfenced> là vectơ pháp tuyến của đường thẳng qua hai điểm A, B. Mặt khác A (3; – 1) <math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>∈</mo><mi>A</mi><mi>B</mi></math>, suy ra: AB: 3(x – 3) + 1(y + 1) = 0 hay AB: 3x + y – 8 = 0."
Phương trình tổng quát của đường thẳng đi qua hai điểm A(3 ; – 1) và B(1 ; 5) là:,– 2x + 3y + 6 = 0,3x – 2y + 10 = 0,3x – 2y + 6 = 0,3x + y – 8 = 0,D,"Ta có: Vectơ chỉ phương của AB là u→ = –2;6 là vectơ pháp tuyến của đường thẳng qua hai điểm A, B. Mặt khác A (3; – 1) ∈ AB, suy ra: AB: 3(x – 3) + 1(y + 1) = 0 hay AB: 3x + y – 8 = 0."
Phương trình đường thẳng cắt hai trục tọa độ tại A(– 2 ; 0) và B(0 ; 4) là:,2x – 3y + 2 = 0,4x – 2y + 8 = 0,3x – 3y – 6 = 0,2x – 3y – 5 = 0,B,Phương trình đường thẳng: 4x – 2y + 8 = 0
