question,A,B,C,D,answer,reasoning
Vậy bảng giá trị của hàm số đã cho là:,,,,,C,"Xét hàm số y = f(x) = x^2 + 3x + 4. 
• Với x = –3, ta có f(–3) = (–3)^2 + 3.(–3) + 4 = 4. 
• Với x = –2, ta có f(–2) = (–2)^2 + 3.(–2) + 4 = 2. 
• Với x = –3/2, ta có f(–3/2) = (–3/2)^2 + 3.(–3/2) + 4 = 7/4. 
• Với x = –1, ta có f(–1) = (–1)^2 + 3.(–1) + 4 = 2. 
• Với x = 0, ta có f(0) = 0^2 + 3.0 + 4 = 4. 
Do đó ta chọn đáp án C."
"Các câu hỏi trắc nghiệm Toán lớp 10 sách Chân trời sáng tạo có đáp án, chọn lọc khác:",2,y = ax + b,x^3,x^4,A,"Hàm số bậc hai có dạng y = ax^2 + bx + c, với a ≠ 0. Ta thấy hàm số ở phương án A có dạng như trên với a = 3, b = 2 và c = –5; nên hàm số ở phương án A là hàm số bậc hai. Hàm số ở phương án B có dạng y = ax + b nên đây là hàm số bậc nhất. Hàm số ở phương án C có chứa x^3 nên đây không phải hàm số bậc hai. Hàm số ở phương án D có chứa x^4 nên đây không phải hàm số bậc hai. Vậy ta chọn phương án A."
"Câu 2. Trong các hàm số sau đây, hàm số nào là hàm số bậc hai?",f(x) = 3x^2 + 2x – 5,f(x) = 2x – 4,f(x) = 3x^3 + 2x – 1,f(x) = x^4 – x^2 + 1,A,"Hàm số bậc hai có dạng y = ax^2 + bx + c, với a ≠ 0. Ta thấy hàm số ở phương án A có dạng như trên với a = 3, b = 2 và c = –5; nên hàm số ở phương án A là hàm số bậc hai."
"Cho hàm số y = x^2 – 2x có đồ thị (P). Khi đó, tọa độ đỉnh của (P) là:",A. (0; 0);,B. (1; –1);,C. (–1; 3);,D. (2; 0);,B,∆ = b^2 – 4ac = (–2)^2 – 4.1.0 = 4. Đỉnh S có tọa độ: ⦁ x_S = – b / (2a) = – (–2) / (2.1) = 1 ⦁ y_S = – Δ / (4a) = – 4 / (4.1) = –1. Suy ra tọa độ đỉnh S(1; –1).
Trục đối xứng của parabol y = –x^2 + 5x + 3 là đường thẳng có phương trình:,x = \frac{5}{4},x = -\frac{5}{2},x = -\frac{5}{4},x = \frac{5}{2},D,"Quan sát đồ thị, ta thấy tọa độ đỉnh S(2; –9). Trục đối xứng của đồ thị hàm số đã cho là đường thẳng đi qua đỉnh S và song song (hoặc trùng) với trục Oy. Khi đó trục đối xứng là đường thẳng x = 2. Vậy ta chọn phương án D."
Cho hàm số y = f(x) = ax^2 + bx + c có đồ thị như hình bên: Trục đối xứng của đồ thị hàm số trên là đường thẳng: ,x = –9;,x = –5;,x = 0;,x = 2;,D,"Quan sát đồ thị, ta thấy tọa độ đỉnh S(2; –9). Trục đối xứng của đồ thị hàm số đã cho là đường thẳng đi qua đỉnh S và song song (hoặc trùng) với trục Oy. Khi đó trục đối xứng là đường thẳng x = 2. Vậy ta chọn phương án D."
Cho hàm số y = f(x) = ax^2 + bx + c có đồ thị như hình vẽ: Đặt ∆ = b^2 – 4ac. Tìm dấu của a và ∆.,"a > 0, ∆ > 0;","a < 0, ∆ > 0;","a > 0, ∆ = 0;","a < 0, ∆ = 0.",A,"Quan sát đồ thị, ta thấy parabol có bề lõm quay lên trên nên a > 0. Lại có đồ thị cắt trục Ox tại hai điểm phân biệt (cụ thể là tại x = 1 và x = 4) nên phương trình ax^2 + bx + c = 0 có hai nghiệm x1, x2. Do đó ∆ > 0. Vậy a > 0, ∆ > 0."
Cho hàm số y = –x² + 5x – 4. Khẳng định nào sau đây đúng?,A. Hàm số đạt giá trị lớn nhất bằng \frac{5}{2},B. Hàm số đạt giá trị nhỏ nhất bằng \frac{5}{2},C. Hàm số đạt giá trị nhỏ nhất bằng \frac{9}{4},D. Hàm số đạt giá trị lớn nhất bằng \frac{9}{4},D,"Hàm số đã cho có dạng y = ax² + bx + c, với a = –1, b = 5, c = –4. ∆ = b² – 4ac = 5² – 4.(–1).(–4) = 9. Vì a = –1 < 0 nên hàm số đạt giá trị lớn nhất bằng \frac{−Δ}{4a} = \frac{9}{4.−1} = \frac{9}{4} tại x = \frac{−b}{2a} = \frac{−5}{2.−1} = \frac{5}{2}. Vậy hàm số đạt giá trị lớn nhất bằng \frac{9}{4} tại x = \frac{5}{2}. Ta chọn phương án D."
Cho hàm số y = –x² – x – 1. Tập giá trị của hàm số đã cho là:,A. –∞; 3/4,B. –∞; –3/4,C. [–3/4; +∞),D. –∞; –3/4,B,Vì a = –1 < 0 nên hàm số có giá trị lớn nhất bằng 3/4 và có tập giá trị là –∞; –3/4
Điều kiện của m để hàm số y = (m – 1)x^2 + 2mx – m^2 + 4 là hàm số bậc hai là:,m > 1,m < 1,m ≠ 1,m ≥ 1,D,"Parabol (P): y = ax^2 + 3x – 2 (a ≠ 0) có b = 3. (P) có trục đối xứng là đường thẳng x = –3. Ta suy ra –(b/(2a)) = 3. Tức là, -(3/(2a)) = -3. Khi đó ta có a = 1/2 (thỏa mãn a ≠ 0). Vậy (P): y = 1/2*x^2 + 3x – 2. Do đó ta chọn phương án D."
