question,A,B,C,D,answer,reasoning
Mỗi cách xếp 6 người thành một hàng dọc là một hoán vị của 6 người đó. Vậy số cách xếp 6 người thành một hàng dọc là: 6! = 720,720,,,,A,6! = 720
,1.120 = 120 cách xếp,,,,A,Vì A đứng đầu hàng nên A có 1 cách xếp. Xếp 5 người còn lại vào 5 vị trí có 5! = 120 cách xếp. Vậy có 1.120 = 120 cách xếp.
Xếp ngẫu nhiên 3 bạn nam và 4 bạn nữ ngồi vào bảy ghế kê theo hàng ngang. Hỏi có bao nhiêu cách xếp sao cho 3 bạn nam ngồi cạnh nhau?,720,1440,288,240,B,Vì xếp 3 bạn nam luôn ngồi cạnh nhau nên ta coi 3 bạn nam là một vị trí xếp. Vậy ta còn 5 vị trí để xếp. Mỗi cách xếp 5 vị trí này là một hoán vị của 5 phần tử. Vậy số cách xếp 5 vị trí là: 5! = 120 (cách). Ngoài 5 vị trí xếp trên trong nhóm 3 bạn nam ta cũng xếp 3 bạn vào 3 vị trí số cách xếp này là 3! = 12 (cách). Áp dụng quy tắc nhân ta có số cách xếp 3 bạn nam và 4 bạn nữ ngồi thành một hàng ngang thoả mãn 3 bạn nam ngồi cạnh nhau là: 12.120 = 1440 (cách).
Xếp ngẫu nhiên 3 bạn nam và 4 bạn nữ ngồi vào bảy ghế kê theo hàng ngang. Hỏi có bao nhiêu cách xếp sao cho 3 bạn nam ngồi cạnh nhau?,288,720,1440,240,D,Mỗi cách chọn 4 trong 16 thành viên để bầu ban chấp hành (có phân biệt thứ tự) là một chỉnh hợp chập 4 của 16 phần tử \frac{16!}{12!4!}.
"Số cách chọn một ban chấp hành gồm một trưởng ban, một phó ban, một thư kí và một thủ quỹ được chọn từ 16 thành viên là:",4,,,,D,Mỗi cách chọn 4 trong 16 thành viên để bầu ban chấp hành (có phân biệt thứ tự) là một chỉnh hợp chập 4 của 16 phần tử A16=16!/(16-4)!=16!/12!*4!=16!/12*11*10*9*8*7*6*5*4*3*2*1=24.
Giá trị của x thoả mãn phương trình Ax+9=9x8 là:,x = 10,x = 9,x = 11,x = 12,B,Ta có Ax+9=9x8⇔x!/(x−10)!+x!/(x−9)!=9⇔x!/(x−8)!+1/(x−10)(x−9)=9⇔x!/(x−8)!=9⇔x=9
Có bao nhiêu cách sắp xếp 20 thí sinh vào một phòng thi có 20 bàn mỗi bàn một thí sinh.,20,1,20^20,20!,D,"Mỗi cách xếp 20 thí sinh vào 20 vị trí của một phòng thi là một hoán vị của 20 phần tử, vậy số cách xếp là 20! cách."
Có bao nhiêu cách sắp xếp 20 thí sinh vào một phòng thi có 20 bàn mỗi bàn một thí sinh.,20,,20^20,20!,D,"Mỗi cách xếp 20 thí sinh vào 20 vị trí của một phòng thi là một hoán vị của 20 phần tử, vậy số cách xếp là 20! cách."
Giá trị của n thỏa mãn 3A²n² – 2An + 42 = 0 là:,7,8,6,9,C,Ta có 3A²n² – 2An + 42 = 0 ⇔ 3n(n – 1) – 2n(2n – 1) + 42 = 0 ⇔ -n² – n + 42 = 0 ⇔ n = 6 hoặc n = – 7. Kết hợp với điều kiện n = 6 thoả mãn.
"Câu 10. Một đội cổ động viên gồm có 3 người mặc áo vàng, 4 người mặc áo đỏ, 5 người mặc áo xanh. Hỏi có bao nhiêu cách xếp các cổ động viên thành một hàng dọc sao cho các cổ động viên cùng màu áo đứng cạnh nhau?",345600,518400,725760,103680,D,Số cách xếp 3 cổ động viên mặc áo vàng là: 3! cách. Số cách xếp 4 cổ động viên mặc áo đỏ là: 4! cách. Số cách xếp 5 cổ động viên mặc áo xanh là: 5! cách. Hoán đổi vị trí của 3 nhóm cổ động viên có 3! cách. Vậy số cách xếp thỏa yêu cầu đề bài bằng 3!.3!.4!.5! = 103680 cách.
