question,A,B,C,D,answer,reasoning
,,,,,B,"Ta thấy tỉ lệ tăng của ngày 3 là 40,9% khác xa 30%. Do đó trong bảng số liệu đã cho, số sản phẩm bán được ngày 3 không chính xác."
,,,,,B,"Quan sát biểu đồ ta thấy: Số dân thành thị tăng qua các năm (vì 22,4 < 26,5 < 28,3 < 31,1 < 31,9). Số dân nông thôn tăng qua các năm (vì 60,1 < 60,4 < 60,5 < 60,6 < 60,8). Do đó ta chọn đáp án B."
"Căn cứ vào biểu đồ, hãy chọn phát biểu đúng trong các phát biểu sau đây về tình hình dân số nước ta giai đoạn 2005 – 2016.","Số dân thành thị tăng, số dân nông thôn giảm;","Số dân thành thị tăng, số dân nông thôn tăng;","Số dân thành thị giảm, số dân nông thôn giảm;","Số dân thành thị giảm, số dân nông thôn tăng.",B,"Quan sát biểu đồ ta thấy: Số dân thành thị tăng qua các năm (vì 22,4 < 26,5 < 28,3 < 31,1 < 31,9). Số dân nông thôn tăng qua các năm (vì 60,1 < 60,4 < 60,5 < 60,6 < 60,8). Do đó ta chọn đáp án B."
Điểm trung bình học kỳ I một số môn học của bạn Hoa được biểu diễn qua biểu đồ dưới đây:,Điểm trung bình môn Sinh học của bạn Hoa cao nhất,Điểm trung bình môn Ngữ văn của bạn Hoa thấp nhất,Điểm trung bình môn Vật lí của bạn Hoa cao hơn điểm trung bình môn Hóa học,Điểm trung bình môn Toán của bạn Hoa cao hơn điểm trung bình môn Tiếng Anh,C,"Quan sát biểu đồ, ta thấy: điểm trung bình các môn được sắp xếp theo thứ tự tăng dần là: Ngữ văn, Tiếng Anh, Vật lí, Toán, Hoá học, Sinh học. Đáp án C sai. Sửa lại: Điểm trung bình môn Vật lí thấp hơn điểm trung bình môn Hóa học."
Chọn phát biểu đúng.,Chỉ khi biểu diễn dữ liệu trên bảng mới giúp ta có cái nhìn trực quan về dữ liệu;,Chỉ khi biểu diễn dữ liệu trên biểu đồ mới giúp ta có cái nhìn trực quan về dữ liệu;,Biểu diễn dữ liệu trên bảng và biểu đồ giúp ta có cái nhìn trực quan về dữ liệu;,Biểu diễn dữ liệu trên bảng và biểu đồ không giúp ta có cái nhìn trực quan về dữ liệu.,C,"Biểu diễn dữ liệu trên bảng và biểu đồ giúp ta có cái nhìn trực quan về dữ liệu, từ đó có thể tiến hành các thao tác đối chiếu, so sánh hay phát hiện ra những điểm không hợp lý trong mẫu số liệu."
Lớp trưởng lớp 10A thống kê số học sinh và số cây trồng được theo từng tổ trong buổi ngoại khóa như sau: Bảng thống kê có một tổ bị thống kê sai. Tổ mà bạn lớp trưởng đã thống kê sai là:,Tổ 1;,Tổ 2;,Tổ 3;,Tổ 4.,C,Số cây tối đa tổ 3 trồng được là: 12.3 = 36 (cây). Vì 38 (cây) > 36 (cây) nên thống kê số cây tổ 3 trồng được là sai.
An vẽ biểu đồ thể hiện tỉ lệ số lượng mỗi loại cây ăn quả trong một nông trại theo bảng thống kê dưới đây:,"A. Chưa chính xác, cần đổi chỗ “Cây táo” và “Cây mận” ở phần chú thích;","B. Chưa chính xác, cần đổi chỗ “Cây xoài” và “Cây táo” ở phần chú thích;","C. Chưa chính xác, cần đổi chỗ “Cây chanh” và “Cây mận” ở phần chú thích;",D. Biểu đồ An vẽ đã chính xác.,A,"Theo bảng thống kê thì số lượng cây táo nhiều hơn số lượng cây mận và số cây táo bằng số cây xoài. Nên trên biểu đồ hình quạt, hình quạt biểu diễn tỉ lệ cây táo phải nhiều hơn tỉ lệ cây mận và tỉ lệ cây táo bằng tỉ lệ cây xoài. Do đó biểu đồ An vẽ chưa chính xác. Ở phần chú thích, An nên đổi chỗ “Cây táo” và “Cây mận” thì sẽ được biểu đồ chính xác."
"Cho biểu đồ lượng mưa (đơn vị: mm) ở Thành phố Hồ Chí Minh từ tháng 4 đến tháng 10 trong một năm như hình bên. Trong các phát biểu sau, chọn phát biểu đúng.",Lượng mưa mỗi tháng đều trên 250 mm;,Lượng mưa tháng 5 tăng gấp khoảng 4 lần so với tháng 4;,Tháng 9 có lượng mưa cao nhất;,Không có tháng nào có lượng mưa cao hơn 325 mm.,B,"Đáp án A sai vì: Lượng mưa tháng 4 và tháng 5 đều dưới 250 mm. Đáp án B đúng vì: lượng mưa tháng 5 gấp số lần lượng mưa tháng 4 là: 231 : 55 = 4,2 ≈ 4 (lần). Đáp án C sai vì: Lượng mưa tháng 6 là 328 mm, lượng mưa tháng 9 là 325 mm mà 328 (mm) > 325 (mm). Do đó tháng 9 không phải tháng có lượng mưa cao nhất. Đáp án D sai vì lượng mưa tháng 6 cao hơn 325 mm."
"Một đội gồm 30 thợ hồ được chia đều làm 5 tổ. Trong một ngày, mỗi thợ hồ quét sơn được từ 36 đến 40 m^2. Cuối ngày, đội trưởng thống kê lại số mét vuông tường mà mỗi tổ đã quét sơn như bảng sau: Hỏi đội trưởng thống kê đúng chưa? Nếu sai thì sai ở tổ nào?",Đội trưởng đã thống kê đúng;,Đội trưởng đã thống kê sai ở tổ 2;,Đội trưởng đã thống kê sai ở tổ 3;,Đội trưởng đã thống kê sai ở tổ 4.,B,"Mỗi tổ gồm 30 : 5 = 6 (thợ hồ). Trong một ngày, mỗi thợ hồ quét sơn được 36 đến 40 m^2 nên mỗi tổ quét sơn được từ 6.36 = 216 m^2 đến 6.40 = 240 m^2. Do đó, bảng trên ghi tổ 2 quét sơn được 242 m^2 là không chính xác."
"Để biểu diễn số lượng đàn bò và đàn lợn trên thế giới qua các năm, biểu đồ nào thích hợp nhất?",Biểu đồ cột đơn,Biểu đồ cột kép,Biểu đồ hình quạt,Không có loại biểu đồ nào phù hợp,B,"Biểu đồ cột kép được sử dụng để biểu diễn dữ liệu có hai đối tượng thống kê. Quan sát bảng dữ liệu, ta thấy có hai loại vật nuôi là bò và lợn nên biểu đồ cột đơn và biểu đồ hình quạt không phù hợp vì biểu đồ cột đơn và biểu đồ hình quạt đơn được sử dụng để biểu thị dữ liệu có một đối tượng."
