question,A,B,C,D,answer,reasoning
Hiển thị đáp án ,A,,,,A,"Biến cố chắc chắn là biến cố luôn xảy ra, kí hiệu là Ω. Do đó phương án B sai. Biến cố không thể là biến cố không bao giờ xảy ra, kí hiệu là ∅. Do đó phương án A đúng. Phép thử ngẫu nhiên (gọi tắt là phép thử) là một hoạt động mà ta không thể biết trước được kết quả của nó. Do đó phương án C sai. Tập hợp tất cả các kết quả có thể có của phép thử ngẫu nhiên được gọi là không gian mẫu. Do đó phương án D sai. Vậy ta chọn phương án A."
Nguyên lí xác suất bé được phát biểu như thế nào?,"Nếu một biến cố có xác suất rất bé thì trong một phép thử, biến cố đó sẽ không xảy ra.","Nếu một biến cố có xác suất rất bé thì trong một phép thử, biến cố đó không chắc sẽ xảy ra.","Nếu một biến cố có xác suất rất bé thì trong một phép thử, biến cố đó chắc chắn sẽ xảy ra.","Nếu một biến cố có xác suất rất bé thì trong một phép thử, biến cố đó có xác suất bằng 0;",D,"Theo Lí thuyết Xác suất, Nguyên lí xác suất bé được phát biểu như sau: Nếu một biến cố có xác suất rất bé thì trong một phép thử, biến cố đó sẽ không xảy ra. Vậy ta chọn phương án D."
Mệnh đề nào sau đây đúng?,A. Biến cố chắc chắn là biến cố không bao giờ xảy ra;,B. Mỗi tập con của không gian mẫu được gọi là một biến cố;,C. Một kết quả thuộc biến cố A được gọi là kết quả làm cho biến cố A không xảy ra;,D. Biến cố có khả năng xảy ra càng cao thì xác suất của nó càng gần 0.,B,"Phương án A sai, vì biến cố chắc chắn là biến cố luôn xảy ra. Phương án C sai, vì một kết quả thuộc biến cố A được gọi là kết quả làm cho biến cố A xảy ra, hoặc kết quả thuận lợi cho biến cố A. Phương án D sai, vì biến cố có khả năng xảy ra càng cao thì xác suất của nó càng gần 1. Vậy ta chọn phương án B."
Một hộp chứa 4 quả cầu trắng và 6 quả cầu xanh có kích thước và khối lượng như nhau. Lấy ngẫu nhiên 3 quả cầu từ trong hộp. Hoạt động nào sau đây không phải là biến cố của phép thử trên?,Ba quả cầu lấy ra cùng màu với nhau;,Ba quả cầu lấy ra có ít nhất một quả màu trắng;,Ba quả cầu lấy ra gồm có ba màu;,Ba quả cầu lấy ra có nhiều nhất hai quả cầu màu xanh.,C,Ta thấy các quả cầu trong hộp chỉ có hai màu là trắng và xanh nên phép thử trên không thể có biến cố: “Ba quả cầu lấy ra gồm có ba màu” được. Do đó hoạt động của phương án C không phải là biến cố của phép thử đã cho.
6. Cho biến cố A có không gian mẫu là Ω và A¯ là biến cố đối của biến cố A. Khẳng định nào sau đây sai?,"P(A) ≥ 0, với mọi biến cố A;",P(∅) = 0;,P(Ω) > 1;,"P(A) ≤ 1, với mọi biến cố A.",C,"0 ≤ P(A) ≤ 1. Do đó phương án A, D đúng. P(Ω) = 1 và P(∅) = 0. Do đó phương án B đúng, phương án C sai. Vậy ta chọn phương án C."
"Lấy ngẫu nhiên hai viên bi từ một thùng có 4 bi xanh, 5 bi đỏ và 6 bi vàng. Số phần tử của không gian mẫu là: ",30,17,105,210,C,"Trong thùng có tổng cộng 4 + 5 + 6 = 15 (viên bi). Lấy ngẫu nhiên hai viên bi trong số 15 viên bi trong thùng mà không quan tâm đến thứ tự thì có C(15,2) = 105. Vậy số phần tử của không gian mẫu là: n(Ω) = 105. Do đó ta chọn phương án C."
Một cầu thủ sút bóng vào cầu môn một lần. Biết rằng xác suất sút vào cầu môn là 3/8. Xác suất không sút vào cầu môn của cầu thủ đó bằng:,3/8,5/8,1/2,0,B,Gọi A: “Cầu thủ sút vào cầu môn”. Ta có biến cố không sút vào cầu môn của cầu thủ là biến cố đối của biến cố sút vào cầu môn. Suy ra P¯A: “Cầu thủ không sút vào cầu môn”. Khi đó P¯A = 1 - P(A) = 1 - 3/8 = 5/8. Vậy ta chọn phương án B.
"Hai xạ thủ bắn vào một tấm bia, xác suất bắn trúng bia của xạ thủ 1 và 2 lần lượt là 0,8 và 0,7. Xạ thủ nào có khả năng bắn trúng thấp hơn?",2,"0,7","0,8",∅,C,"Vì 0,8 > 0,7 nên xạ thủ 2 có khả năng bắn trúng bia thấp hơn xạ thủ 1."
"Từ một hộp chứa 11 quả cầu đỏ và 4 quả cầu xanh, lấy ngẫu nhiên đồng thời 3 quả cầu. Xác suất để lấy được 3 quả cầu màu xanh là:",4/455,24/455,33/91,24/455,B,"Có tất cả 11 + 4 = 15 quả cầu trong hộp. Lấy ngẫu nhiên đồng thời 3 quả cầu (không tính đến thứ tự) thì có C(15,3)=455 cách chọn. Lấy ngẫu nhiên 3 quả cầu xanh trong 4 quả cầu xanh (không tính đến thứ tự) thì có C(4,3)=4 cách chọn. Vậy xác suất để lấy được 3 quả cầu màu xanh là: P(A)=n(A)/n(Ω)=4/455."
Xác suất để lấy được 3 quả cầu màu xanh là:,4/165,4/455,33/91,24/455,B,"Có tất cả 11 + 4 = 15 quả cầu trong hộp. Lấy ngẫu nhiên đồng thời 3 quả cầu (không tính đến thứ tự) thì có C(15,3) = 455 cách chọn. Tức là n(Ω) = 455. Gọi biến cố A: “Lấy được 3 quả cầu màu xanh”. Lấy ngẫu nhiên 3 quả cầu xanh trong 4 quả cầu xanh (không tính đến thứ tự) thì có C(4,3) = 4 cách chọn. Tức là n(A) = 4. Vậy xác suất để lấy được 3 quả cầu màu xanh là: P(A) = n(A)/n(Ω) = 4/455."
