question,A,B,C,D,answer,reasoning
Thời gian chạy trung bình của 20 học sinh là:,"17,015",,,,A,"x¯ = \frac{16,6.2 + 16,8.3 + 17,0.8 + 17,2.6 + 17,5.1}{20} = 17,015 (giây)"
,,,,,B,"Số điểm trung bình là: $overline{x} = 9.0,01 + 10.0,01 + 11.0,03 + 12.0,05 + 13.0,08 + 14.0,13 + 15.0,19 + 16.0,24 + 17.0,14 + 18.0,10 + 19.0,02$. $⇒ overline{x} = 15,23$."
Tìm số điểm trung bình của 100 học sinh tham dự kì thi.,"15,22","15,23","15,24","15,25",B,"Số điểm trung bình là: $overline{x} = 9.0,01 + 10.0,01 + 11.0,03 + 12.0,05 + 13.0,08 + 14.0,13 + 15.0,19 + 16.0,24 + 17.0,14 + 18.0,10 + 19.0,02$ $⇒ overline{x} = 15,23.$"
Cho bảng số liệu thống kê điểm kiểm tra giữa học kỳ I môn Toán của 40 học sinh như sau: Số trung vị M_{e} và mốt M_{o} của bảng số liệu trên lần lượt là:,"M_{e} = 8, M_{o} = 40;","M_{e} = 6, M_{o} = 18;","M_{e} = 6, M_{o} = 6;","M_{e} = 7, M_{o} = 6.",C,"Vì cỡ mẫu n = 40 = 2.20 là số chẵn nên trung vị M_{e} của mẫu số liệu là trung bình cộng của số liệu thứ 20 và thứ 21. Khi ta sắp xếp số điểm của 40 học sinh theo thứ tự không giảm thì số liệu thứ 20 và thứ 21 cùng bằng 6. Do đó số trung vị M_{e} = 6. Quan sát bảng dữ liệu, ta thấy học sinh đạt điểm 6 chiếm tần số lớn nhất (18 học sinh). Do đó mốt M_{o} = 6."
Mốt của mẫu số liệu là:,Giá trị có tần số lớn nhất,Giá trị có tần số nhỏ nhất,Tần số của giá trị lớn nhất,Tần số của giá trị nhỏ nhất,A,Mốt đặc trưng cho giá trị xuất hiện nhiều nhất trong mẫu. Hoặc ta có thể nói: Mốt của mẫu số liệu là giá trị có tần số lớn nhất. Do đó ta chọn đáp án A.
Cho bảng phân bố tần số khối lượng 30 quả trứng gà của một rổ trứng như sau: Số trung vị của mẫu số liệu trên là:,"37,5",40,35,30,C,Vì cỡ mẫu n = 30 = 2.15 là số chẵn nên trung vị M_{e} của mẫu số liệu là trung bình cộng của số liệu thứ 15 và thứ 16. Khi ta sắp xếp khối lượng của 30 quả trứng gà theo thứ tự không giảm thì số liệu thứ 15 và thứ 16 cùng bằng 35. Do đó số trung vị M_{e} = 35.
"Trong học kỳ I, bạn An đạt được điểm môn Toán như sau: Điểm hệ số 1: 8; 9; 7; 9; 9. Điểm hệ số 2: 6; 8; 7; 8. Điểm hệ số 3: 9. Điểm số trung bình môn Toán của bạn An gần đúng với giá trị nào nhất trong các giá trị sau?",7,8,"7,5","7,6",D,"Điểm trung bình môn Toán của bạn An là: $\bar{x} = \frac{8+9+7+9+9+6.2+8.2+7.2+8.2+9.3}{1+1+1+1+1+2+2+2+2+3} = 7,5625 \approx 7,6.$"
Điểm kiểm tra môn Anh của 24 học sinh được ghi lại trong bảng sau. Tìm mốt của bảng số liệu trên.,5,6,7,8,B,Ta lập bảng tần số và thấy điểm 6 có tần số lớn nhất nên mốt của mẫu số liệu bằng 6.
"Điều tra tiền lương (đơn vị: nghìn đồng) hàng tháng của 30 công nhân của một xưởng may, người ta thu được bảng sau: Tứ phân vị thứ nhất và tứ phân vị thứ ba của mẫu số liệu trên lần lượt là:","Q_{1} = 1000, Q_{3} = 700;","Q_{1} = 700, Q_{3} = 1000;","Q_{1} = 800, Q_{3} = 900;","Q_{1} = 900, Q_{3} = 800.",B,"Sắp xếp mẫu số liệu theo thứ tự không giảm, ta được dãy sau: 300; 500; 500; 700; 700; 700; 800; 800; 900; 900; 900; 1000; 1000; 1000; 1000. Vì cỡ mẫu n = 15 là số lẻ, nên giá trị tứ phân vị thứ hai của mẫu số liệu là số liệu thứ 8. Do đó giá trị tứ phân vị thứ hai Q_{2} = 800. Tứ phân vị thứ nhất là trung vị của mẫu (nửa số liệu bên trái của Q_{2} trong dãy mẫu số liệu ban đầu và không kể Q_{2}): 300; 500; 500; 700; 700; 700; 800. Do đó Q_{1} = 700. Tứ phân vị thứ ba là trung vị của mẫu (nửa số liệu bên phải Q_{2} trong dãy mẫu số liệu ban đầu và không kể Q_{2}): 900; 900; 900; 1000; 1000; 1000; 1000. Do đó Q_{3} = 1000. Vậy ta chọn đáp án B."
"Tiền thưởng (đơn vị: triệu đồng) cho 43 cán bộ và nhân viên trong công ty X được thống kê lại như sau: So sánh giá trị của các tứ phân vị Q_{1}, Q_{2}, Q_{3}.",Q_{1}  Q_{2} = Q_{3};,Q_{1} = Q_{2}  Q_{3};,Q_{1}  Q_{2}  Q_{3};,Q_{1} = Q_{2} = Q_{3}.,C,"Vì cỡ mẫu n = 43 = 2.21 + 1 là số lẻ, nên giá trị tứ phân vị thứ hai của mẫu số liệu là số liệu thứ 22. Do đó giá trị tứ phân vị thứ hai Q_{2} = 4. Tứ phân vị thứ nhất là trung vị của nửa mẫu số liệu bên trái Q_{2} (không kể Q_{2}). Ta có cỡ mẫu lúc này n_{1} = 21 = 2.10 + 1 là số lẻ, nên giá trị tứ phân vị thứ nhất là số liệu thứ 11. Do đó giá trị tứ phân vị thứ nhất Q_{1} = 3. Tứ phân vị thứ ba là trung vị của nửa mẫu số liệu bên phải Q_{2} (không kể Q_{2}). Ta có cỡ mẫu lúc này n_{2} = 21 = 2.10 + 1 là số lẻ, nên giá trị tứ phân vị thứ ba là số liệu thứ 11 của mẫu số liệu mới này. Do đó giá trị tứ phân vị thứ ba Q_{3} = 5. Vì 3  4  5 nên ta suy ra Q_{1}  Q_{2}  Q_{3}."
"Tốc độ phát triển của một loại virus trong 10 ngày với các điều kiện khác nhau (đơn vị: nghìn con) được thống kê lại như sau: Trong trường hợp này, ta nên chọn số nào dưới đây làm giá trị đại diện là tốt nhất? Tính giá trị đại diện đó.","Số trung bình, \(\overline{x}\) = 209;","Số trung bình, \(\overline{x}\) = 80;","Trung vị, Me = 80;","Trung vị, Me = 209.",C,"Ta nên chọn số trung vị làm đại diện là tốt nhất vì có sự chênh lệch lớn giữa các số liệu trong mẫu. Do đó ta có thể loại đáp án A và B. Sắp xếp mẫu dữ liệu trên theo thứ tự không giảm, ta được: 20; 20; 20; 30; 60; 100; 150; 270; 440; 980. Vì cỡ mẫu n = 10 = 2.5 nên trung vị của mẫu là trung bình cộng của số liệu thứ 5 và thứ 6. Do đó Me = (60 + 100) : 2 = 80."
Một cảnh sát giao thông bắn tốc độ (đơn vị: km/h) của 13 chiếc xe qua trạm và ghi lại kết quả như sau: Hỏi mật độ số liệu tập trung chủ yếu ở đâu?,Bên trái Q_{2},Bên phải Q_{2},Số liệu dàn trải đều,Không thể biết được mật độ số liệu tập trung chủ yếu ở đâu,B,Vì khoảng cách giữa Q_{1} và Q_{2} lớn hơn khoảng cách giữa Q_{2} và Q_{3}. Ta suy ra mật độ số liệu ở bên trái Q_{2} thấp hơn ở bên phải Q_{2}.
"Người ta đã tiến hành thăm dò ý kiến của khách hàng về các mẫu 1, 2, 3, 4, 5 của một loại sản phẩm mới được sản xuất ở nhà máy X. Dưới đây là bảng tần số theo số phiếu tín nhiệm dành cho các mẫu kể trên: 
 Mẫu 	 1 	 2 	 3 	 4 	 5 
 Số phiếu 	 2100 	 1850 	 1980 	 2020 	 x 	 	 n = 10 000 
 Trong sản xuất, nhà máy nên ưu tiên cho mẫu nào?",Mẫu 1,Mẫu 3,Mẫu 4,Mẫu 5,A,"Quan sát bảng tần số, ta thấy số phiếu tín nhiệm của mẫu 5 còn trống. 
 Nên ta cần tìm số phiếu tín nhiệm của mẫu 5 trước. 
 Ta có 2100 + 1850 + 1980 + 2020 + x = 10 000 
 ⇔ x = 10 000 – 7950 = 2050. 
 So sánh số phiếu của cả 5 mẫu, ta thấy số phiếu của mẫu 1 cao nhất. 
 Vậy nhà máy nên ưu tiên cho mẫu 1."
"Một cung thủ thực hiện 10 lần bắn, mong muốn của anh là đạt được điểm trung bình tối thiểu 7 điểm, kết quả 9 lần bắn đầu được cho bởi bảng sau: Ở lần bắn cuối cùng, cung thủ cần thực hiện tối thiểu bao nhiêu điểm để đạt được mức trung bình đề ra (x là số tự nhiên)?",x = 6,x = 7,x = 8,x = 9,B,"Mong muốn của cung thủ là đạt được điểm trung bình tối thiểu 7 điểm. Do đó ta có $\overline{x} = \frac{6+8+6+9+5+8+6+9+6+x}{10} \ge 7$. $\Leftrightarrow$ $63 + x \ge 70$. $\Leftrightarrow$ $x \ge 7$. Vậy ở lần bắn cuối cùng, cung thủ cần đạt được ít nhất 7 điểm."
"Để được cấp chứng chỉ A – Anh văn của một trung tâm ngoại ngữ, học viên phải trải qua 6 lần kiểm tra trắc nghiệm, thang điểm mỗi lần kiểm tra là 100 và phải đạt điểm trung bình từ 70 điểm trở lên. Qua 5 lần kiểm tra, Minh đạt điểm trung bình là 66,5 điểm. Hỏi trong lần kiểm tra cuối cùng, Minh phải đạt ít nhất là bao nhiêu điểm để được cấp chứng chỉ?","87,4","87,5","87,6","87,7",B,"Gọi x là số điểm trong lần kiểm tra cuối cùng mà Minh cần đạt được để được cấp chứng chỉ. Ta có tổng số điểm kiểm tra qua 5 lần thi của Minh là: 66,5.5 = 332,5. Điểm kiểm tra trung bình qua 6 lần thi cần đạt ít nhất 70 điểm. Nghĩa là $rac{332,5+x}{6} geq 70$. $⇔ x geq 70.6 – 332,5 = 87,5$. Vậy ở lần kiểm tra cuối cùng, Minh cần đạt ít nhất 87,5 điểm."
