question,A,B,C,D,answer,reasoning
,,,,,C,"Dựa vào các đáp án, ta có nhận xét sau: - Gọi C nằm trên tia đối của tia AO sao cho $OC = 3OA Rightarrow 3overrightarrow{OA} = overrightarrow{OC}$. - Dựng hình chữ nhật OCED suy ra $overrightarrow{OC} + overrightarrow{OD} = overrightarrow{OE}$ (quy tắc hình bình hành)."
,,,,,B,Vì M là trung điểm BC nên $overrightarrow{IB} + overrightarrow{IC} = 2overrightarrow{IM}$. Mặt khác I là trung điểm AM nên $overrightarrow{IA} + overrightarrow{IM} = overrightarrow{0}$. Suy ra $overrightarrow{IB} + overrightarrow{IC} + 2overrightarrow{IA} = 2overrightarrow{IM} + 2overrightarrow{IA} = 2(overrightarrow{IM} + overrightarrow{IA}) = overrightarrow{0}$.
"Cho tam giác ABC có M là trung điểm của BC, I là trung điểm của AM. Khẳng định nào sau đây đúng ?",\overrightarrow{IB} + 2\overrightarrow{IC} + \overrightarrow{IA} = \overrightarrow{0},\overrightarrow{IB} + \overrightarrow{IC} + 2\overrightarrow{IA} = \overrightarrow{0},2\overrightarrow{IB} + \overrightarrow{IC} + \overrightarrow{IA} = \overrightarrow{0},\overrightarrow{IB} + \overrightarrow{IC} + \overrightarrow{IA} = \overrightarrow{0},B,Vì M là trung điểm BC nên \overrightarrow{IB} + \overrightarrow{IC} = 2\overrightarrow{IM}. Mặt khác I là trung điểm AM nên \overrightarrow{IA} + \overrightarrow{IM} = \overrightarrow{0}. Suy ra \overrightarrow{IB} + \overrightarrow{IC} + 2\overrightarrow{IA} = \overrightarrow{0}.
"Cho tam giác ABC có M là trung điểm của BC, I là trung điểm của AM. Khẳng định nào sau đây đúng ?",$\overrightarrow{AI} = \frac{1}{4}(\overrightarrow{AB} + \overrightarrow{AC})$,$\overrightarrow{AI} = \frac{1}{4}(\overrightarrow{AB} - \overrightarrow{AC})$,$\overrightarrow{AI} = \frac{1}{4}\overrightarrow{AB} + \frac{1}{2}\overrightarrow{AC}$,$\overrightarrow{AI} = \frac{1}{4}\overrightarrow{AB} - \frac{1}{2}\overrightarrow{AC}$,A,Vì M là trung điểm BC nên $\overrightarrow{AB} + \overrightarrow{AC} = 2\overrightarrow{AM}$. Mặt khác I là trung điểm AM nên $2\overrightarrow{AI} = \overrightarrow{AM}$. Từ đó suy ra $\overrightarrow{AI} = \frac{1}{4}(\overrightarrow{AB} + \overrightarrow{AC})$.
Cho tam giác OAB vuông cân tại O cạnh OA = a. Tính $\boxed{BC}$,a,$\sqrt{2}a$,$a\sqrt{5}$,$2a\sqrt{2}$,C,Gọi C là điểm đối xứng của O qua A $\Rightarrow OC = 2a$. Tam giác OBC vuông tại O có $BC = \sqrt{OB^2 + OC^2} = \sqrt{a^2 + (2a)^2} = a\sqrt{5}$.
"Cho tam giác ABC có M là trung điểm của BC, G là trọng tâm của tam giác ABC. Khẳng định nào sau đây đúng ?",$\overrightarrow{AG} = \frac{1}{3} \overrightarrow{AB} + \frac{2}{3} \overrightarrow{AC}$,$\overrightarrow{AG} = \frac{1}{3} \overrightarrow{AB} + \frac{1}{3} \overrightarrow{AC}$,$\overrightarrow{AG} = \frac{2}{3} \overrightarrow{AB} + \frac{1}{3} \overrightarrow{AC}$,$\overrightarrow{AG} = \frac{1}{3} \overrightarrow{AB} + \frac{1}{3} \overrightarrow{AC}$,B,$\overrightarrow{AG} = \frac{1}{3} \overrightarrow{AB} + \frac{1}{3} \overrightarrow{AC}$
"Cho tứ giác ABCD. Trên cạnh AB, CD lấy lần lượt các điểm M, N sao cho $3\overrightarrow{AM} = 2\overrightarrow{AB}$ và $3\overrightarrow{DN} = 2\overrightarrow{DC}$. Tính vectơ $\overrightarrow{MN}$ theo hai vectơ $\overrightarrow{AD}, \overrightarrow{BC}$.",$\overrightarrow{MN} = \frac{1}{3}\overrightarrow{AD} + \frac{1}{3}\overrightarrow{BC}$,$\overrightarrow{MN} = \frac{1}{3}\overrightarrow{AD} - \frac{2}{3}\overrightarrow{BC}$,$\overrightarrow{MN} = \frac{1}{3}\overrightarrow{AD} + \frac{2}{3}\overrightarrow{BC}$,$\overrightarrow{MN} = \frac{2}{3}\overrightarrow{AD} + \frac{1}{3}\overrightarrow{BC}$,C,"Ta có : $\overrightarrow{MN} = \overrightarrow{MA} + \overrightarrow{AD} + \overrightarrow{DN}$ và $\overrightarrow{MN} = \overrightarrow{MB} + \overrightarrow{BC} + \overrightarrow{CN}$. Suy ra $3\overrightarrow{MN} = \overrightarrow{MA} + \overrightarrow{AD} + \overrightarrow{DN} + 2(\overrightarrow{MB} + \overrightarrow{BC} + \overrightarrow{CN})$. Theo bài ra, ta có: $\overrightarrow{MA} + 2\overrightarrow{MB} = \overrightarrow{0}$ và $\overrightarrow{DN} + 2\overrightarrow{CN} = \overrightarrow{0}$. Thật vậy: $3\overrightarrow{AM} = 2\overrightarrow{AB} \Leftrightarrow 3\overrightarrow{AM} = 2(\overrightarrow{AM} + \overrightarrow{MB}) \Leftrightarrow 3\overrightarrow{AM} = 2\overrightarrow{AM} + 2\overrightarrow{MB} \Leftrightarrow \overrightarrow{AM} = 2\overrightarrow{MB} \Leftrightarrow 2\overrightarrow{MB} - \overrightarrow{AM} = \overrightarrow{0} \Leftrightarrow 2\overrightarrow{MB} + \overrightarrow{MA} = \overrightarrow{0}$. $3\overrightarrow{DN} = 2\overrightarrow{DC} \Leftrightarrow 3\overrightarrow{DN} = 2(\overrightarrow{DN} + \overrightarrow{NC}) \Leftrightarrow 3\overrightarrow{DN} = 2\overrightarrow{DN} + 2\overrightarrow{NC} \Leftrightarrow \overrightarrow{DN} = 2\overrightarrow{NC} \Leftrightarrow \overrightarrow{DN} - 2\overrightarrow{NC} = \overrightarrow{0} \Leftrightarrow \overrightarrow{DN} + 2\overrightarrow{CN} = \overrightarrow{0}$. Vậy $3\overrightarrow{MN} = \overrightarrow{AD} + 2\overrightarrow{BC} + \overrightarrow{0} + \overrightarrow{0} \Leftrightarrow \overrightarrow{MN} = \frac{1}{3}\overrightarrow{AD} + \frac{2}{3}\overrightarrow{BC}$."
Cho hình thang ABCD có đáy là AB và CD. Gọi M và N lần lượt là trung điểm của AD và BC. Khẳng định nào sau đây sai ?,Moverrightarrow{N} = Moverrightarrow{D} + overrightarrow{DC} + overrightarrow{CN},Moverrightarrow{N} = overrightarrow{AB} - overrightarrow{MD} + overrightarrow{BN},Moverrightarrow{N} = rac{1}{2}(overrightarrow{AD} + overrightarrow{BC}),Moverrightarrow{N} = rac{1}{2}(overrightarrow{AD} + overrightarrow{BC}),D,"Vì M, N lần lượt là trung điểm của AD, BC"
Cho hình bình hành ABCD có M là trung điểm của AB. Khẳng định nào sau đây đúng ?,\overrightarrow{DM} = \frac{1}{2}\overrightarrow{CD} + \overrightarrow{BC},\overrightarrow{DM} = \frac{1}{2}\overrightarrow{CD} - \overrightarrow{BC},\overrightarrow{DM} = \frac{1}{2}\overrightarrow{DC} - \overrightarrow{BC},\overrightarrow{DM} = \frac{1}{2}\overrightarrow{DC} + \overrightarrow{BC},C,Xét các đáp án ta thấy cần phân tích vectơ \overrightarrow{DM} theo hai vectơ \overrightarrow{DC} và \overrightarrow{BC}. Vì ABCD là hình bình hành nên \overrightarrow{DB} = \overrightarrow{DA} + \overrightarrow{DC}. Và M là trung điểm AB nên 2\overrightarrow{DM} = \overrightarrow{DA} + \overrightarrow{DB}. suy ra \overrightarrow{DM} = \frac{1}{2}\overrightarrow{DC} - \overrightarrow{BC}.
Cho tam giác ABC điểm M thuộc cạnh AB sao cho 3AM = AB và N là trung điểm của AC. Tính $\overrightarrow{MN}$ theo $\overrightarrow{AB}$ và $\overrightarrow{AC}$.,$\overrightarrow{MN} = \frac{1}{2} \overrightarrow{AB} + \frac{1}{3} \overrightarrow{AC}$,$\overrightarrow{MN} = -\frac{1}{3} \overrightarrow{AB} + \frac{1}{2} \overrightarrow{AC}$,$\overrightarrow{MN} = \frac{1}{2} \overrightarrow{AB} - \frac{1}{3} \overrightarrow{AC}$,$\overrightarrow{MN} = \frac{1}{2} \overrightarrow{AC} - \frac{1}{3} \overrightarrow{AB}$,B,$\overrightarrow{MN} = -\frac{1}{3} \overrightarrow{AB} + \frac{1}{2} \overrightarrow{AC}$
