question,A,B,C,D,answer,reasoning
,,,,,A,C→D = (–1 – 3); 2 – (–4)) = (–4; 6). Khi đó C→D = –4i + 6j.
,6; –9,,,,A,Ta có : <math>6i→−9j→</math> ⇒ <math>E F→ = (6; –9).</math>
"Tìm tọa độ của vectơ <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>F</mi></mrow><mo>→</mo></mover></math>, biết <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>F</mi></mrow><mo>→</mo></mover><mo>=</mo><mn>6</mn><mover><mi>i</mi><mo>→</mo></mover><mo>−</mo><mn>9</mn><mover><mi>j</mi><mo>→</mo></mover></math>:",6; -9,,,,A,"Ta có: <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>F</mi></mrow><mo>→</mo></mover><mo>=</mo><mn>6</mn><mover><mi>i</mi><mo>→</mo></mover><mo>−</mo><mn>9</mn><mover><mi>j</mi><mo>→</mo></mover></math>⇒ <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>F</mi></mrow><mo>→</mo></mover><mo>=</mo><mfenced><mrow><mn>6</mn><mo>;</mo><mn>-9</mn></mrow></mfenced></math>"
"Cho các vectơ sau: a→ = 3j→, b→ = 0;3, c→ = 3i→. Có bao nhiêu cặp vectơ bằng nhau:",0,1,2,3,B,Ta có: a→ = 3j→⇒ a→ = 0;3; c→ = 3i→ = 3;0. ⇒ a→ = b→
"Trong hệ tọa độ Oxy cho A (2; –4), B (–5; 3). Tìm tọa độ của vectơ A→.",A. (7; –7),B. (–7; 7),C. (9; –5),D. (1; –5),C,Ta có : A→ = (–5 – 2; 3 – (–4)) = (–7; 7).
"Trong hệ tọa độ Oxy cho A (5; 2), B (10; 8). Tìm tọa độ của vectơ →.",→ = (15; 10);,,→ = (5; 6);,→ = (50; 16);,C,Ta có : → = (10 – 5 ; 8 – 2) = (5; 6).
Trong hệ tọa độ Oxy cho ba điểm A (1; 3); B (–1; 2); C (–2 ; 1). Tìm tọa độ D sao cho tứ giác ABCD là hình chữ nhật.,A. (–2; 0),B. (0; 2),C. (–1; 2),D. (–1; 0),B,Gọi tọa độ của điểm D là D(x_D; y_D). Ta có : BA → = (1 – (– 1); 3 – 2) = (2; 1); CD → = x_D + 2; y_D – 1. ABCD là hình chữ nhật nên ⇒ D(0; 2).
Trong hệ tọa độ Oxy cho hai điểm I (2; –3). Tìm tọa độ điểm M đối xứng với điểm I qua gốc O.,2; 3,-2; -3,3; 2,-2; 3,D,Ta có: AC→=2;−3;2−5=2;−3;BD→=m−1;n−2. Để ACDB là hình bình hành thì m + n = 3 + (– 1) = 2.
"Trong hệ tọa độ Oxy cho ba điểm A(3; 5), B(1; 2), C(5; 2) và D(m ; n) . Tính m + n để ACDB là hình bình hành.",m + n = 3,m + n = – 1,m + n = 2,m + n = 4,C,Ta có: AC→=2; BD→=m−1;n−2⇒ m + n = 3 + (– 1) = 2.
"Trong hệ tọa độ Oxy cho ba điểm A (–1 ; 1), B (1 ; 3), C (–1; 4) , D(1; 0). Khẳng định nào sau đây đúng?",A. AB→ = AC→ ;,"B. AB→ , CD→ ngược hướng ;","C. AB→ , CD→ cùng hướng ;","D. A, B, C, D trùng nhau.",B,"Ta có : AB→ = -2. (-1; -1) = AC→, suy ra AB→ , CD→ ngược hướng."
"Trong hệ tọa độ Oxy cho bốn điểm A (3; -2), B (7; 1), C (0; 1), D (-8; -5) Khẳng định nào sau đây đúng?",A. Vectơ A B và vectơ C D là hai vectơ trùng nhau ;,B. Vectơ A B và vectơ C D ngược hướng ;,C. Vectơ A B và vectơ C D cùng hướng ;,"D. A, B, C, D trùng nhau.",B,"Ta có : không cùng phương,"
"Trong hệ tọa độ Oxy cho bốn điểm A(1; 1), B(2; -1), C(4 ; 3), D (3 ; 5) Khẳng định nào sau đây đúng?",Tứ giác ABCD là hình bình hành,"A, B, C, D trùng nhau",\overrightarrow{AB} = \overrightarrow{CD},"\overrightarrow{AC}, \overrightarrow{AD} cùng phương",A,Ta có : \overrightarrow{ABCD} là hình bình hành
"Trong hệ tọa độ Oxy cho tam giác ABC có A (1; 1), B (-2; -2), C (7; 7) Khẳng định nào sau đây đúng?","A. A, B, C thẳng hàng ;",B. B ở giữa hai điểm A và C ;,C. A ở giữa hai điểm B và C ;,D. A→ và AC→ cùng hướng.,C,Ta có : u→ = 2a - 1; -3 và v→ = 3; 4b + 1. Đẳng thức này chứng tỏ A ở giữa hai điểm B và C.
