question,A,B,C,D,answer,reasoning
Tìm tiêu cự của hypebol (H) có phương trình 4x^2 – y^2 = 1,2,1,1,1/2,C,"Ta có 4x^2 – y^2 = 1. Suy ra x^2/1/4 – y^2/1 = 1. Hay x^2/(1/2)^2 – y^2/1^2 = 1. Khi đó ta có a = 1/2, b = 1. Ta có b = sqrt(c^2 - a^2). Suy ra c = sqrt(b^2 + a^2) = sqrt(1 + 1/4) = sqrt(5)/2. Vậy hypebol (H) có tiêu cự là 2c = sqrt(5)"
,,,,,C,"Ta có (P): y^2 = 16x nên 2p = 16. Suy ra p = 8. Do đó \frac{p}{2} = \frac{8}{2} = 4. Vì vậy (P) có tiêu điểm F(4; 0). Do đó phương án A đúng. • Ta có O(0; 0) là đỉnh của parabol (P) và Ox là trục đối xứng của parabol (P). Do đó phương án B, D đúng. Đến đây ta có thể chọn đáp án C. • Phương trình đường chuẩn ∆ có dạng: x = -\frac{p}{2} = -4. Do đó phương án C sai. Vậy ta chọn phương án C."
Cho parabol (P): y^{2} = 16x. Khẳng định nào sau đây sai?,A. (P) có tiêu điểm F(4; 0);,B. (P) có tọa độ đỉnh O(0; 0);,C. Phương trình đường chuẩn ∆: x = 4;,D. (P) nhận Ox làm trục đối xứng.,C,"Ta có (P): y^{2} = 16x nên 2p = 16. Suy ra p = 8. Do đó \frac{p}{2} = \frac{8}{2} = 4. Vì vậy (P) có tiêu điểm F(4; 0). Do đó phương án A đúng. Ta có O(0; 0) là đỉnh của parabol (P) và Ox là trục đối xứng của parabol (P). Do đó phương án B, D đúng. Đến đây ta có thể chọn đáp án C. Phương trình đường chuẩn ∆ có dạng: x = -\frac{p}{2} = -\frac{8}{2} = -4. Do đó phương án C sai. Vậy ta chọn phương án C."
"Elip có tỉ số giữa độ dài trục nhỏ và tiêu cự bằng $sqrt{2}$, tổng bình phương độ dài trục lớn và tiêu cự bằng 64. Phương trình chính tắc của elip là:",$rac{x^2}{12} + rac{y^2}{8} = 1$,$rac{x^2}{8} + rac{y^2}{12} = 1$,$rac{x^2}{12} + rac{y^2}{4} = 1$,$rac{x^2}{8} + rac{y^2}{4} = 1$,A,"Ta có tỉ số giữa độ dài trục nhỏ và tiêu cự bằng $sqrt{2}$. Suy ra $rac{2b}{2c} = sqrt{2}$. $⇔ b = csqrt{2}$. $⇔ sqrt{a^2 - c^2} = csqrt{2}$. $⇔ a^2 - c^2 = 2c^2$. $⇔ a^2 = 3c^2$. Lại có tổng bình phương độ dài trục lớn và tiêu cự bằng 64. Ta suy ra $(2a)^2 + (2c)^2 = 64$. $⇔ 4a^2 + 4c^2 = 64$. $⇔ a^2 + c^2 = 16$. $⇔ 3c^2 + c^2 = 16$. $⇔ 4c^2 = 16$. $⇔ c^2 = 4$. $⇔ c = 2$ (vì c > 0). Với c = 2, ta có: $• a^2 = 3c^2 = 3.2^2 = 12$. $• b = csqrt{2} = 2sqrt{2}$. Suy ra $b^2 = 8$. Vậy phương trình elip cần tìm là: $rac{x^2}{12} + rac{y^2}{8} = 1$. Do đó ta chọn phương án A."
"Cho elip (E): \(\frac{x^2}{25} + \frac{y^2}{9} = 1\). Trong các khẳng định sau, khẳng định nào sai?",A. (E) có các tiêu điểm F_1(–4; 0) và F_2(4; 0);,B. (E) có tỉ số \(\frac{c}{a} = \frac{4}{5}\);,C. (E) có đỉnh A_1(–5; 0);,D. (E) có độ dài trục nhỏ bằng 3.,D,"Ta có phương trình elip (E): \(\frac{x^2}{25} + \frac{y^2}{9} = 1\). Suy ra a^2 = 25, b^2 = 9. Ta có b^2 = a^2 - c^2. Suy ra c^2 = a^2 - b^2 = 25 - 9 = 16. Do đó c = 4. Vậy các tiêu điểm của elip (E) là: F_1(–4; 0), F_2(4; 0). Ta có tỉ số \(\frac{c}{a} = \frac{4}{5}\). Đỉnh A_1(–5; 0). Độ dài trục nhỏ là 2b = 2.3 = 6 ≠ 3. Do đó phương án D sai."
Hypebol có độ dài trục thực gấp đôi độ dài trục ảo và có tiêu cự bằng $4\sqrt{15}$. Phương trình chính tắc của hypebol là:,$\frac{x^2}{48} - \frac{y^2}{12} = 1$,$\frac{x^2}{12} - \frac{y^2}{48} = 1$,$\frac{x^2}{48} + \frac{y^2}{12} = 1$,$\frac{x^2}{48} + \frac{y^2}{12} = 1$,A,"Theo đề, ta có độ dài trục thực gấp đôi độ dài trục ảo. Ta suy ra $2a = 2.2b$. Do đó $a = 2b$. Hypebol có tiêu cự bằng $4\sqrt{15}$. Ta suy ra $2c = 4\sqrt{15}$. Do đó $c = 2\sqrt{15}$. Với $b = 2\sqrt{3}$, ta có: $a = 2b = 4\sqrt{3}$. Suy ra $a^2 = 48$. Vậy ta có phương trình chính tắc của hypebol là: $\frac{x^2}{48} - \frac{y^2}{12} = 1$."
"Trong các phương trình sau, phương trình nào là phương trình chính tắc của đường parabol?",$\frac{x^2}{8} + \frac{y^2}{24} = 1$,$y^2 = 2x$,$\frac{x^2}{64} - \frac{y^2}{49} = 1$,$x^2 = 21y$,B,Phương trình parabol có dạng: $y^2 = 2px$. Ta thấy chỉ có phương trình của đáp án B có dạng phương trình parabol trên.
Cho elip (E): \(\frac{x^2}{169} + \frac{y^2}{144} = 1\). Nếu điểm M nằm trên (E) có hoành độ bằng –13 thì độ dài MF_{1} và MF_{2} lần lượt là:,10 và 6,8 và 18,13 \(\pm\) \(\sqrt{5}\),13 \(\pm\) \(\sqrt{10}\),B,"Phương trình elip (E) có dạng: \(\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1\), với a = 13, b = 12. Ta có c = \(\sqrt{a^2 - b^2}\) = \(\sqrt{169 - 144}\) = 5. Khi đó F_{1}(-5; 0) và F_{2}(5; 0). Với M(x_{M}; y_{M}) ta có: F_{1}M = \(\sqrt{(x_{M} + 5)^2 + y_{M}^2}\) = \(\sqrt{169 + 10x_{M} + \frac{25}{169}x_{M}^2}\) = 13 + \(\frac{5}{13}\)x_{M} (do F_{1}M > 0). Tương tự ta có F_{2}M = 13 - \(\frac{5}{13}\)x_{M}. Mà theo bài x_{M} = –13 nên ta có: • F_{1}M = 8. • F_{2}M = 18. Do đó ta chọn phương án B."
Cho hypebol (H): \(\frac{x^2}{36} - \frac{y^2}{9} = 1\). Tỉ số giữa độ dài trục ảo và độ dài trục thực bằng:,2,\(\frac{1}{2}\),\(\frac{\sqrt{5}}{2}\),\(\frac{2\sqrt{5}}{5}\),B,"Ta có a = 6, b = 3. Suy ra: \(\cdot\) Độ dài trục ảo là: 2.3 = 6; \(\cdot\) Độ dài trục thực là: 2.6 = 12. Khi đó tỉ số giữa độ dài trục ảo và độ dài trục thực \(\frac{2b}{2a} = \frac{6}{12} = \frac{1}{2}\)."
Cho điểm A(3; 4) thuộc parabol (P). Phương trình chính tắc của parabol (P) là:,$y^2 = \frac{3}{16}x$,$y^2 = \frac{16}{3}x$,$y^2 = \frac{8}{3}x$,$y^2 = \frac{2}{3}x$,B,Phương trình chính tắc của parabol (P) có dạng: $y^2 = 2px$. Ta có A(3; 4) $\in$ (P). Suy ra $4^2 = 2.p.3$. Do đó $16 = 6p$. Khi đó ta có $p = \frac{8}{3}$ suy ra $2p = \frac{16}{3}$. Vậy phương trình chính tắc của parabol (P): $y^2 = \frac{16}{3}x$.
