question,A,B,C,D,answer,reasoning
"Ta có: <img alt=""15 Bài tập Tích vô hướng của hai vectơ (có đáp án) | Cánh diều Trắc nghiệm Toán 10"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-6-tich-vo-huong-cua-hai-vecto-151404.PNG"" style=""box-sizing: border-box; max-width: 100%; vertical-align: middle; border: 0px; display: inline; margin-left: auto; margin-right: auto; padding-bottom: 4px;""/> Mà theo giả thiết <img alt=""15 Bài tập Tích vô hướng của hai vectơ (có đáp án) | Cánh diều Trắc nghiệm Toán 10"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-6-tich-vo-huong-cua-hai-vecto-151406.PNG"" style=""box-sizing: border-box; max-width: 100%; vertical-align: middle; border: 0px; display: inline; margin-left: auto; margin-right: auto; padding-bottom: 4px;"">, suy ra ",,,,,A,"cos(a→,b→)=−1⇒a→,b→=180°"
,,,,Ta có: \frac{1}{2} + \frac{1}{2} = 1,D,Ta có: \frac{1}{2} + \frac{1}{2} = 1
Cho hai vectơ a → và b → thỏa mãn Xác định góc α giữa hai vectơ a → và b →,α = 30°,α = 45°,α = 60°,α = 90°,B,Ta có: u → ⊥ v → ⇒ u → . v → = 0 ⇔ 2/5a → - 3b → = 0 ⇔ 2a → - 13a → b → - 3b → = 0
"Cho hai vectơ <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>a</mi><mo>→</mo></mover></math> và <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>b</mi><mo>→</mo></mover></math> thỏa mãn <img alt=""15 Bài tập Tích vô hướng của hai vectơ (có đáp án) | Cánh diều Trắc nghiệm Toán 10"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-6-tich-vo-huong-cua-hai-vecto-151409.PNG"" style=""box-sizing: border-box; max-width: 100%; vertical-align: middle; border: 0px; display: inline; margin-left: auto; margin-right: auto; padding-bottom: 4px;""> và hai vectơ <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>u</mi><mo>→</mo></mover><mo>=</mo><mfrac><mn>2</mn><mn>5</mn></mfrac><mover><mi>a</mi><mo>→</mo></mover><mo>−</mo><mn>3</mn><mover><mi>b</mi><mo>→</mo></mover></math> và <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>v</mi><mo>→</mo></mover><mo>=</mo><mover><mi>a</mi><mo>→</mo></mover><mo>+</mo><mover><mi>b</mi><mo>→</mo></mover></math> vuông góc với nhau. Xác định góc <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>α</mi></math> giữa hai vectơ <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>a</mi><mo>→</mo></mover></math> và <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>b</mi><mo>→</mo></mover></math>.","A. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>α</mi><mo>=</mo><msup><mn>90</mn><mn>0</mn></msup><mo>;</mo></math>","B. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>α</mi><mo>=</mo><msup><mn>180</mn><mn>0</mn></msup><mo>;</mo></math>","C. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>α</mi><mo>=</mo><msup><mn>60</mn><mn>0</mn></msup><mo>;</mo></math>","D. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>α</mi><mo>=</mo><msup><mn>45</mn><mn>0</mn></msup><mo>;</mo></math>",A,"Ta có: <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>a</mi><mo>→</mo></mover><mo>,</mo><mover><mi>b</mi><mo>→</mo></mover></mrow></mfenced><mo>=</mo><msup><mn>0</mn><mn>0</mn></msup><mo>⇒</mo><mi>c</mi><mi>o</mi><mi>s</mi><mfenced><mrow><mover><mi>a</mi><mo>→</mo></mover><mo>,</mo><mover><mi>b</mi><mo>→</mo></mover></mrow></mfenced><mo>=</mo><mn>1</mn>"
"Cho tam giác đều ABC có cạnh bằng a. Tính tích vô hướng <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>A</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo></math>","A. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>A</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><msup><mi>a</mi><mn>2</mn></msup><mo>;</mo></math>","B. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><mfrac><mrow><msup><mi>a</mi><mn>2</mn></msup><msqrt><mn>3</mn></msqrt></mrow><mn>2</mn></mfrac><mo>;</mo></math>","C. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><mo>−</mo><mfrac><msup><mi>a</mi><mn>2</mn></msup><mn>2</mn></mfrac><mo>;</mo></math>","D. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><mfrac><msup><mi>a</mi><mn>2</mn></msup><mn>2</mn></mfrac><mo>;</mo></math>",C,"Xác định được góc <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>,</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover></mrow></mfenced></math> là góc ngoài của góc <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>B</mi><mo>^</mo></mover></math> nên <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>,</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover></mrow></mfenced><mo>=</mo><msup><mn>120</mn><mn>0</mn></msup></math>(do tam giác ABC là tam giác đều nên góc <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>B</mi><mo>^</mo></mover><mo>=</mo><mn>60</mn><mo>°</mo></math>, do đó, góc ngoài của góc B có số đo là 120<sup style=""box-sizing: border-box; position: relative; line-height: 0; vertical-align: baseline; top: -0.5em;"">o</sup>)."
"Cho tam giác ABC vuông cân tại A và có BC = 2. Tính tích vô hướng <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>C</mi><mi>A</mi></mrow><mo>→</mo></mover></math>",1,2,0,3,C,"Do tam giác ABC vuông cân tại A nên suy ra <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi><mi>B</mi><mo>⊥</mo><mi>C</mi><mi>A</mi></math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>⇒</mo></math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>C</mi><mi>A</mi></mrow><mo>→</mo></mover></math> = 0"
"Cho tam giác ABC vuông tại A và có AB = c; AC = b. Tính <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>.</mo></math>","A. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><msup><mi>b</mi><mn>2</mn></msup><mo>;</mo></math>","B. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><msup><mi>c</mi><mn>2</mn></msup><mo>;</mo></math>","C. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><msup><mi>b</mi><mn>2</mn></msup><mo>+</mo><msup><mi>c</mi><mn>2</mn></msup><mo>;</mo></math>","D. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><msup><mi>b</mi><mn>2</mn></msup><mo>−</mo><msup><mi>c</mi><mn>2</mn></msup><mo>;</mo></math>",B,"Áp dụng định lý Py – ta – go ta có: <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi><msup><mi>B</mi><mn>2</mn></msup><mo>+</mo><mi>A</mi><msup><mi>C</mi><mn>2</mn></msup><mo>=</mo><mi>B</mi><msup><mi>C</mi><mn>2</mn></msup></math> Lại có: cos B chính là cos <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>;</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover></mrow></mfenced></math>"
"Cho tam giác ABC vuông tại A và có AB = c; AC = b. Tính <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>.</mo></math>","A.<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><msup><mi>b</mi><mn>2</mn></msup><mo>;</mo></math>","B. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><msup><mi>c</mi><mn>2</mn></msup><mo>;</mo></math>","C. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><msup><mi>b</mi><mn>2</mn></msup><mo>+</mo><msup><mi>c</mi><mn>2</mn></msup><mo>;</mo></math>","D. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><msup><mi>c</mi><mn>2</mn></msup><mo>−</mo><msup><mi>b</mi><mn>2</mn></msup><mo>;</mo></math>",A,"Ta có:<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi><mo>=</mo><mfenced><mrow><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>+</mo><mover><mrow><mi>A</mi><mi>C</mi></mrow><mo>→</mo></mover></mrow></mfenced><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><mfenced><mrow><mover><mrow><mi>A</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>+</mo><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover></mrow></mfenced><mo>.</mo><mfenced><mrow><mover><mrow><mi>A</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>−</mo><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover></mrow></mfenced><mo>=</mo><msup><mover><mrow><mi>A</mi><mi>C</mi></mrow><mo>→</mo></mover><mn>2</mn></msup><mo>−</mo><msup><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mn>2</mn></msup><mo>=</mo><mi>A</mi><msup><mi>C</mi><mn>2</mn></msup><mo>−</mo><mi>A</mi><msup><mi>B</mi><mn>2</mn></msup><mo>=</mo><msup><mi>b</mi><mn>2</mn></msup><mo>−</mo><msup><mi>c</mi><mn>2</mn></msup><mo>;</mo></math>"
"Cho tam giác ABC có <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>B</mi><mi>C</mi><mo>=</mo><mi>a</mi><mo>,</mo><mtext></mtext><mi>C</mi><mi>A</mi><mo>=</mo><mi>b</mi><mo>,</mo><mi>A</mi><mi>B</mi><mo>=</mo><mi>c</mi><mo>.</mo></math> Tính <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi><mo>=</mo><mfenced><mrow><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>+</mo><mover><mrow><mi>A</mi><mi>C</mi></mrow><mo>→</mo></mover></mrow></mfenced><mo>.</mo><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>.</mo></math>","A. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi><mo>=</mo><msup><mi>b</mi><mn>2</mn></msup><mo>−</mo><msup><mi>c</mi><mn>2</mn></msup><mo>;</mo></math>","B. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi><mo>=</mo><mfrac><mrow><msup><mi>c</mi><mn>2</mn></msup><mo>+</mo><msup><mi>b</mi><mn>2</mn></msup></mrow><mn>2</mn></mfrac><mo>;</mo></math>","C. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi><mo>=</mo><mfrac><mrow><msup><mi>c</mi><mn>2</mn></msup><mo>+</mo><msup><mi>b</mi><mn>2</mn></msup><mo>+</mo><msup><mi>a</mi><mn>2</mn></msup></mrow><mn>3</mn></mfrac><mo>;</mo></math>","D. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi><mo>=</mo><mfrac><mrow><msup><mi>c</mi><mn>2</mn></msup><mo>+</mo><msup><mi>b</mi><mn>2</mn></msup><mo>−</mo><msup><mi>a</mi><mn>2</mn></msup></mrow><mn>2</mn></mfrac><mo>;</mo></math>",A,"Vì M là trung điểm của BC suy ra <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>+</mo><mover><mrow><mi>A</mi><mi>C</mi></mrow><mo>→</mo></mover><mo>=</mo><mn>2</mn><mtext></mtext><mover><mrow><mi>A</mi><mi>M</mi></mrow><mo>→</mo></mover><mo>.</mo></math>"
"Cho ba điểm O, A, B không thẳng hàng. Điều kiện cần và đủ để tích vô hướng <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mover><mrow><mi>O</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>+</mo><mover><mrow><mi>O</mi><mi>B</mi></mrow><mo>→</mo></mover></mrow></mfenced><mo>.</mo><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>=</mo><mn>0</mn></math> là",Tam giác OAB đều;,Tam giác OAB cân tại O;,Tam giác OAB vuông tại O;,Tam giác OAB vuông cân tại O.,B,"Ta có:<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mover><mrow><mi>O</mi><mi>A</mi></mrow><mo>→</mo></mover><mo>+</mo><mover><mrow><mi>O</mi><mi>B</mi></mrow><mo>→</mo></mover></mrow></mfenced><mo>.</mo><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>=</mo><mn>0</mn><mo>⇔</mo><mfenced><mrow><mover><mrow><mi>O</mi><mi>B</mi></mrow><mo>→</mo></mover><mo>−</mo><mover><mrow><mi>O</mi><mi>A</mi></mrow><mo>→</mo></mover></mrow></mfenced><mo>=</mo><mn>0</mn></math>⇔<mi>O</mi><msup><mi>B</mi><mn>2</mn></msup><mo>−</mo><mi>O</mi><msup><mi>A</mi><mn>2</mn></msup><mo>=</mo><mn>0</mn>⇔<mi>O</mi><mi>B</mi><mo>=</mo><mi>O</mi><mi>A</mi><mo>.</mo>"
