question,A,B,C,D,answer,reasoning
Bất phương trình –x² + 2x + 1 ≥ 0,–5² + 2.5 + 1 = –14 < 0,–2² + 2.2 + 1 = 1 > 0,–7² + 2.7 + 1 = –34 < 0,–(–1)² + 2.(–1) + 1 = –2 < 0,B,Bất phương trình –x² + 2x + 1 ≥ 0
Giá trị x nào sau đây là nghiệm của bất phương trình bậc hai một ẩn –x² + 2x + 1 ≥ 0?,x = 5;,x = 2;,x = 7;,x = –1;,B,Bất phương trình –x² + 2x + 1 ≥ 0. Vì –2² + 2.2 + 1 = 1 > 0. Nên x = 2 là nghiệm của bất phương trình –x² + 2x + 1 ≥ 0. Do đó phương án B đúng.
Giá trị của m để (m – 1)x² – 2(m + 1)x + m + 3 ≤ 0 là bất phương trình bậc hai một ẩn là:,m ≠ –3,m ≠ –1,m = 1,m ≠ 1,A,"Ta có x² + 2x – 1 ≤ 2x² – 5x + 5. ⇔ –x² + 7x – 6 ≥ 0. Do đó ta có thể đưa được bất phương trình x² + 2x – 1 ≤ 2x² – 5x + 5 về dạng: • ax² + bx + c ≤ 0, với a = –1, b = 7, c = –6."
"Cho bất phương trình f(x) = ax² + bx + c > 0, biết a < 0 và f(x) có nghiệm kép x0. Khi đó tập nghiệm của bất phương trình là:",A. (–∞; x0) ∪ (x0; +∞);,B. ∅;,C. {x0};,D. ℝ.,B,"Theo đề, ta có f(x) = ax² + bx + c > 0 (với a < 0) và có nghiệm kép x0. Suy ra f(x) âm trên hai khoảng (–∞; x0) và (x0; +∞); f(x) dương trên khoảng (–x0; x0); f(x) = 0 khi x = x0. Vì vậy bất phương trình f(x) ≥ 0 có tập nghiệm là [–x0; x0]. Trên đoạn [–x0; x0], ta thấy có 7 giá trị nguyên là: –x0; –x0+1; –x0+2; ...; x0-1; x0."
Cho f(x) = –x² – 4x + 5. Có bao nhiêu giá trị nguyên của x thỏa mãn f(x) ≥ 0?,5,7,10,Vô số,B,"Tam thức bậc hai f(x) = –x² – 4x + 5 có ∆ = (–2)² – (–1).5 = 9 > 0. Do đó f(x) có hai nghiệm phân biệt là: x1 = –5; x2 = 1. Ta lại có a = –1 < 0. Do đó ta có: f(x) âm trên hai khoảng (–∞; –5) và (1; +∞); f(x) dương trên khoảng (–5; 1); f(x) = 0 khi x = –5 hoặc x = 1. Vì vậy bất phương trình f(x) ≥ 0 có tập nghiệm là [–5; 1]. Trên đoạn [–5; 1], ta thấy có 7 giá trị nguyên là: –5; –4; –3; –2; –1; 0; 1. Vậy ta chọn phương án B."
Tập nghiệm của bất phương trình x² + 9 > 6x là:,2,ℝ \ {3},ℝ,(–∞; 3),B,Ta có x² + 9 > 6x. ⇔ x² – 6x + 9 > 0. Tam thức bậc hai f(x) = x² – 6x + 9 có ∆’ = (–3)² – 1.9 = 0. Suy ra f(x) có nghiệm kép x = 3. Ta lại có a = 1 > 0. Do đó ta có: f(x) dương trên hai khoảng (–∞; 3) và (3; +∞); f(x) = 0 khi x = 3. Vì vậy bất phương trình x² + 9 > 6x có tập nghiệm là ℝ \ {3}.
Tập xác định của hàm số y = 2x + 3 là:,∅,(2; 6),ℝ,(–∞; 2) ∪ (6; +∞),C,∵ Tam thức bậc hai f(x) = 2x + 3 có ∆’ = 8 > 0. Do đó f(x) có hai nghiệm phân biệt là: x1 = –2 và x2 = 3. Ta lại có a = –2 < 0. Do đó ta có: ⦁ f(x) dương trên khoảng (–2; 3); ⦁ f(x) âm trên hai khoảng (–∞; –2) và (3; +∞); ⦁ f(x) = 0 khi x = –2 hoặc x = 3. Ta chọn phương án C.
Tập xác định của hàm số y = 2x^2 + 8x - 12 là:,∅,(2; 6),∅,(–∞; 2) ∪ (6; +∞),A,"Vì x = 6 là một nghiệm của bất phương trình (m – 2)x^2 + 2(2m – 3)x + 5m – 6 ≥ 0, ta có: 65m – 114 ≥ 0 ⇔ m ≥ 114"
Hàm số xác định khi và chỉ khi –2x<sup>2</sup> + 8x – 12 > 0.,m ≥ 114/65,,m > 114/65,m ≤ 114/65,"{'answer': 'C', 'reasoning': 'Quan sát đồ thị, ta thấy f(x) ≥ 0 khi và chỉ khi x ≤ –1 hoặc x ≥ 5. Vì vậy tập nghiệm của bất phương trình f(x) ≥ 0 là (–∞; –1] ∪ [5; +∞). Ta chọn phương án C.'}",
Tập nghiệm của bất phương trình f(x) ≥ 0 là:,A. [–2; 3);,B. (–∞; –2) ∪ (3; +∞);,C. ℝ;,D. (–∞; –2] ∪ [3; +∞),D,Ta có (2x – 5)(x + 2) ≥ x² – 4. Tam thức bậc hai f(x) = x² – x – 6 có ∆ = (–1)² – 4.1.(–6) = 25 > 0. Suy ra f(x) có hai nghiệm phân biệt là: x1 = –2 và x2 = 3. Vì vậy: ⦁ f(x) dương với mọi x thuộc hai khoảng (–∞; –2) và (3; +∞); ⦁ f(x) âm với mọi x thuộc khoảng (–2; 3); ⦁ f(x) = 0 khi x = –2 hoặc x = 3. Vậy bất phương trình x² – x – 6 ≥ 0 có tập nghiệm là (–∞; –2] ∪ [3; +∞).
Tập nghiệm của bất phương trình (2x – 5)(x + 2) ≥ x² – 4 là:,A. [–2; 3),B. (–∞; –2) ∪ (3; +∞),C. ℝ,D. (–∞; –2] ∪ [3; +∞),"{'answer': 'D', 'reasoning': 'Vậy bất phương trình x² – x – 6 ≥ 0 có tập nghiệm là (–∞; –2] ∪ [3; +∞).'}",
