question,A,B,C,D,answer,reasoning
"Từ bảng dữ liệu đã cho, ta thấy ứng với mỗi mặt hàng trong bảng đều có một giá trị số lượng bán được duy nhất. Vì vậy bảng trên biểu thị một hàm số.",Vở trắng,Bút bi,Tẩy,Bút chì,B,"Tập xác định D = {Vở trắng; Bút bi; Tẩy; Bút chì; Thước}, Tập giá trị T = {200; 350; 150; 380; 270}. Vậy ta chọn phương án B."
Hiển thị đáp án ,,,"y = ax^2 + bx + c, với a = –1, b = –4, c = 3.",,C,"Hàm số đã cho có dạng y = ax^2 + bx + c, với a = –1, b = –4, c = 3. Vì b = –4 nên ta có b’ = –2. ∆’ = b’^2 – ac = (–2)^2 – (–1).3 = 7. Đỉnh S có tọa độ: ⦁ xS = –2, ⦁ yS = 7. Suy ra tọa độ đỉnh S(–2; 7). Vậy ta chọn phương án C."
Tọa độ đỉnh của parabol y = –x² – 4x + 3 là:,S(2; 7),S(–2; –7),S(–2; 7),S(2; –7),C,"Hàm số đã cho có dạng y = ax² + bx + c, với a = –1, b = –4, c = 3. Vì b = –4 nên ta có b’ = –2. ∆’ = b’² – ac = (–2)² – (–1).3 = 7. Đỉnh S có tọa độ: ⦁ xS = –2, ⦁ yS = 7. Suy ra tọa độ đỉnh S(–2; 7). Vậy ta chọn phương án C."
Biểu đồ trên có biểu thị cho ta một hàm số không? Nếu có hãy xác định tập xác định và tập giá trị của hàm số đó.,"Biểu đồ trên biểu thị một hàm số. Tập xác định D = {2016; 2017; 2018; 2019; 2020}. Tập giá trị T = {6,21; 6,81; 7,08; 7,02; 2,91}","Biểu đồ trên biểu thị một hàm số. Tập xác định D = {6,21; 6,81; 7,08; 7,02; 2,91}. Tập giá trị T = {2016; 2017; 2018; 2019; 2020}","Biểu đồ trên biểu thị một hàm số. Tập xác định T = {2016; 2017; 2018; 2019; 2020}. Tập giá trị D = {6,21; 6,81; 7,08; 7,02; 2,91}",Biểu đồ trên không biểu thị cho ta một hàm số.,A,"Từ biểu đồ đã cho, ta thấy ứng với mỗi thời điểm (năm) trong biểu đồ đều có một giá trị tốc độ tăng duy nhất. Vì vậy biểu đồ trên biểu thị một hàm số. Hàm số đó có: +) Tập xác định D = {2016; 2017; 2018; 2019; 2020}; +) Tập giá trị T = {6,21; 6,81; 7,08; 7,02; 2,91}. Vậy ta chọn phương án A."
Cho hàm số y = x² + 2x – 3 có đồ thị (P). Trục đối xứng của (P) là:,C. x = –1;,D. y = 1.,C. x = –1;,y = –1;,C,"Hàm số đã cho có dạng y = ax² + bx + c, với a = 1, b = 2, c = –3. Trục đối xứng của hàm số đã cho là đường thẳng x = –1 (đường thẳng này đi qua đỉnh S và song song với trục Oy). Vậy ta chọn phương án C."
Khi hàm số đồng biến trên tập xác định của nó thì đồ thị hàm số đó có dạng:,A. Đi lên từ phải sang trái;,B. Đi xuống từ phải sang trái;,C. Đi lên rồi đi xuống từ phải sang trái;,D. Đi xuống rồi đi lên từ phải sang trái;,B,Khi hàm số đồng biến (tăng) trên tập xác định của nó thì đồ thị của hàm số đó có dạng đi lên từ trái sang phải hay có dạng đi xuống từ phải sang trái. Vậy ta chọn phương án B.
"Trong các hàm số sau đây, hàm số nào là hàm số bậc hai?",y = 2x³ + 3x² – x + 5,y = 2x – 1,y = –10,y = x² + 7x + 10,D,"Hàm số đã cho có dạng y = ax² + bx + c, với a = –1, b = 5, c = –4. ∆ = b² – 4ac = 52 – 4.(–1).(–4) = 9. Vì a = –1 < 0 nên hàm số đạt giá trị lớn nhất bằng \frac{-Δ}{4a} = \frac{-9}{4} tại x = \frac{-b}{2a} = \frac{-5}{2}. Vậy hàm số đạt giá trị lớn nhất bằng \frac{9}{4} tại x = \frac{5}{2}."
Đồ thị của hàm số y = −x² + 2 đi qua điểm M(0; 2).,"A. <img alt=""TOP 20 câu Bài tập Cuối chương III có đáp án - Toán 10 Chân trời sáng tạo (ảnh 1)"" height=""105"" src=""https://vietjack.me/storage/uploads/images/268/1a-1664646214.png"" width=""199""/>","B. <img alt=""TOP 20 câu Bài tập Cuối chương III có đáp án - Toán 10 Chân trời sáng tạo (ảnh 1)"" height=""111"" src=""https://vietjack.me/storage/uploads/images/268/1b-1664646222.png"" width=""220""/>","C. <img alt=""TOP 20 câu Bài tập Cuối chương III có đáp án - Toán 10 Chân trời sáng tạo (ảnh 1)"" height=""108"" src=""https://vietjack.me/storage/uploads/images/268/1c-1664646233.png"" width=""192""/>","D. <img alt=""TOP 20 câu Bài tập Cuối chương III có đáp án - Toán 10 Chân trời sáng tạo (ảnh 1)"" height=""115"" src=""https://vietjack.me/storage/uploads/images/268/1d-1664646244.png"" width=""239""/>",A,"Ta đặt y = f(x) = −x² + 2. Với x = 0, ta có f(0) = −0² + 2 = 2. Khi đó đồ thị hàm số đã cho đi qua điểm M(0; 2). Do đó ta loại phương án C và D. Với y = 0, ta có f(x) = −x² + 2 = 0 ⇔ −x² = −2 ⇔ x² = 2 ⇔ x = ±√2. Khi đó đồ thị hàm số đã cho đi qua điểm N(±√2; 0). Do đó ta loại phương án B. Vì vậy đồ thị ở phương án A là đồ thị của hàm số đã cho. Vậy ta chọn phương án A."
Giá trị m để đồ thị hàm số y = 2x – m + 6 đi qua điểm H(2; –5) là:,m = –6;,m = 15;,m = 8;,m = 1.,B,"Ta suy ra –5 = 2.2 – m + 6. Tức là, m = 15. Vậy ta chọn phương án B."
Đồ thị hàm số y = –x² + 2x + 3 cắt trục hoành tại mấy điểm?,0,3,1,2,A,"Hàm số đã cho có dạng y = ax² + bx + c, với a = –1, b = 2, c = 3. ∆ = b² – 4ac = 2² – 4.(–1).3 = 16 > 0. Suy ra phương trình –x² + 2x + 3 = 0 có 2 nghiệm x₁, x₂ phân biệt. Vì vậy đồ thị hàm số bậc hai y = –x² + 2x + 3 cắt trục hoành tại hai điểm lần lượt có hoành độ là x₁, x₂. Quan sát bảng biến thiên, ta thấy hàm số đồng biến trên khoảng (–∞; 1) và nghịch biến trên khoảng (1; +∞). Vì vậy ta có a < 0. Do đó ta loại phương án C, D. Quan sát bảng biến thiên, ta thấy khi x = 1 thì y = 3. Thay x = 1, y = 3 vào hàm số ở phương án A, ta được: 3 = –2.1² + 4.1 + 1 (đúng). Thay x = 1, y = 3 vào hàm số ở đáp án B, ta được: 3 = –1² + 4.1 + 2 (vô lí). Vậy ta chọn phương án A."
