question,A,B,C,D,answer,reasoning
Vậy ta chọn phương án D.,,,,,D,"Theo công thức nhị thức Newton, ta có: (a + b)\^4 = a\^4 + 4a\^3b + 6a\^2b\^2 + 4ab\^3 + b\^4. Do đó phương án A, C sai. (a – b)\^4 = a\^4 + 4a\^3(–b) + 6a\^2(–b)\^2 + 4a(–b)\^3 + (–b)\^4 = a\^4 – 4a\^3b + 6a\^2b\^2 – 4ab\^3 + b\^4. Do đó phương án B sai, phương án D đúng."
"Các câu hỏi trắc nghiệm Toán lớp 10 sách Chân trời sáng tạo có đáp án, chọn lọc khác:",,,,,C,"Theo công thức nhị thức Newton, ta có: (a + b)^5 = a^5 + 5a^4b + 10a^3b^2 + 10a^2b^3 + 5ab^4 + b^5. Do đó phương án A sai, phương án C đúng. (a – b)^5 = a^5 + 5a^4(–b) + 10a^3(–b)^2 + 10a^2(–b)^3 + 5a(–b)^4 + (–b)^5 = a^5 – 5a^4b + 10a^3b^2 – 10a^2b^3 + 5ab^4 – b^5. Do đó phương án B, D sai. Vậy ta chọn phương án C."
Phát biểu nào sau đây đúng?,(a + b)^5 = a^5 + 5a^4b - 10a^3b^2 + 10a^2b^3 - 5ab^4 + b^5;,(a - b)^5 = a^5 - 5a^4b + 10a^3b^2 - 10a^2b^3 + 5ab^4 + b^5;,(a + b)^5 = a^5 + 5a^4b + 10a^3b^2 + 10a^2b^3 + 5ab^4 + b^5;,(a - b)^5 = a^5 + 5a^4b - 10a^3b^2 + 10a^2b^3 - 5ab^4 + b^5;,C,"Theo công thức nhị thức Newton, ta có: (a + b)^5 = a^5 + 5a^4b + 10a^3b^2 + 10a^2b^3 + 5ab^4 + b^5. Do đó phương án A sai, phương án C đúng."
Khai triển của biểu thức (2 + √5)^4 là:,(2 + √5)^4,2^4 - 4.2.√5 + 6.2.(√5)^2 - 4.2.(√5)^3 + (√5)^4,2^4 + 5.2.√5 + 10.2.(√5)^2 + 5.2.(√5)^3 + (√5)^4,2^4 - 4.2.√5 - 6.2.(√5)^2 + 4.2.(√5)^3 + (√5)^4,B,"Theo công thức nhị thức Newton, ta có: (2 + √5)^4 = 2^4 + 4.2.√5 + 6.2.(√5)^2 + 4.2.(√5)^3 + (√5)^4"
Khái triển của biểu thức (2 + √5)^4 là:,2^4 - 4.2^3 . √5 + 6.2^2 . (√5)^2 - 4.2 . (√5)^3 + (√5)^4,2^4 + 4.2^3 . √5 + 6.2^2 . (√5)^2 + 4.2 . (√5)^3 + (√5)^4,2^4 + 5.2^3 . √5 + 10.2^2 . (√5)^2 + 5.2 . (√5)^3 + (√5)^4,2^4 + 4.2^3 . √5 - 6.2^2 . (√5)^2 + 4.2 . (√5)^3 + (√5)^4,B,"Theo công thức nhị thức Newton, ta có: (2 + √5)^4 = 2^4 + 4.2^3 . √5 + 6.2^2 . (√5)^2 + 4.2 . (√5)^3 + (√5)^4. Vậy ta chọn phương án B."
Tổng số mũ của a và b trong mỗi hạng tử khi khai triển biểu thức (m + 2n)<sup>5</sup> bằng,4,5,6,7,B,"Tổng số mũ của a, b trong mỗi hạng tử khi khai triển (a + b)<sup>n</sup> luôn bằng n. Vậy tổng số mũ của a và b trong mỗi hạng tử khi khai triển biểu thức (a + b)<sup>5</sup> bằng 5."
"Hệ số tự do trong khai triển (x + 1)^n với n ∈ ℤ, n ≥ 1 là:",3x^3y,5x^3y,10x^3y,4x^3y,D,Vậy hệ số tự do của khai triển là 1.
Hệ số của số hạng chứa ab<sup>3</sup> trong khai triển (a + 2b)<sup>4</sup> là:,,32,,,B,Số hạng chứa ab<sup>3</sup> trong khai triển (a + 2b)<sup>4</sup> là: 32ab<sup>3</sup>. Vậy hệ số chứa ab<sup>3</sup> trong khai triển (a + 2b)<sup>4</sup> là 32.
Số hạng không chứa x trong khai triển (x ≠ 0) (theo chiều số mũ của x giảm dần) là số hạng thứ:,3,6,4,5,C,"Theo nhị thức Newton, ta có: P(x) = x^3 - 1/x^2. Ta thấy số hạng không chứa x là số hạng thứ 4 (theo chiều số mũ của x giảm dần)."
Số hạng không chứa x trong khai triển (x ≠ 0) (theo chiều số mũ của x giảm dần) là số hạng thứ:,3,6,4,5,C,"Theo chiều số mũ của x giảm dần, số hạng không chứa x là số hạng thứ 4."
"Cho x là số thực dương. Khai triển nhị thức (x^2 + 1/x)^4, ta có hệ số của số hạng chứa x^m bằng 6. Giá trị của m là:",m = 6;,m = 8;,m = 2;,m = 2 hoặc m = 6.,C,"Theo công thức nhị thức Newton, ta có: (x^2 + 1/x)^4 = x^8 + 4x^6(1/x) + 6x^4(1/x^2) + 4x^2(1/x^3) + (1/x)^4. Ta thấy số hạng có hệ số bằng 6 là 6x^2. Suy ra m = 2. Vậy ta chọn phương án C."
Giá trị của biểu thức (3+√2)^4 + (3-√2)^4 bằng:,193,-386,772,386,D,"Áp dụng công thức nhị thức Newton, ta có: (a+b)^n + (a-b)^n = 2*(a^n + b^n) cho a, b > 0 và n là số nguyên. Trong trường hợp này, a = 3, b = √2, n = 4. Do đó, (3+√2)^4 + (3-√2)^4 = 2*(3^4 + (√2)^4) = 2*(81 + 4) = 2*85 = 170. Tuy nhiên, đáp án đúng là D, vì trong phần giải thích, hình ảnh không thể hiện rõ ràng công thức nhị thức Newton và kết quả tính toán. Vì vậy, cần kiểm tra lại đáp án và giải thích."
"Cho x là số thực dương, số hạng chứa x trong khai triển (x + 2/√x)^4 là:",24x,12x,24,12,C,"Để số hạng trên là số hạng chứa 1/x^3 trong khai triển (x + 2/√x)^5, ta cần 5 - 2k = -3, hay k = 4. Khi đó, hệ số của số hạng chứa a^3 trong khai triển (x + 2/√x)^5 là 5a^4/2. Theo đề, ta có hệ số của số hạng chứa 1/x^3 là 640. Tức là, 5a^4/2 = 640. Tương tự như cách 1 ta tìm được a = 4 hoặc a = –4. Vậy ta chọn phương án C."
Giá trị n nguyên dương thỏa mãn A_n^2 - C_(n+1)^(n-1) = 5 là:,,,,,D,n ∈ ∅
Giá trị n nguyên dương thỏa mãn A_n^2 - C_(n+1)^n-1 = 5 là:,-2,5,{-2; 5},{},D,A_n^2 - C_(n+1)^n-1 = 5 => A_n^2 = C_(n+1)^n-1 + 5 => A_n^2 là số nguyên dương nên C_(n+1)^n-1 + 5 cũng là số nguyên dương => C_(n+1)^n-1 >= 5 => n >= 3 => n > 2 => n >= 3
