question,A,B,C,D,answer,reasoning
,,,,,B,\overset{\rightarrow}{u} \perp \overset{\rightarrow}{v} \Leftrightarrow \overset{\rightarrow}{u} . \overset{\rightarrow}{v} = 0 \Leftrightarrow 4.3 + 5a = 0 \Leftrightarrow 12 + 5a = 0 \Leftrightarrow 5a = -12 \Leftrightarrow a = -\frac{12}{5}
,,,,,C,\overrightarrow{AB} = \overrightarrow{DC}
"Trong mặt phẳng Oxy, cho ba điểm A(–1; 1), B(1; 3), C(5; 2). Tọa độ điểm D là đỉnh thứ tư của hình bình hành ABCD là:",3; –2,5; 0,3; 0,5; –2,C,"Với A(–1; 1), B(1; 3), C(5; 2) và D(x_D; y_D) ta có: AB→ = DC→ ⇔ (2; 2) = (5 - x_D; 2 - y_D) ⇔ x_D = 3; y_D = 0. Vậy ta chọn phương án C."
Cho hai điểm A(6; –1) và B(x; 9). Giá trị của x để khoảng cách giữa A và B bằng \sqrt{5}^2 là:,x ∈ ∅;,x = 1;,x = 11;,x = 11 hoặc x = 1.,D,x = 11 hoặc x = 1.
"Trong mặt phẳng Oxy, cho ∆ABC có A(–4; 1), B(2; 4), C(2; –2). Tọa độ trọng tâm I của ∆ABC là:",I(1; 0),I(0; 1),I(–1; 0),I(0; –1),B,Ta có I là trọng tâm của ∆ABC. Do đó I(0; 1).
"Trong mặt phẳng Oxy, cho ∆ABC có A(–3; 0), B(3; 0) và C(2; 6). Gọi H(a; b) là trực tâm của ∆ABC. Giá trị của a + 6b bằng:",3;,(2; –8);,7;,5;,C,a + 6b = 2 + 6.(5/6) = 7
"Trong mặt phẳng với hệ tọa độ Oxy, cho ∆ABC có A(3; 5), B(9; 7), C(11; –1). Gọi M, N lần lượt là trung điểm của AB và AC. Tọa độ của MN là:",2; –8,1; –4,10; 6,5; 3,B,Vì M là trung điểm AB nên M(6; 6). Vì N là trung điểm AC nên N(7; 2). Do đó ta có MN = (1; –4).
"Cho ∆ABC có A(2; –1), B(4; 5), C(–3; 2). Phương trình tổng quát của đường trung tuyến AM là:",x + 3y – 7 = 0;,3x + y – 7 = 0;,3x + y – 5 = 0;,x + 3y – 5 = 0.,C,3x + y – 5 = 0
"Đường thẳng ∆ đi qua giao điểm của hai đường thẳng d₁: 2x + y – 3 = 0 và d₂: x – 2y + 1 = 0, đồng thời tạo với d₃: y – 1 = 0 một góc π/4. Phương trình đường thẳng ∆ là:",2x + y = 0; x – y – 1 = 0,x + 2y = 0; x – 4y = 0,x – y = 0; x + y – 2 = 0,2x + 1 = 0; x – 3y = 0,C,x + y – 2 = 0; x – y = 0
(x + 1)^2 + y^2 = 8 là:,2,64;,"I(-1; 0), R = \sqrt{2};","I(1; 0), R = \sqrt{2}.",C,"I(-1; 0), R = \sqrt{8} = 2\sqrt{2}."
