question,A,B,C,D,answer,reasoning
Khẳng định nào sau đây là đúng khi nói về “đường tròn lượng giác”?,Mỗi đường tròn là một đường tròn lượng giác.,>,Mỗi đường tròn có bán kính R = 1 là một đường tròn lượng giác.,>,D,
Đổi số đo của góc 70^{o} sang đơn vị radian.,\frac{70}{π}.,\frac{7}{18}.,\frac{7π}{18}.,\frac{7}{18π}.,C,"Áp dụng công thức α=\frac{a.π}{180} với α tính bằng radian, a tính bằng độ. Ta có α=\frac{a.π}{180}=\frac{70.π}{180}=\frac{7π}{18}."
Tính độ dài l của cung trên đường tròn có bán kính bằng 20cm và số đo \frac{\pi}{16}.,"l = 3,93cm.","l = 2,94cm.","l = 3,39cm","l = 1,49cm",A,"\frac{l}{R} = \frac{\pi}{16} ≈ 3,93 cm."
"Với mọi số thực \alpha, ta có \sin\left(\frac{9\pi}{2}+\alpha\right) bằng",-\sin\alpha,\cos\alpha,\sin\alpha,-\cos\alpha,B,\sin\left(\frac{9\pi}{2}+\alpha\right)=\sin\left(4\pi+\frac{\pi}{2}+\alpha\right)=\sin\left(\frac{\pi}{2}+\alpha\right)=\cos\alpha.
Cho π < α < \frac{3π}{2}. Khẳng định nào sau đây đúng?,tan\frac{3π}{2} - α < 0,tan\frac{3π}{2} - α > 0,tan\frac{3π}{2} - α ≤ 0,tan\frac{3π}{2} - α ≥ 0,B,Ta có π < α < \frac{3π}{2} → 0 < \frac{3π}{2} - α < \frac{π}{2}
Tính giá trị biểu thức P = \tan 10^{o} \cdot \tan 20^{o} \cdot \tan 30^{o} ..... \tan 80^{o},P = 0,P = 1,P = 4,P = 8,B,Áp dụng công thức \tan x \cdot \tan (90^{o} - x) = \tan x \cdot \cot x = 1. Do đó P = 1.
Cho P = sin(\pi + \alpha).cos(\pi - \alpha) và Q = sin(\frac{\pi}{2} - \alpha).cos(\frac{\pi}{2} + \alpha). Mệnh đề nào dưới đây là đúng?,P+Q = 0,P+Q = -1,P+Q = 1,P+Q = 2,A,Ta có P = sin(\pi + \alpha).cos(\pi - \alpha) = -sin\alpha.(-cos\alpha) = sin\alpha.cos\alpha. Và Q = sin(\frac{\pi}{2} - \alpha).cos(\frac{\pi}{2} + \alpha) = cos\alpha.(-sin\alpha) = -sin\alpha.cos\alpha. Khi đó P+Q = sin\alpha.cos\alpha - sin\alpha.cos\alpha = 0
"Biết A, B, C là các góc của tam giác ABC, mệnh đề nào sau đây đúng:",sin(A+C) = -sinB,cos(A+C) = -cosB,tan(A+C) = tanB,cot(A+C) = cotB,B,"Vì A, B, C là ba góc của một tam giác suy ra A+C = \pi-B. Khi đó (A+C) = sin(\pi-B) = sinB; cos(A+C) = cos(\pi-B) = -cosB. tan(A+C) = tan(\pi-B) = -tanB; cot(A+C) = cot(\pi-B) = -cotB."
Cho góc \alpha thỏa mãn sin\alpha = \frac{12}{13} và \frac{π}{2} < \alpha < π. Tính cos\alpha.,\frac{1}{13},\frac{5}{13},-\frac{5}{13},-\frac{1}{13},D,Ta có ...
Cho góc \alpha thỏa mãn cot\alpha = \frac{1}{3}. Tính P = \frac{3sin\alpha + 4cos\alpha}{2sin\alpha - 5cos\alpha}.,-\frac{15}{13},\frac{15}{13},-13,13,D,Chia cả tử và mẫu của P cho sin\alpha ta được P = \frac{3 + 4cot\alpha}{2 - 5cot\alpha} = \frac{3 + 4.\frac{1}{3}}{2 - 5.\frac{1}{3}} = 13.
