question,A,B,C,D,answer,reasoning
,,,,,A,"Ta có: $f(x) \geq 0, \forall x \in \mathbb{R}$ khi a > 0 và $\Delta \leq 0$."
,,,,,D,"f(x) < 0, ∀x ∈ ℝ khi a < 0 và Δ < 0."
"Cho $f(x) = ax^2 + bx + c$. Điều kiện để $f(x) < 0, ∀x ∈ ℝ$ là:",,,,,D,"$f(x) < 0, ∀x ∈ ℝ$ khi a < 0 và $Δ < 0$."
Tam thức bậc hai $f(x) = -x^2 + 3x - 2$ nhận giá trị không âm khi và chỉ khi,$x in (-infty; 1] cup [2; +infty)$,$x in [1; 2]$,$x in (-infty; 1] cup [2; +infty)$,$x in [1; 2]$,B,Ta có: $f(x) = -x^2 + 3x - 2 = 0 Leftrightarrow x in [1; 2]$.
"Cho $f(x) = ax^2 + bx + c$. Điều kiện để $f(x) > 0, ∀x ∈ ℝ$ là",,,,,C,"Ta có: $f(x) > 0, ∀x ∈ ℝ$ khi $a > 0$ và $Δ < 0$."
Số giá trị nguyên của x để tam thức $f(x) = 2x^2 - 7x - 9$ nhận giá trị âm là,3,4,5,6,A,Ta có $f(x) = 2x^2 - 7x - 9 = 0 Leftrightarrow$. Bảng xét dấu $f(x) < 0 Leftrightarrow -1 < x < rac{9}{2}$. Mà x nguyên nên $x in {0; 1; 2; 3; 4}$.
Tam thức bậc hai $f(x) = x^2 + (1 - sqrt{3})x - 8 - 5sqrt{3}$:,Dương với mọi $x in mathbb{R}$,Âm với mọi $x in mathbb{R}$,Âm với mọi $x in (-2 - sqrt{3}; 1 + 2sqrt{3})$,Âm với mọi $x in (-infty; 1)$,C,Ta có $f(x) = x^2 + (1 - sqrt{3})x - 8 - 5sqrt{3} = 0 Leftrightarrow x in (-2 - sqrt{3}; 1 + 2sqrt{3})$.
Cho $f(x) = ax^2 + bx + c$ có $Delta = b^2 - 4ac < 0$. Khi đó mệnh đề nào đúng?,"$f(x) > 0, orall x in mathbb{R}$","$f(x) < 0, orall x in mathbb{R}$",$f(x)$ không đổi dấu,Tồn tại $x$ để $f(x) = 0$,C,"Vì $Delta < 0$ và $a 
eq 0$ nên $f(x)$ không đổi dấu trên $mathbb{R}$."
Tam thức bậc hai $f(x) = 2x^2 + 2x + 5$ nhận giá trị dương khi và chỉ khi,$x in (0; +infty)$,$x in (-2; +infty)$,$x in mathbb{R}$,$x in (-infty; 2)$,C,Ta có: $f(x) = 2x^2 + 2x + 5 > 0$ với mọi $x in mathbb{R}$ vì $2x^2 + 2x + 5 = 2(x + 1/2)^2 + 9/2 > 0$ với mọi $x in mathbb{R}$.
Tam thức bậc hai $f(x) = -x^2 + 5x - 6$ nhận giá trị dương khi và chỉ khi,$x in (-infty; 2)$,$x in (3; +infty)$,$x in (2; 3)$,$x in (2; 3)$,D,$f(x) > 0 Leftrightarrow x in (2; 3)$
Tam thức bậc hai $f(x) = x^2 + (sqrt{5} - 1)x - sqrt{5}$ nhận giá trị dương khi và chỉ khi,$x in (-sqrt{5}; 1)$,$x in (-sqrt{5}; +infty)$,$x in (-infty; -sqrt{5}) cup (1; +infty)$,$x in (-infty; 1)$,C,$x in (-infty; -sqrt{5}) cup (1; +infty)$
Tam thức bậc hai $f(x) = (1 - \sqrt{2})x^2 + (5 - 4\sqrt{2})x - 3\sqrt{2} + 6$,Dương với mọi $x \in \mathbb{R}$,Dương với mọi $x \in (-3; \sqrt{2})$,Dương với mọi $x \in (-4; \sqrt{2})$,Âm với mọi $x \in \mathbb{R}$,B,Dựa vào bảng xét dấu $f(x) > 0 \Leftrightarrow -3 < x < \sqrt{2}$
"Cho $f(x) = x^2 - 4x + 3$. Trong các mệnh đề sau, mệnh đề đúng là:","$f(x) < 0, \forall x \in (-\infty; 1) \cup (3; +\infty)$","$f(x) \le 0, \forall x \in [1; 3]$","$f(x) \ge 0, \forall x \in (-\infty; 1] \cup [3; +\infty)$","$f(x) > 0, \forall x \in (1; 3)$",B,"Ta có : $f(x) = x^2 - 4x + 3 = 0 \Leftrightarrow (x - 1)(x - 3) = 0 \Leftrightarrow x = 1; 3$. Dựa vào bảng xét dấu $f(x) \le 0, \forall x \in [1; 3]$."
Dấu của tam thức bậc hai: $f(x) = –x^2 + 5x – 6$ được xác định như sau:,$f(x) < 0$ với $2 < x < 3$ và $f(x) > 0$ với $x < 2$ hoặc $x > 3$,$f(x) < 0$ với $-3 < x < -2$ và $f(x) > 0$ với $x < -3$ hoặc $x > -2$,$f(x) > 0$ với $2 < x < 3$ và $f(x) < 0$ với $x < 2$ hoặc $x > 3$,$f(x) > 0$ với $-3 < x < -2$ và $f(x) < 0$ với $x < -3$ hoặc $x > -2$,C,Ta có: $f(x) = –x^2 + 5x – 6 = 0$ $⇔$ $x = 2$ hoặc $x = 3$. Bảng xét dấu
"Cho các tam thức $f(x) = 2x^2 - 3x + 4$, $g(x) = -x^2 + 3x - 4$, $h(x) = 4 - 3x^2$. Số tam thức đổi dấu trên $mathbb{R}$ là:",0,1,2,3,B,"Vì $f(x) = 0$ vô nghiệm, $g(x) = 0$ vô nghiệm, $h(x) = 0$ có hai nghiệm phân biệt nên chỉ có $h(x)$ đổi dấu trên $mathbb{R}$."
