question,A,B,C,D,answer,reasoning
,,,,,D,Tập hợp tất cả các kết quả có thể có của phép thử ngẫu nhiên được gọi là không gian mẫu. Phép thử ngẫu nhiên (gọi tắt là phép thử) là một hoạt động mà ta không thể biết trước được kết quả của nó.
"Các câu hỏi trắc nghiệm Toán lớp 10 sách Chân trời sáng tạo có đáp án, chọn lọc khác:",,,,,B,Phép thử ngẫu nhiên (gọi tắt là phép thử) là một hoạt động mà ta không thể biết trước được kết quả của nó. Mỗi tập con của không gian mẫu được gọi là một biến cố. Do đó phương án B đúng.
Biến cố là:,Một hoạt động mà ta không thể biết trước được kết quả của nó;,Tập con của không gian mẫu;,Tập hợp tất cả các kết quả có thể có của phép thử ngẫu nhiên;,Một kết quả thuận lợi.,B,Mỗi tập con của không gian mẫu được gọi là một biến cố. Do đó phương án B đúng.
Kí hiệu nào sau đây là kí hiệu của biến cố chắc chắn?,Ω;,∅;,M;,c;,A,"Ω là kí hiệu của không gian mẫu. ∅ là kí hiệu của biến cố không thể. Kí hiệu của biến cố là các chữ cái in hoa. Ví dụ: A, M, H,..."
Hoạt động nào sau đây không phải là phép thử?,"Đặt 2 chiếc bút bi đỏ, 5 chiếc bút bi xanh và 3 chiếc bút bi tím lên bàn và đếm xem có bao nhiêu chiếc bút bi;","Chọn một trong ba bạn An, Bình, Cường tham gia cuộc thi chạy điền kinh;",Chơi trò chơi gắp thú nhồi bông;,Chọn một quyển sách bất kì trên giá sách và đọc tên của quyển sách đó.,A,"Các hoạt động ở các phương án B, C, D đều là phép thử vì ta không thể đoán trước được kết quả của hoạt động đó mặc dù biết được tất cả các kết quả có thể xảy ra. Hoạt động ở phương án A không phải là phép thử vì ta có thể đoán trước được kết quả của hoạt động đó là: 2 + 5 + 3 = 10 (chiếc bút bi)."
"Bạn Hoa dự định chọn ngẫu nhiên một trong các loại hoa: hoa hồng, hoa bách hợp, hoa cẩm chướng, hoa cúc để trồng trong vườn. Không gian mẫu của phép thử trên là:",Ω = {hoa hồng; hoa cẩm chướng},"Ω = {hoa hồng, hoa bách hợp, hoa cẩm chướng, hoa cúc}","Ω = {hoa bách hợp, hoa cẩm chướng, hoa cúc}",Ω = ∅,B,"Ω = {hoa hồng, hoa bách hợp, hoa cẩm chướng, hoa cúc}"
"Bạn Minh muốn nuôi một trong bốn con vật sau: mèo, chó, chim, cá. Bạn Minh đã chọn ngẫu nhiên một con vật. Sự kiện nào sau đây không phải là một biến cố của phép thử trên?",H = \emptyset,"I = {chó, cá}","J = {mèo, chim, thỏ}","K = {mèo, chó, chim, cá}",C,"Mỗi tập con của không gian mẫu được gọi là một biến cố. Không gian mẫu của phép thử trên là: Ω = {mèo, chó, chim, cá}. Ta thấy các tập hợp H, I, K đều là tập con của tập hợp Ω và tập hợp J không phải là tập con của tập hợp Ω do có phần tử thỏ không thuộc không gian mẫu Ω = {mèo, chó, chim, cá}."
"Xét phép thử: “Tung hai đồng xu đồng chất và cân đối”. Nếu ta kí hiệu S để chỉ “mặt sấp” và kí hiệu N để chỉ “mặt ngửa” là mặt xuất hiện khi tung đồng xu, thì không gian mẫu của phép thử trên là:",Ω = {SN},Ω = {SS; NN; SN; NS},Ω = {SN; SS; NN},Ω = {S; N},B,"Ω = {SS; NN; SN; NS}. Ở đây NS có nghĩa là đồng xu thứ nhất tung được mặt ngửa, đồng xu thứ hai tung được mặt sấp. Các kí hiệu SS, NN, SN được hiểu một cách tương tự."
Xét phép thử T: “Tung ba đồng xu đồng chất và cân đối”. Số phần tử của không gian mẫu là:,2,4,8,10,C,"Khi tung một đồng xu, ta có không gian mẫu là: Ω = {S; N}. Do đó khi ta tung ba đồng xu phân biệt cùng một lúc thì không gian mẫu sẽ là: Ω = {SSS; SSN; SNN; SNS; NSS; NSN; NNS; NNN}. Vì vậy số phần tử của không gian mẫu là: 8 (phần tử)."
Phép thử: “Gieo một con xúc xắc 6 mặt đồng chất và cân đối”. Xét biến cố A: “Số chấm trên mặt xuất hiện là số chẵn”. Khi đó số kết quả thuận lợi cho biến cố A là:,3,6,1,0,A,Trong các số 1; 2; 3; 4; 5; 6 có 3 số chẵn là các số 2; 4; 6. Do đó tập hợp mô tả biến cố A là: A = {2; 4; 6}. Như vậy có ba kết quả thuận lợi cho biến cố A.
Gieo liên tiếp một con xúc xắc đồng chất và cân đối hai lần liên tiếp. Xét biến cố M: “Tổng số chấm trên mặt sau hai lần gieo bằng 9”. Tập hợp nào sau đây mô tả biến cố M?,(6; 3); (4; 5),(6; 3); (3; 6); (5; 4); (4; 5),(3; 6); (5; 4),(3; 6); (0; 9),B,"Kết quả của biến cố M là một cặp số (i; j), trong đó i và j lần lượt là số chấm xuất hiện trên xúc xắc sau lần gieo thứ nhất và lần gieo thứ hai thỏa mãn i + j = 9. Ta có 6 + 3 = 9 và 5 + 4 = 9. Do gieo xúc xắc hai lần nên ta cần xét đến thứ tự gieo. Nếu lần đầu gieo được mặt 6 chấm, lần sau gieo được mặt 3 chấm thì ta sẽ kí hiệu kết quả của biến cố M là cặp (6; 3). Khi đó tập hợp mô tả biến cố M là: M = {(6; 3); (3; 6); (5; 4); (4; 5)}."
