question,A,B,C,D,answer,reasoning
Vectơ khác vectơ-không là vectơ có điểm đầu khác điểm cuối.,Vectơ-không là vectơ có điểm đầu và điểm cuối trùng nhau.,Vectơ khác vectơ-không là vectơ có điểm đầu khác điểm cuối.,Vectơ-không là vectơ có điểm đầu trùng điểm cuối.,Vectơ khác vectơ-không là vectơ có điểm đầu trùng điểm cuối.,B,Vectơ khác vectơ-không là vectơ có điểm đầu khác điểm cuối.
Xem thêm bài tập trắc nghiệm Toán lớp 10 Chân trời sáng tạo có đáp án hay khác:,,,,,C,Vì \vec{0} cùng phương với mọi vectơ nên có một vectơ cùng phương với cả hai vectơ \vec{a} và \vec{b} đó là \vec{0}.
Cho hai vectơ không cùng phương \vec{a} và \vec{b}. Mệnh đề nào sau đây đúng?,Không có vectơ nào cùng phương với cả hai vectơ \vec{a} và \vec{b};,Có vô số vectơ cùng phương với cả hai vectơ \vec{a} và \vec{b};,"Có một vectơ cùng phương với cả hai vectơ \vec{a} và \vec{b}, đó là \vec{0};","Cả A, B, C đều sai.",C,Vì \vec{0} cùng phương với mọi vectơ nên có một vectơ cùng phương với cả hai vectơ \vec{a} và \vec{b} đó là \vec{0}.
"Cho hình lục giác đều ABCDEF tâm O. Số các vectơ khác vectơ-không, cùng phương với \overrightarrow{OB}, có điểm đầu và điểm cuối đều là các đỉnh của lục giác là:",4,6,8,10,B,"Các vectơ cùng phương với \overrightarrow{OB} nếu chúng có giá song song hoặc trùng nhau. Do đó các vectơ cùng phương với \overrightarrow{OB} có điểm đầu và cuối là các đỉnh của lục giác là: \overrightarrow{BE}, \overrightarrow{EB}, \overrightarrow{DC}, \overrightarrow{CD}, \overrightarrow{FA}, \overrightarrow{AF}. Do đó có 6 vectơ thỏa mãn yêu cầu bài toán."
Nếu \overrightarrow{AB} = \overrightarrow{AC} thì,A. Tam giác ABC là tam giác cân;,B. Tam giác ABC là tam giác đều;,C. A là trung điểm của đoạn thẳng BC;,D. Điểm B trùng với điểm C.,D,"AB = AC và hai vectơ \overrightarrow{AB} và \overrightarrow{AC} cùng phương. Do đó: A, B, C là ba điểm thẳng hàng và B, C nằm cùng phía so với A. Mà AB = AC nên B ≡ C."
"Cho hình vuông ABCD, khẳng định nào sau đây là đúng?",\overrightarrow{AB} = \overrightarrow{BC};,\overrightarrow{AB} = \overrightarrow{CD};,\overrightarrow{AC} = \overrightarrow{BD};,\overrightarrow{AD} = \overrightarrow{CB};,D,Vì ABCD là hình vuông nên AD = CB ⇔ \overrightarrow{AD} = \overrightarrow{CB}.
Cho AB và một điểm C. Có bao nhiêu điểm D thỏa mãn \overrightarrow{AB} = \overrightarrow{CD}.,1,2,0,Vô số,A,\overrightarrow{AB} = \overrightarrow{CD}
Cho hình bình hành ABCD với O là giao điểm của hai đường chéo. Khẳng định nào sau đây là sai?,\overrightarrow{AB} = \overrightarrow{CD};,\overrightarrow{AD} = \overrightarrow{BC};,\overrightarrow{AO} = \overrightarrow{OC};,\overrightarrow{OD} = \overrightarrow{BO};,A,Vì ABCD là hình bình hành nên AB = CD hay \overrightarrow{AB} = \overrightarrow{CD}. Mà hai vectơ \overrightarrow{AB} và \overrightarrow{CD} là hai vectơ ngược hướng với nhau.
"Cho ba điểm A, B, C cùng nằm trên một đường thẳng. Các vectơ \overrightarrow{AB}, \overrightarrow{BC} cùng hướng khi và chỉ khi",Điểm B thuộc đoạn AC;,Điểm A thuộc đoạn BC;,Điểm C thuộc đoạn AB;,Điểm B nằm ngoài đoạn AC.,A,"Các vectơ \overrightarrow{AB}, \overrightarrow{BC} cùng hướng khi và chỉ khi điểm B thuộc đoạn AC."
Cho tam giác ABC đều cạnh 2a. Đẳng thức nào sau đây là đúng?,\overrightarrow{AB} = \overrightarrow{AC};,\overrightarrow{AB} = 2a;,\overrightarrow{AB} = 2a;,\overrightarrow{AB} = AB.,C,Vì tam giác ABC đều cạnh 2a nên \overrightarrow{AB} = 2a.
"Cho hình thoi ABCD tâm O, cạnh bằng a và \hat{A} = 60°. Kết luận nào sau đây là đúng?",\frac{a\sqrt{3}}{2},a,\frac{a}{2},\frac{a\sqrt{2}}{2},A,Tam giác ABD đều cạnh bằng a có AO là đường trung tuyến (vì O là tâm của hình thoi ABCD nên O là trung điểm BD). Suy ra AO cũng là đường cao của tam giác ABD. Vì O là trung điểm BD nên BO = \frac{a}{2}. Tam giác ABO vuông tại O: AO^2 = AB^2 – BO^2 (Định lý Pytago) ⇒ AO = \frac{a\sqrt{3}}{2}.
Cho \vec{MN} \neq \vec{0} thì số vectơ cùng phương với vectơ đã cho là,1,2,3,Vô số,D,"Hai vectơ được gọi là cùng phương nếu giá của chúng song song hoặc trùng nhau. Giá của vectơ \vec{MN} là đường thẳng MN, mà ta có vô số đường thẳng song song và trùng với MN. Do đó có vô số vectơ cùng phương với \vec{MN}."
"Cho hình chữ nhật ABCD có AB = 5cm, BC = 12cm. Độ dài của \overrightarrow{AC} là",4,6,8,13,D,Vì ABCD là hình chữ nhật nên ∠B = 90°. Tam giác ABC vuông tại B: AC² = AB² + BC² (Định lý Pytago) ⇔ AC² = 5² + 12² = 169. ⇔ AC = 13 (cm).
