question,A,B,C,D,answer,reasoning
Xét hệ bất phương trình bậc nhất hai ẩn: x + y – 1 < 0 và 2x + y > 0. Đáp án đúng là,x + y – 1 < 0 và 2x + y > 0 đều là bất phương trình bậc nhất hai ẩn.,,,,A,Hệ bất phương trình trên có hai bất phương trình x + y – 1 < 0 và 2x + y > 0 đều là bất phương trình bậc nhất hai ẩn.
Hệ bất phương trình x > 0.,,,,,"{'answer': 'A', 'reasoning': 'Hệ bất phương trình x > 0. Mà điểm A(–1; 2) có x = –1 < 0 nên miền nghiệm của hệ bất phương trình không chứa điểm A(–1; 2). Vậy ta chọn phương án A.'}",
Hệ bất phương trình x > 0.,A(–2; 2),B(5; 3),C(1; –1),D(0; 0),B,Do đó cặp số (5; 3) thỏa mãn đồng thời ba bất phương trình của hệ đã cho. Vậy điểm B(5; 3) thuộc miền nghiệm của hệ bất phương trình đã cho.
"Câu 3. Cho hệ bất phương trình x - y > 0, x - 3y + 3 > 0, x + y - 5 > 0. Điểm nào sau đây thuộc miền nghiệm của hệ bất phương trình đã cho:",A. (–2; 2),B. (5; 3),C. (–1; 1),D. (0; 0),C,"• Xét điểm (–1; 1): Ta có: <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced close="""" open=""{""><mtable columnalign=""left""><mtr><mtd><mo>−</mo><mn>1</mn><mo>+</mo><mn>1</mn><mo>−</mo><mn>2</mn><mo>=</mo><mn>0</mn><mo>≤</mo><mn>0</mn></mtd></mtr><mtr><mtd><mn>2.1</mn><mo>−</mo><mn>3.1</mn><mo>+</mo><mn>2</mn><mo>=</mo><mn>1</mn><mo>&gt;</mo><mn>0</mn></mtd></mtr></mtable></mfenced></math> Do đó cặp số (–1; 1) thỏa mãn đồng thời cả hai bất phương trình của hệ đã cho. Vậy cặp số (–1; 1) là nghiệm của hệ bất phương trình đã cho."
Miền nghiệm của hệ bất phương trình là miền chứa điểm nào sau đây?,M(0; 1),N(8; –5),P(1; 2),Q(–2; 0),B,• Xét điểm N(8; –5): Ta có: <math>8+(-5)-2=1≥0</math> và <math>8+2(-5)+1=-1≤0</math>. Do đó cặp số (8; –5) thỏa mãn đồng thời cả hai bất phương trình của hệ đã cho. Vậy miền nghiệm của hệ bất phương trình chứa điểm N(8; –5).
Miền nghiệm của hệ bất phương trình là miền chứa điểm nào sau đây?,M(0; 1),N(8; –5),P(1; 2),Q(–2; 0),B,Xét điểm M(0; 1): Ta có: 0+1−2=−1<0 và 0+2.1+1=3>0. Do đó cặp số (0; 1) không thỏa mãn đồng thời cả hai bất phương trình của hệ đã cho. Xét điểm N(8; –5): Ta có: 8+−5−2=1≥0 và 8+2.−5+1=−1≤0. Do đó cặp số (8; –5) thỏa mãn đồng thời cả hai bất phương trình của hệ đã cho. Xét điểm P(1; 2): Ta có: 1+2−2=1≥0 và 1+2.2+1=6>0. Do đó cặp số (1; 2) không thỏa mãn đồng thời cả hai bất phương trình của hệ đã cho. Xét điểm Q(–2; 0): Ta có: −2+0−2=−4<0 và −2+2.0+1=−1≤0. Do đó cặp số (–2; 0) không thỏa mãn đồng thời cả hai bất phương trình của hệ đã cho. Ta chọn phương án B.
Điểm O(0; 0) thuộc miền nghiệm của hệ bất phương trình nào sau đây?,"x+3y-6<0, 2x+y+4<0","x+3y-6>0, 2x+y+4>0","x+3y-6>0, 2x+y+4<0","x+3y-6<0, 2x+y+4>0",D,"Xét hệ bất phương trình $x+3y-6<0, 2x+y+4>0$. Khi đó biểu diễn miền nghiệm của hệ bất phương trình là miền không kể bờ $x=0$, có kể bờ $2x-rac{3}{2}y-1=0$, có kể bờ $4x-3y-2=0$. Xét điểm O(0; 0) ta có hoành độ của điểm O không thỏa mãn $x>0$ nên miền nghiệm của hệ bất phương trình là miền không chứa gốc toạ độ. Vậy ta chọn phương án D."
Cho hệ bất phương trình x > 0; 2x – y – 1 ≥ 0; 4x – 3y – 2 ≤ 0. Khẳng định nào sau đây là sai?,2,2x – y – 1 = 0;,4x – 3y – 2 = 0;,Miền nghiệm của hệ bất phương trình là miền không chứa gốc toạ độ.,D,Xét hệ bất phương trình x > 0; 2x – y – 1 ≥ 0; 4x – 3y – 2 ≤ 0. Xét điểm O(0; 0) ta có hoành độ của điểm O không thỏa mãn x > 0 nên miền nghiệm của hệ bất phương trình là miền không chứa gốc toạ độ.
Miền nghiệm (miền không gạch chéo) của hệ bất phương trình được biểu diễn như trong hình vẽ nào sau đây?,"A. <img alt=""TOP 20 câu Bài tập Hệ bất phương trình bậc nhất hai ẩn có đáp án - Toán 10 Chân trời sáng tạo (ảnh 1)"" height=""339"" src=""https://vietjack.me/storage/uploads/images/268/1a-1664457062.png"" width=""331"">","B. <img alt=""TOP 20 câu Bài tập Hệ bất phương trình bậc nhất hai ẩn có đáp án - Toán 10 Chân trời sáng tạo (ảnh 1)"" height=""311"" src=""https://vietjack.me/storage/uploads/images/268/1b-1664457071.png"" width=""288"">","C. <img alt=""TOP 20 câu Bài tập Hệ bất phương trình bậc nhất hai ẩn có đáp án - Toán 10 Chân trời sáng tạo (ảnh 1)"" height=""278"" src=""https://vietjack.me/storage/uploads/images/268/1c-1664457082.png"" width=""308"">","D. <img alt=""TOP 20 câu Bài tập Hệ bất phương trình bậc nhất hai ẩn có đáp án - Toán 10 Chân trời sáng tạo (ảnh 1)"" height=""281"" src=""https://vietjack.me/storage/uploads/images/268/1d-1664457092.png"" width=""288"">",D,"Do đó cặp số (1; 2) là nghiệm của hệ bất phương trình. Khi đó A sai. • Xét cặp số <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mfrac><mn>3</mn><mn>4</mn></mfrac><mo>;</mo><mfrac><mn>5</mn><mn>4</mn></mfrac></mrow></mfenced></math>: ... Khi đó D đúng."
Miền nghiệm của hệ bất phương trình là:,Miền tứ giác,Miền tam giác,Miền ngũ giác,Miền lục giác,C,"Miền không gạch chéo (kể cả bờ d1, d2, d3, d4 và d5) là giao của các miền nghiệm và cũng là phần biểu diễn miền nghiệm của hệ bất phương trình đã cho. Vậy miền nghiệm của hệ bất phương trình là miền ngũ giác."
