question,A,B,C,D,answer,reasoning
,,,,,D,Vì ∆ ⊥ d nên ∆ nhận vectơ chỉ phương của d là một vectơ pháp tuyến. Suy ra ∆ có vectơ pháp tuyến $\overrightarrow{n_{Δ}} = \overrightarrow{u} = (3; -4)$.
,,,,,A,Đường thẳng ∆ có một vectơ chỉ phương là $overrightarrow{u} = (-rac{1}{2}; 3)$. Các vectơ chỉ phương còn lại của đường thẳng ∆ sẽ cùng phương với $overrightarrow{u}$.
Vectơ nào sau đây là một vectơ chỉ phương của $\Delta: \begin{cases} x=5-\frac{1}{2}t \\ y=-3+3t \end{cases}$?,-\frac{1}{2}; 6,\frac{1}{2}; 3,5; -3,-5; 3,A,"Đường thẳng $\Delta$ có một vectơ chỉ phương là $\overrightarrow{u} = (-\frac{1}{2}; 3)$. Các vectơ chỉ phương còn lại của đường thẳng $\Delta$ sẽ cùng phương với $\overrightarrow{u}$. Ở phương án A, ta có $\frac{-\frac{1}{2}}{-1} = \frac{3}{6}$ nên $\overrightarrow{u_1}$ cùng phương với $\overrightarrow{u}$. Do đó $\overrightarrow{u_1}$ cũng là một vectơ chỉ phương của $\Delta$. Ở phương án B, ta có $\frac{-\frac{1}{2}}{\frac{1}{2}} \neq \frac{3}{6}$ nên $\overrightarrow{u_2}$ không cùng phương với $\overrightarrow{u}$. Do đó $\overrightarrow{u_2}$ không là một vectơ chỉ phương của $\Delta$. Tương tự, ta có $\overrightarrow{u_3}$, $\overrightarrow{u_4}$ không là vectơ chỉ phương của $\Delta$. Vậy ta chọn phương án A."
"Cho hai điểm A(4; 0), B(0; 5). Phương trình nào sau đây không phải là phương trình của đường thẳng AB?",y = -\frac{5}{4}x + 15,\frac{x}{4} + \frac{y}{5} = 1,\frac{x - 4}{-4} = \frac{y}{5},"\begin{cases} x = 4 - 4t \\ y = 5t \end{cases}, t \in \mathbb{R}",A,y = -\frac{5}{4}x + 5
Một đường thẳng có bao nhiêu vectơ pháp tuyến?,0,1,2,Vô số,D,"Ta có được gọi là vectơ pháp tuyến của đường thẳng ∆ nếu $overrightarrow{n} 
eq overrightarrow{0}$ và $overrightarrow{n}$ vuông góc với vectơ chỉ phương của đường thẳng ∆. Có vô số vectơ khác $overrightarrow{0}$ và vuông góc với vectơ chỉ phương của đường thẳng ∆. Do đó đường thẳng ∆ có vô số vectơ pháp tuyến."
Giao điểm M của hai đường thẳng (d): $\begin{cases} x=1-2t \\ y=-3+5t \end{cases}$ và (d'): 3x - 2y - 1 = 0 là:,$M(0; \frac{1}{2})$,$M(0; -\frac{1}{2})$,$M(-\frac{1}{2}; 0)$,$M(2; -\frac{11}{2})$,B,"Đường thẳng (d) có vectơ chỉ phương $\overrightarrow{u} = (-2; 5)$. Suy ra (d) có vectơ pháp tuyến $\overrightarrow{n} = (5; 2)$. (d) đi qua A(1; -3), có vectơ pháp tuyến $\overrightarrow{n} = (5; 2)$ nên có phương trình tổng quát là: 5(x - 1) + 2(y + 3) = 0 $\Leftrightarrow$ 5x + 2y + 1 = 0. Ta có M là giao điểm của (d) và (d') nên tọa độ M là nghiệm của hệ phương trình: $\begin{cases} 5x + 2y + 1 = 0 \\ 3x - 2y - 1 = 0 \end{cases} \Leftrightarrow \begin{cases} x = 0 \\ y = -\frac{1}{2} \end{cases}$. Khi đó ta có $M(0; -\frac{1}{2})$. Vậy ta chọn phương án B."
Cho hai đường thẳng ∆1: 11x – 12y + 1 = 0 và ∆2: 12x + 11y + 9 = 0. Khi đó hai đường thẳng này,A. Trùng nhau;,B. Song song với nhau;,C. Vuông góc với nhau;,D. Cắt nhau nhưng không vuông góc.,C,"Hai đường thẳng ∆1, ∆2 có vectơ pháp tuyến lần lượt là n1→ = (11; –12), n2→ = (12; 11). Ta có n1→ . n2→ = 11.12 + (–12).11 = 0. Suy ra n1→ ⊥ n2→. Khi đó ta có ∆1 ⊥ ∆2."
"Cho ∆ABC có A(2; –1), B(4; 5), C(–3; 2). Phương trình nào sau đây là phương trình tổng quát của đường cao AH?",7x + 3y – 11 = 0,3x + 7y + 1 = 0,7x + 3y + 13 = 0,–3x + 7y + 13 = 0,A,"Vì AH là đường cao của ∆ABC nên AH ⊥ BC. Suy ra AH nhận BC làm vectơ pháp tuyến. Đường thẳng AH đi qua điểm A(2; –1), có vectơ pháp tuyến BC = (–7; –3). Suy ra phương trình tổng quát của đường thẳng AH là: –7.(x – 2) – 3.(y + 1) = 0 ⇔ –7x – 3y + 11 = 0 ⇔ 7x + 3y – 11 = 0."
Cho hai điểm A(–2; 3) và B(4; –1). Phương trình đường trung trực của đoạn thẳng AB là:,2x – 3y + 1 = 0,2x + 3y – 5 = 0,3x – 2y – 1 = 0,x – y – 1 = 0,C,Gọi d là đường trung trực của đoạn thẳng AB. Ta suy ra M(1; 1). Đường thẳng d đi qua trung điểm M(1; 1) của AB và nhận AB làm vectơ pháp tuyến. Suy ra phương trình tổng quát của d là: 6(x – 1) – 4(y – 1) = 0 ⇔ 6x – 4y – 2 = 0 ⇔ 3x – 2y – 1 = 0.
Điểm nằm trên đường thẳng ∆: 2x + y – 1 = 0 và có khoảng cách đến (d): 4x + 3y – 10 = 0 bằng 2 là: ,"M(-\frac{17}{2}; -18), M(\frac{3}{2}; -2)","M(\frac{17}{2}; 18), M(\frac{3}{2}; 2)","M(-\frac{17}{2}; 18), M(\frac{3}{2}; -2)","M(-\frac{17}{2}; -18), M(\frac{3}{2}; 2)",C,"Gọi M(x_M; y_M) là điểm cần tìm. Ta có M ∈ ∆. Suy ra 2x_M + y_M – 1 = 0 ⇔ y_M = 1 – 2x_M. Khi đó tọa độ M có dạng: M(x_M; 1 – 2x_M). Theo đề ta có khoảng cách từ M đến (d) bằng 2, tức là d(M, (d)) = 2. Ta suy ra |–2x_M – 7| = 10 ⇔ –2x_M – 7 = 10 hoặc –2x_M – 7 = –10 ⇔ –2x_M = 17 hoặc –2x_M = –3 ⇔ x_M = -\frac{17}{2} hoặc x_M = \frac{3}{2}. • Với x_M = -\frac{17}{2}, ta có: y_M = 1 – 2x_M = 18. Suy ra tọa độ M(-\frac{17}{2}; 18). • Với x_M = \frac{3}{2}, ta có y_M = 1 – 2x_M = –2. Suy ra tọa độ M(\frac{3}{2}; -2). Vậy có hai điểm M thỏa yêu cầu bài toán là M(-\frac{17}{2}; 18), M(\frac{3}{2}; -2). Do đó ta chọn phương án C."
