question,A,B,C,D,answer,reasoning
Đó là các vectơ: ,"A→, , , , ,","B→, , , , ,","C→, , , , ,",,B,"A→, , , , ,"
"Xét các vectơ có điểm A là điểm đầu thì có các vectơ thỏa mãn bài toán là AB→, AC→, AD→⇒ có 3 vectơ. Tương tự cho các điểm còn lại B, C, D. Như vậy sẽ có tất cả 12 vectơ.",,,,Tất cả các vectơ,D,"Xét các vectơ có điểm A là điểm đầu thì có các vectơ thỏa mãn bài toán là AB→, AC→, AD→⇒ có 3 vectơ. Tương tự cho các điểm còn lại B, C, D. Như vậy sẽ có tất cả 12 vectơ."
"Cho tứ giác ABCD,có bao nhiêu vectơ khác vectơ - không, có điểm đầu và cuối là các đỉnh của tứ giác?",4,6,8,12,D,"Xét các vectơ có điểm A là điểm đầu thì có các vectơ thỏa mãn bài toán là $AB→, AC→, AD→⇒$ có 3 vectơ. Tương tự cho các điểm còn lại B, C, D. Như vậy sẽ có tất cả 12 vectơ."
Mệnh đề nào sau đây đúng?,Có duy nhất một vectơ cùng phương với mọi vectơ.,Có ít nhất hai vectơ có cùng phương với mọi vectơ.,Có vô số vectơ cùng phương với mọi vectơ.,Có vectơ nào cùng phương với mọi vectơ.,A,"Vì vectơ - không, cùng phương với mọi vectơ."
"Vectơ có điểm đầu là D, điểm cuối là E được kí hiệu là",DE,,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>D</mi></mrow><mo>→</mo></mover><mo>.</mo></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>D</mi><mi>E</mi></mrow><mo>→</mo></mover><mo>.</mo></math>",D,"Theo định nghĩa vectơ: Vectơ có điểm đầu A, điểm cuối B được kí hiệu là <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover></math> và đọc là ""vectơ AB"". Để vẽ vectơ <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover></math> ta vẽ đoạn thẳng AB và đánh dấu mũi tên ở đầu mút B. Do đó, với điểm đầu là D và điểm cuối là E ta có vecto <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>D</mi><mi>E</mi></mrow><mo>→</mo></mover><mo>.</mo></math>"
"Gọi M, N lần lượt là trung điểm của các cạnh AB, AC của tam giác đều ABC. Hỏi cặp vectơ nào sau đây cùng hướng?",M→ và C→,A→ và M→,M→ và M→,A→ và N→,B,Quan sát ta thấy: A→ và M→ cùng hướng.
"Gọi M, N lần lượt là trung điểm của các cạnh AB, AC của tam giác đều ABC. Hỏi cặp vectơ nào sau đây cùng hướng?",4,6,7,9,B,"Ta thấy: <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover></math> và <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>M</mi><mi>B</mi></mrow><mo>→</mo></mover></math> cùng hướng."
"Cho lục giác đều ABCDEF tâm O. Số các vectơ khác vectơ - không, cùng phương với <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>O</mi><mi>C</mi></mrow><mo>→</mo></mover></math> có điểm đầu và điểm cuối là các đỉnh của lục giác là",4,6,7,9,B,"Theo định nghĩa độ dài vectơ : Độ dài của vectơ là khoảng cách giữa điểm đầu và điểm cuối của nó hay nói gọn hơn, độ dài của vectơ <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>→</mo></mover></math>là độ dài đoạn thẳng AB, kí hiệu là <img alt=""15 Bài tập Khái niệm vectơ (có đáp án) | Cánh diều Trắc nghiệm Toán 10"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-3-khai-niem-vecto-151317.PNG"" style=""box-sizing: border-box; max-width: 100%; vertical-align: middle; border: 0px; display: inline; margin-left: auto; margin-right: auto; padding-bottom: 4px;"" /> . Độ dài vectơ là một số không âm. Vec tơ có độ dài bằng 1 gọi là vectơ đơn vị. Do đó, độ dài đoạn thẳng ED là độ dài vecto <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>D</mi></mrow><mo>→</mo></mover><mo>."
"With <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>D</mi><mi>E</mi></mrow><mo>→</mo></mover></math> (khác vectơ - không) thì độ dài đoạn thẳng ED được gọi là","A. Phương của <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>D</mi></mrow><mo>→</mo></mover><mo>;</mo></math>","B. Hướng của <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>D</mi></mrow><mo>→</mo></mover><mo>;</mo></math>","C. Giá của <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>D</mi></mrow><mo>→</mo></mover><mo>;</mo></math>","D. Độ dài của <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>D</mi></mrow><mo>→</mo></mover><mo>;</mo></math>",D,"Do đó, độ dài đoạn thẳng ED là độ dài vecto <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>E</mi><mi>D</mi></mrow><mo>→</mo></mover><mo>;</mo></math>"
Hai vectơ được gọi là bằng nhau khi và chỉ khi,Giá của chúng trùng nhau và độ dài của chúng bằng nhau.,Chúng trùng với một trong các cặp cạnh đối của một hình bình hành.,Chúng trùng với một trong các cặp cạnh đối của một tam giác đều.,Chúng cùng hướng và độ dài của chúng bằng nhau.,D,"Theo định nghĩa hai vectơ bằng nhau: Hai vectơ và được gọi là bằng nhau nếu chúng cùng hướng và có cùng độ dài, kí hiệu = ."
Hai vectơ được gọi là bằng nhau khi và chỉ khi,Giá của chúng trùng nhau và độ dài của chúng bằng nhau.,Chúng trùng với một trong các cặp cạnh đối của một hình bình hành.,Chúng trùng với một trong các cặp cạnh đối của một tam giác đều.,Chúng cùng hướng và độ dài của chúng bằng nhau.,A,Hai vectơ được gọi là bằng nhau khi và chỉ khi giá của chúng trùng nhau và độ dài của chúng bằng nhau.
"Cho bốn điểm phân biệt A, B, C, D. Điều kiện nào trong các đáp án A, B, C, D sau đây là điều kiện cần và đủ để AB→=CD→?",AB→ cùng phương CD→,ABCD là hình bình hành,,AB=CD,D,"Ta có: AB→; CD→ cùng hướng. Mặt khác, ABCD là hình bình hành và AB→=CD→ cùng hướng ⇒ ABDC là hình bình hành"
