question,A,B,C,D,answer,reasoning
,,,,,B,Đáp án A và D sai vì 0 ≤ P(A) ≤ 1. Đáp án C sai vì P(A) = 0 ⇔ A = ∅
,,,,,C,Ta có : Mỗi lần chọn 4 viên bi bất kì từ 24 viên bi cho ta một tổ hợp chập 4 của 24 nên n(Ω) = $C_{24}^{4}$. Gọi $overline{A}$ là biến cố: “ 4 viên bi lấy ra không có viên bi đỏ nào được chọn”. ⇒ Mỗi lần chọn 4 viên bi bất kì từ 18 viên bi xanh và trắng cho ta một tổ hợp chập 4 của 18 nên n($overline{A}$) = $C_{18}^{4}$. Vậy n(A) = n(Ω) − n($overline{A}$) = $C_{24}^{4}$− $C_{18}^{4}$= 10626 – 3060 = 7566.
"Trong một chiếc hộp đựng 6 viên bi đỏ, 8 viên bi xanh, 10 viên bi trắng. Lấy ngẫu nhiên 4 viên bi. Tính số phần tử của biến cố A :” 4 viên bi lấy ra có ít nhất một viên bi màu đỏ”",n(A) = 7366;,n(A) = 7563;,n(A) = 7566;,n(A) = 7568;,C,Ta có : Mỗi lần chọn 4 viên bi bất kì từ 24 viên bi cho ta một tổ hợp chập 4 của 24 nên n(Ω) = C_{24}^{4}. Gọi A¯ là biến cố: “ 4 viên bi lấy ra không có viên bi đỏ nào được chọn”. Mỗi lần chọn 4 viên bi bất kì từ 18 viên bi xanh và trắng cho ta một tổ hợp chập 4 của 18 nên n(A¯) = C_{18}^{4}. Vậy n(A) = n(Ω) − n(A¯) = C_{24}^{4}− C_{18}^{4}= 10626 – 3060 = 7566.
Từ các chữ số 1; 2; 4; 6; 8; 9 lấy ngẫu nhiễn một số. Xác suất để lấy được một số nguyên tố là:,\frac{1}{2},\frac{1}{3},\frac{1}{4},\frac{1}{6},D,"Ta có: Mỗi lần chọn 1 số bất kì từ 6 số đã cho, ta được một tổ hợp chập 1 của 6 nên n(Ω) = C_{6}^{1} = 6. Gọi B là biến cố :”Số lấy ra là số nguyên tố”. Ta có: B = {2} ⇒ n(B) = 1. Vậy P(B) = \frac{n(B)}{n(Ω)} = \frac{1}{6}"
Trong các thí nghiệm sau thí nghiệm nào không phải là phép thử ngẫu nhiên:,Gieo đồng xu để xem xuất hiện mặt ngửa hay mặt sấp;,Gieo đồng xu để xem xuất hiện mặt ngửa xuất hiện bao nhiêu lần;,Chọn 1 học sinh bất kì trong lớp và xem kết quả là nam hay nữ;,"Bỏ hai viên bi xanh và ba viên bi đỏ trong một chiếc hộp, sau đó lấy từng viên một để đếm có tất bao nhiêu viên bi.",D,"Theo định nghĩa ta có phép thử ngẫu nhiên là những phép thử mà ta không thể đoán trước kết quả của nó, mặc dù đã biết được tập hợp tất cả các kết quả của phép thử đó. Đáp án D không phải phép thử vì ta có thể biết chắc chắn kết quả chỉ có thể là 1 số cụ thể là tổng số bi đỏ và xanh."
"Trên giá sách có 4 quyển sách toán, 3 quyển sách lí, 2 quyển sách hoá. Lấy ngẫu nhiên 3 quyển sách. Tính xác suất để 3 quyển lấy ra có ít nhất 1 quyển sách toán.",2/7,1/21,\frac{37}{42},\frac{5}{42},C,Ta có : Mỗi lần chọn 3 quyển sách bất kì từ 9 quyển sách cho ta một tổ hợp chập 3 của 9 nên n(Ω) = 84. Gọi C là biến cố: “ 3 quyển sách lấy ra có ít nhất một quyển là môn toán”. Gọi C¯ là biến cố: “ 3 quyển sách lấy ra không có quyển nào môn toán”. Vậy P(C) = 1 – P(C¯) = 1 – 5/42 = 37/42.
Một nhóm gồm 8 nam và 7 nữ. Chọn ngẫu nhiên 5 bạn. Xác suất để 5 bạn được cả nam lẫn nữ mà nam nhiều hơn nữ là:,60/143,238/429,210/429,82/143,B,"Ta có : Mỗi lần chọn 5 bạn ngẫu nhiên từ 15 bạn cho ta một tổ hợp chập 5 của 15 nên n(Ω) = C(15,5) = 3003. Gọi D là biến cố :” 5 bạn được cả nam lẫn nữ mà năm nhiều hơn nữ”. Áp dụng quy tắc cộng ta có : n(D) = 490 + 1176 = 1666. Vậy P(D) = n(D)/n(Ω) = 1666/3003 = 238/429."
Cho phép thử với không gian mẫu Ω = {1; 2; 3; 4; 5; 6}. Đâu không phải là cặp biến cố đối nhau,A = {1} và B = {2; 3; 4; 5; 6},C = {1; 4; 5} và D = {2; 3; 6},E = {1; 4; 6} và F = {2; 3},Ω và ∅,C,Ω \ E = {2; 3; 5} mà F = {2; 3} nên E và F không phải là hai biến cố đối nhau
"Bốn quyển sách được đánh dấu bằng những chữ cái U, V, X, Y được xếp tuỳ ý trên 1 kệ sách dài. Xác suất để chúng được sắp xếp theo thứ tự bảng chữ cái là:",\frac{1}{4},\frac{1}{6},\frac{1}{24},\frac{1}{256},C,"n(Ω) = 4! = 24. Gọi E là biến cố: “các quyển sách được sắp xếp theo bảng chữ cái” E = {(U, V, X, Y)} ⇒ n(E) = 1. Vậy P(E) = \frac{n(E)}{n(Ω)} = \frac{1}{24}"
"Giải bóng chuyền VTV Cup gồm 9 đội bóng tham dự, trong đó có 6 đội bóng và 3 đội của Việt Nam. Ban tổ chức cho bốc thăm ngẫu nhiên để chia thành 3 bảng A, B, C và mỗi bảng có 3 đội. Tính xác suất để 3 đội bóng của Việt Nam ở bảng khác nhau",\frac{3}{56},\frac{19}{28},\frac{9}{28},\frac{53}{56},C,"Ta có: n(Ω) = \binom{9}{3} \binom{6}{3} .1 = 1680. Gọi G là biến cố:""3 đội bóng của đội tuyển Việt Nam thuộc 3 bảng khác nhau"". Vậy P(G) = \frac{n(G)}{n(Ω)} = \frac{540}{1680} = \frac{9}{28}"
