question,A,B,C,D,answer,reasoning
,,,,2x+7≥0⇔x≥−72,D,Ta có : x−2√2x+7=x2−4⇔x−2√2x+7=x−2√2x+7⇔x2−4
"Phương trình <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn><mi>x</mi><mo>−</mo><mn>2</mn></mrow><msqrt><mi>x</mi><mo>−</mo><mn>2</mn></msqrt></mfrac><mo>=</mo><msqrt><mi>x</mi><mo>−</mo><mn>2</mn></msqrt></math> có tất cả bao nhiêu nghiệm?",1,2,3,5,A,"Điều kiện xác định của phương trình x − 2 > 0 ⇔ x > 2. Từ phương trình đã cho ta được: <math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>5</mn><mi>x</mi><mo>=</mo><mn>0</mn><mo>⇔</mo></math><img alt=""15 Bài tập Hai dạng phương trình quy về phương trình bậc hai (có đáp án) | Cánh diều Trắc nghiệm Toán 10"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-5-hai-dang-phuong-trinh-quy-ve-phuong-trinh-bac-hai-151210.PNG"" style=""box-sizing: border-box; max-width: 100%; vertical-align: middle; border: 0px; display: inline; margin-left: auto; margin-right: auto; padding-bottom: 4px;"">. So với điều kiện x > 2 thì x = 5 là nghiệm duy nhất của phương trình."
Phương trình x^2 - 4x - 2 = (x - 2)√x - 2 có tất cả bao nhiêu nghiệm?,1,2,3,5,C,So với điều kiện x > 2 thì x = 5 là nghiệm duy nhất của phương trình.
Phương trình 2−x+4=2 có tất cả bao nhiêu nghiệm?,0,1,2,3,B,Từ phương trình đã cho ta được 3√2−x−2√2−x=−2+x−4+6⇔√2−x=x⇔x2+x−2=0. Đối chiếu với điều kiện bài toán ta kết luận nghiệm của phương trình x =1.
Phương trình 2−x+4/(√2−x)+3=2 có tất cả bao nhiêu nghiệm?,0,1,2,3,B,Từ phương trình đã cho ta được: 2−x+x−2=0⇔x^2+x−2=0. Đối chiếu với điều kiện bài toán ta kết luận nghiệm của phương trình x =1.
Tập nghiệm S của phương trình √2x + x - 1 = 0 là:,A. S = {1; 4},B. S = {1},C. S = ∅,D. S = {4},D,"Do đó, S = {4}."
Nghiệm của phương trình √3x - 4 = 4 - 3x là đáp án nào trong số các đáp án sau đây?,x = 1,x = 2,x = 3,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>4</mn><mn>3</mn></mfrac></math>",D,"Bình phương hai vế của phương trình ta có: 3x - 4 = 4 - 3x⇔6x = 8⇔x = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>4</mn><mn>3</mn></mfrac></math>. Đối chiếu với điều kiện bài toán và thử lại kết quả suy ra phương trình có nghiệm x = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>4</mn><mn>3</mn></mfrac></math>."
"Nghiệm của phương trình <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn><mi>x</mi><mo>+</mo><mn>3</mn></mrow><msqrt><mi>x</mi><mo>−</mo><mn>1</mn></msqrt></mfrac><mo>=</mo><msqrt><mi>x</mi><mo>−</mo><mn>1</mn></msqrt></math> là:",0,1,2,4,D,"Phương trình có thể viết lại như sau: <math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>5</mn><mi>x</mi><mo>+</mo><mn>4</mn></math> = 0. Xét điều kiện bài toán và thử lại kết quả suy ra phương trình có nghiệm x = 4."
Tập nghiệm của phương trình x + 1 = x + 1 là?,S = (-1; 1),S = (1; +∞),S = {-1},S = (-1; 0),B,Điều kiện: x + 1 > 0 ⇔ x > -1. Khi đó phương trình có thể viết lại như sau: x + 1 = x + 1 (luôn đúng). Như vậy tập nghiệm của phương trình là khoảng (-1; +∞).
Tập nghiệm của phương trình x+1=1 là?,S = (-1; 1),S = (1; +∞),S = {-1},S = (-1; 0),B,Điều kiện: x + 1 > 0 ⇔ x > -1. Phương trình có thể viết lại như sau: x + 1 = x + 1 (luôn đúng). Như vậy tập nghiệm của phương trình là khoảng (-1; +∞).
Tập nghiệm S của phương trình 2x^2 + 5x - 1 = x + 5 là:,S = {1},S = ∅,S = {3},,C,Điều kiện: x - 1 > 0 ⇔ x > 1. Khi đó phương trình được viết lại như sau: 2x^2 + 4x - 6 = 0 ⇔ 3x^2 - 10x + 3 = 0. Đối chiếu với điều kiện của bài toán và thử lại kết quả ta được nghiệm x = 3. Vậy S = {3}.
Nghiệm của phương trình √−10x+10=x−1 là:,x = -12,x = -6,x = 1,x = 2,C,Điều kiện: √−10x+10=x−1. Khi đó phương trình có thể viết lại như sau: −10x+10=√(x−1)². Kết hợp với điều kiện bài toán và thử lại kết quả ta thấy x =1 là nghiệm của phương trình.
"Phương trình <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><msqrt><mn>4</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>−</mo><mn>1</mn></msqrt><mrow><mi>x</mi><mo>+</mo><mn>1</mn></mrow></mfrac><mo>=</mo><msqrt><mn>2</mn></msqrt></math> có nghiệm là?",x = 0,x = 1,x = 2,x = 4,B,"Khi đó phương trình được viết thành: <math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mn>4</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>−</mo><mn>1</mn></msqrt><mo>=</mo><msqrt><mn>2</mn></msqrt><mo>.</mo><mo>(</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo>)</mo></math>. Đối chiều với điều kiện bài toán và thử lại giá trị, ta thấy x = 1 là nghiệm của phương trình."
"Câu 15. Tập nghiệm S của phương trình <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><msqrt><mi>x</mi><mo>−</mo><mn>1</mn></msqrt><mrow><mi>x</mi><mo>+</mo><mn>2</mn></mrow></mfrac><mo>=</mo><mfrac><mrow><mo>−</mo><mi>x</mi><mo>−</mo><mn>11</mn></mrow><mrow><mi>x</mi><mo>+</mo><mn>2</mn></mrow></mfrac><mo>+</mo><mn>2</mn></math> là:",S = {−1; 1},S = {−1},S = {1},S = {10},D,"Khi đó phương trình được viết thành:<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><msqrt><mi>x</mi><mo>−</mo><mn>1</mn></msqrt><mrow><mi>x</mi><mo>+</mo><mn>2</mn></mrow></mfrac><mo>=</mo><mfrac><mrow><mi>x</mi><mo>−</mo><mn>7</mn></mrow><mrow><mi>x</mi><mo>+</mo><mn>2</mn></mrow></mfrac></math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>⇒</mo></math><math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mi>x</mi><mo>−</mo><mn>1</mn></msqrt><mo>=</mo><mi>x</mi><mo>−</mo><mn>7</mn></math></math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>⇔</mo></math><math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>15</mn><mi>x</mi><mo>+</mo><mn>50</mn></math> = 0. Đối chiếu với điều kiện bài toán và thử lại kết quả ta có x = 10 là nghiệm của phương trình."
