question,A,B,C,D,answer,reasoning
,,,,,B,Xét đáp án B: Thay toạ độ từ đáp án vào hệ bất phương trình ta có $-1+3.1-2=0$ và $2.(-1)+1+1=0$ thỏa mãn hệ bất phương trình
Tìm giá trị nhỏ nhất của hàm số F(x; y) = y - x trên miền nghiệm của hệ bất phương trình bậc nhất hai ẩn,,,,,A,"Miền nghiệm của hệ bất phương trình bậc nhất hai ẩn là tam giác ABC với A(1; 4), B(0; 2), C(2; 3). Giá trị nhỏ nhất của hàm số F(x; y) = y - x trên miền nghiệm của hệ bất phương trình bậc nhất hai ẩn là 1 khi x = 2, y = 3."
Giá trị nhỏ nhất của biểu thức F(x; y) = y – x trên miền xác định bởi hệ: [ y - 2x leq 2 ] [ 2y - x geq 4 ] [ x + y leq 5 ] là:,"min F(x; y) = 1 khi x = 2, y = 3;","min F(x; y) = 2 khi x = 0, y = 2;","min F(x; y) = 3 khi x = 1, y = 4;","min F(x; y) = 7 khi x = 6, y = – 1.",A,Ta tìm miền nghiệm xác định bởi hệ [ y - 2x leq 2 ] [ 2y - x geq 4 ] [ x + y leq 5 ]
"Trong các cặp số sau, cặp nào không là nghiệm của hệ bất phương trình $\begin{cases} x + y - 2 \leq 0 \\ 2x - 3y + 2 > 0 \end{cases}$ là",0; 0,1; 1,- 1; 1,- 1; - 1,C,Xét đáp án A ta có: $\begin{cases} 0 + 0 - 2 < 0 \\ 2.0 - 3.0 + 2 > 0 \end{cases}$ đáp án A thoả mãn hệ bất phương trình. Xét đáp án B ta có : $\begin{cases} 1 + 1 - 2 = 0 \\ 2.1 - 3.1 + 2 > 0 \end{cases}$ đáp án B thoả mãn hệ bất phương trình. Xét đáp án C ta có : $\begin{cases} - 1 + 1 - 2 < 0 \\ 2.(- 1) - 3.1 + 2 < 0 \end{cases}$ đáp án C không thoả mãn hệ bất phương trình. Xét đáp án D ta có : $\begin{cases} - 1 + (- 1) - 2 < 0 \\ 2.(- 1) - 3.(- 1) + 2 > 0 \end{cases}$ đáp án D thoả mãn hệ bất phương trình. Vậy đáp án đúng là C
Điểm O(0; 0) thuộc miền nghiệm của hệ bất phương trình nào sau đây?,$\boxed{x + 3y - 6 > 0; 2x + y + 4 > 0}$,$\boxed{x + 3y - 6 > 0; 2x + y + 4 < 0}$,$\boxed{x + 3y - 6 < 0; 2x + y + 4 > 0}$,$\boxed{x + 3y - 6 < 0; 2x + y + 4 < 0}$,C,"Thay điểm O(0; 0) vào từng đáp án ta có : Đáp án A, B sai vì 0 + 3.0 – 6 < 0 không thỏa mãn bất phương trình x + 3y – 6 > 0. Đáp án D sai vì 2.0 + 0 + 4 > 0 không thỏa mãn bất phương trình 2x + y + 4 < 0. Đáp án C 0 + 3.0 – 6 < 0 thỏa mãn, 2.0 + 0 + 4 > 0 thỏa mãn"
"Cho hệ {2x + 3y < 5\x + \frac{3}{2}y < 5}. Gọi S_{1} là tập nghiệm của bất phương trình (1), S_{2} là tập nghiệm của bất phương trình (2) và S là tập nghiệm của hệ thì",S_{1} ⊂ S_{2},S_{2} ⊂ S_{1},S_{2} = S,S_{1} ≠ S,A,"Trước hết, ta vẽ hai đường thẳng:\(d_{1}): 2x + 3y = 5\(d_{2}): x + \frac{3}{2}y = 5\Xét điểm O(0; 0) thay vào phương trình đường thẳng ta có 2.0 + 3.0 = 0 < 5, thoả mãn bất phương trình 2x + 3y < 5. Vậy O(0; 0) thuộc miền nghiệm của bất phương trình. Miền nghiệm của bất phương trình là nửa mặt phẳng không bị gạch chéo(không kể biên) của (d_{1})\Xét điểm O(0; 0) thay vào phương trình đường thẳng ta có 0 + \frac{3}{2}.0 = 0 < 5, thoả mãn bất phương trình x + \frac{3}{2}y < 5. Vậy O(0; 0) thuộc miền nghiệm của bất phương trình. Miền nghiệm của bất phương trình là nửa mặt phẳng không bị gạch chéo(không kể biên) của (d_{2})\Miền nghiệm được biểu diễn trong hình dưới đây\Từ đồ thị biểu diễn miền nghiệm của hệ bất phương trình ta có S_{1} ⊂ S_{2}; S_{1} = S; S_{2} ≠S. Vậy S_{1} ⊂ S_{2}."
"Phần không bị gạch ở hình sau đây là biểu diễn miền nghiệm của hệ bất phương trình nào trong bốn hệ A, B, C, D (không kể bờ) ?",y > 0; 3x + 2y < 6,y > 0; 3x + 2y < -6,x > 0; 3x + 2y < 6,x > 0; 3x + 2y > -6,A,Vì miền nghiệm là nửa mặt phẳng nằm phía trên trục hoành: y > 0 và 3x + 2y < 6.
"Giá trị lớn nhất của biết thức F(x; y) = x + 2y với điều kiện $0\leq y\leq 4$, $x\geq 0$, $x - y - 1\leq 0$, $x + 2y - 10\leq 0$ là",6,8,10,12,C,"F(x; y) = x + 2y chỉ đạt giá trị lớn nhất tại các điểm A, B, C, O; E. F(x; y) = x + 2y suy ra F(4; 3) = 4 + 2.3 = 10; F(x; y) = x + 2y suy ra F(0; 4) = 0 + 2.4 = 8; F(x; y) = x + 2y suy ra F(2; 4) = 2 + 2.4 = 10; F(x; y) = x + 2y suy ra F(1; 0) = 1 + 2.0 = 1; F(x; y) = x + 2y suy ra F(0; 0) = 0 + 2.0 = 0. Vậy giá trị lớn nhất của biết thức F(x; y) = x + 2y bằng 10."
Giá trị nhỏ nhất của biết thức F(x; y) = x – 2y với điều kiện $\boxed{\begin{array}{l} 0 \leq y \leq 5 \\ x \geq 0 \\ x + y - 2 \geq 0 \\ x - y - 2 \leq 0 \end{array}}$ là,-10,12,-8,-6,A,F(x; y) = x – 2y suy ra F(0; 5) = 0 – 2.5 = – 10;
Điểm nào sau đây không thuộc miền nghiệm của hệ bất phương trình [ 2x + 3y - 1 > 0 ] [ 5x - y + 4 < 0 ]?,(– 1; 4),(– 2; 4),(0; 0),(– 3; 4),C,Xét đáp án C ta có: [ 2.0 + 3.0 - 1 < 0 ] [ 5.0 - 0 + 4 > 0 ] [ 0 + 0 + 1 > 0 ] đáp án C không thoả mãn hệ bất phương trình
Điểm nào sau đây thuộc miền nghiệm của hệ bất phương trình $\begin{cases} 2x - 5y - 1 > 0 \\ 2x + y + 5 > 0 \\ x + y + 1 < 0 \end{cases}$,(0; 0),(1; 0),(0; -2),(0; 2),C,Xét đáp án C ta có: $\begin{cases} 2.0 - 5.(-2) - 1 > 0 \\ 2.0 + (-2) + 5 > 0 \\ 0 + (-2) + 1 < 0 \end{cases}$ đáp án C thoả mãn hệ bất phương trình
Điểm O(0; 0) thuộc miền nghiệm của hệ bất phương trình nào sau đây?,$\boxed{x + 3y - 6 > 0; 2x + y + 4 > 0}$,$\boxed{x + 3y - 6 > 0; 2x + y + 4 < 0}$,$\boxed{x + 3y - 6 < 0; 2x + y + 4 > 0}$,$\boxed{x + 3y - 6 < 0; 2x + y + 4 < 0}$,C,"Thay x = 0, y = 0 vào từng đáp án ta được: Xét đáp án A: $\boxed{0 + 3.0 - 6 < 0; 2.0 + 0 + 4 > 0}$. Vậy điểm O(0 ; 0) không thoả mãn hệ bất phương trình. Đáp án A sai. Xét đáp án B: $\boxed{0 + 3.0 - 6 < 0; 2.0 + 0 + 4 > 0}$. Vậy điểm O(0 ; 0) không thoả mãn hệ bất phương trình. Đáp án B sai. Xét đáp án C: $\boxed{0 + 3.0 - 6 < 0; 2.0 + 0 + 4 > 0}$. Vậy điểm O(0 ; 0) thoả mãn hệ bất phương trình. Đáp án C đúng. Xét đáp án D : $\boxed{0 + 3.0 - 6 < 0; 2.0 + 0 + 4 > 0}$. Vậy điểm O(0 ; 0) không thoả mãn hệ bất phương trình. Đáp án D sai."
Cho hệ bất phương trình $\begin{cases} 2x + 3y - 1 > 0 \\ 5x - y + 4 < 0 \end{cases}$. Hỏi khẳng định nào dưới đây là khẳng định sai?,Điểm A(– 1; 4) thuộc miền nghiệm của hệ bất phương trình đã cho;,Điểm O(0; 0) thuộc miền nghiệm của hệ bất phương trình đã cho;,Điểm C(– 2; 4) thuộc miền nghiệm của hệ bất phương trình đã cho;,Điểm D(– 3; 4) thuộc miền nghiệm của hệ bất phương trình đã cho.,B,Xét đáp án A: Ta thay A(– 1; 4) vào bất phương trình ta có $\begin{cases} 2.(-1) + 3.4 - 1 > 0 \\ 5.(-1) - 4 + 4 < 0 \end{cases}$ thoả mãn hệ bất phương trình. Vậy A(– 1; 4) thuộc miền nghiệm của hệ bất phương trình. Khẳng định A đúng. Xét đáp án B: Ta thay O(0; 0) vào bất phương trình ta có $\begin{cases} 2.0 + 3.0 - 1 < 0 \\ 5.0 - 0 + 4 > 0 \end{cases}$ không thoả mãn hệ bất phương trình. Vậy O(0; 0) không thuộc miền nghiệm của hệ bất phương trình. Khẳng định B sai. Xét đáp án C: Ta thay C(– 2; 4) vào bất phương trình ta có $\begin{cases} 2.(-2) + 3.4 - 1 > 0 \\ 5.(-2) - 4 + 4 < 0 \end{cases}$ thoả mãn hệ bất phương trình. Vậy C(– 2; 4) thuộc miền nghiệm của hệ bất phương trình. Khẳng định C đúng. Xét đáp án D: Ta thay D(– 3; 4) vào bất phương trình ta có $\begin{cases} 2.(-3) + 3.4 - 1 > 0 \\ 5.(-3) - 4 + 4 < 0 \end{cases}$ thoả mãn hệ bất phương trình. Vậy D(– 3; 4) thuộc miền nghiệm của hệ bất phương trình. Khẳng định D đúng.
Phần không bị gạch trong hình vẽ nào trong các hình sau biểu diễn miền nghiệm của hệ bất phương trình $\begin{cases} x + y - 2 < 0 \\ 2x - y + 2 > 0 \end{cases}$,,,,,A,Vẽ đường thẳng d_2: 2x - y + 2 = 0. Ta có đường thẳng đi qua hai điểm (0; 2) và (-1; 0). Xét điểm O(0; 0) thay vào phương trình đường thẳng ta có 2.0 - 0 + 2 > 0 thoả mãn bất phương trình 2x - y + 2 > 0. Vậy điểm O(0; 0) thuộc miền nghiệm của bất phương trình. Vậy miền nghiệm là phần nửa mặt phẳng được chia bởi đường thẳng d_2 và chứa gốc toạ độ O(0; 0). Vẽ đường thẳng d_1: x + y - 2 = 0. Ta có đường thẳng đi qua hai điểm (0; 2) và (2; 0). Xét điểm O(0; 0) thay vào phương trình đường thẳng ta có 0 + 0 - 2 < 0 thoả mãn bất phương trình x + y - 2 < 0. Vậy điểm O(0; 0) thuộc miền nghiệm của bất phương trình. Vậy miền nghiệm là phần nửa mặt phẳng được chia bởi đường thẳng d_1 và chứa gốc toạ độ O(0; 0). Vậy phần không bị gạch trong hình ở đáp án A biểu diễn miền nghiệm của hệ bất phương trình $\begin{cases} x + y - 2 < 0 \\ 2x - y + 2 > 0 \end{cases}$.
"Trong các cặp số sau, cặp số nào không là nghiệm của hệ bất phương trình $\boxed{\begin{array}{l} x + y - 2 \leq 0 \\ 2x - 3y + 2 > 0 \end{array}}$",(0; 0),(1; 1),(-1; 1),(-1; -1),C,Xét đáp án C: Thay (-1; 1) vào hệ bất phương trình ta có $\boxed{\begin{array}{l} -1 + 1 - 2 < 0 \\ 2(-1) - 3(1) + 2 < 0 \end{array}}$ không thoả mãn hệ bất phương trình. Vậy cặp số (-1; 1) không là nghiệm của hệ bất phương trình.
