question,A,B,C,D,answer,reasoning
Ta có: C: x² + (y + 4)² = 4,,x² + (y + 4)² = 4,,,B,"I (0; – 4); R = √4 = 2. a = 0, b = – 4, c = 2. Khi đó ta có nhận xét: a + b = 0 + (– 4) = – 4 = – 2c."
Tọa độ tâm I và bán kính R của đường tròn (C): x² + y² = 16 là:,"I (0; 0), R = 9","I (0; 0), R = 81","I (1; 1), R = 3","I (0; 0), R = 4",D,Ta có: (C): x² + y² = 16 ⇒ I (0; 0); R = √16 = 4.
Tọa độ tâm I và bán kính R của đường tròn (C): x² + y² = 16 là:,"I (– 1; 3), R = 4","I (1; – 3), R = 5","I (1; – 3), R = 16","I (– 1; 3), R = 16",B,"Ta có: (C): x² + y² = 16 ⇒ Tâm I (1; – 3), bán kính R = √25 = 5."
"Tọa độ tâm I và bán kính R của đường tròn (C): x² + y² – 8x + 2y + 6 = 0 có tâm I, bán kính R lần lượt là:","I (3; – 1), R = 4","I (– 3; 1), R = 4","I (4; – 1), R = √11","I (– 3; 1), R = 2",C,"Ta có: (C): x² + y² – 8x + 2y + 6 = 0⇔ x² + y² – 2.4x – 2.(– 1)y + 6 = 0⇒ a = 4; b = – 1 và c = 6⇒ I (4; – 1), R = √11"
"Đường tròn (C): x² + y² – 8x + 2y + 6 = 0 có tâm I, bán kính R lần lượt là:","I (3; – 1), R = 4;",,"I (4; – 1), R = √11;",,C,"Ta có: (C): x² + y² – 8x + 2y + 6 = 0⇔ x² + y² – 2.4x – 2.(– 1)y + 6 = 0⇒ a = 4; b = – 1 và c = 6⇒ I (4; – 1), R = √11."
"Đường tròn có tâm trùng với gốc tọa độ, bán kính R = 1 có phương trình là:",x^2 + y^2 = 1,x^2 + y^2 = 1,x^2 + (y-1)^2 = 1,x^2 + (y+1)^2 = 1,B,x^2 + y^2 = 1
"Đường tròn có tâm I (1; 2), bán kính R = 2 có phương trình là:",x² + y² – 2x – 4y + 1 = 0,x² + y² + 2x – 4y – 4 = 0,x² + y² – 2x + 4y – 4 = 0,x² + y² + 2x – 4y – 4 = 0,A,"Gọi phương trình đường tròn cần tìm có dạng (C): x² + y² + 2ax + 2by + c = 0. Vì (C) đi qua các điểm A, B, C nên lần lượt thay tọa độ các điểm vào phương trình (C) ta được hệ phương trình: ... Vậy phương trình đường tròn (C) là x² + y² – 8x + 4y – 5 = 0 ⇔ (x – 4)² + (y + 2)² = 5²."
Câu 9. Đường tròn (C) có tâm I (– 2; 3) và đi qua M (2; – 3) có phương trình là:,(x+2)² + (y-3)² = 52,(x-2)² + (y+3)² = 52,x² + y² + 4x - 6y - 57 = 0,x² + y² + 4x - 6y - 39 = 0,D,Ta có: Bán kính của đường tròn: R = IM = √(2² + 2²) + √(-3-3)² = √52. Vậy phương trình đường tròn là: (x+2)² + (y-3)² = 52 hay x² + y² + 4x - 6y - 39 = 0.
"Câu 10. Đường tròn đường kính AB với A (3; – 1), B (1; – 5) có phương trình là:",(x + 2)² + (y – 3)² = 5,(x + 1)² + (y + 2)² = 17,(x – 2)² + (y + 3)² = √5,(x – 2)² + (y + 3)² = 5,D,(x – 2)² + (y + 3)² = 5
Phương trình tiếp tuyến d của đường tròn (C): (x + 2)² + (y + 2)² = 9 tại điểm M (2; 1) là:,d: – y + 1 = 0,d: 4x + 3y + 14 = 0,d: 3x – 4y – 2 = 0,d: 4x + 3y – 11 = 0,D,"Đường tròn (C) có tâm I (– 2; – 2) nên tiếp tuyến tại M có VTPT là <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>n</mi><mo>→</mo></mover><mo>=</mo><mover><mrow><mi>I</mi><mi>M</mi></mrow><mo>→</mo></mover><mo>=</mo><mfenced><mrow><mn>4</mn><mo>;</mo><mn>3</mn></mrow></mfenced></math> nên có phương trình là: 4.(x – 2) + 3. (y – 1) = 0<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>⇔</mo></math>4x + 3y –11 = 0."
Phương trình tiếp tuyến d của đường tròn (C): (x + 2)<sup>2</sup> + (y + 2)<sup>2</sup> = 9 tại điểm M (2; 1) là:,d: – y + 1 = 0,d: 4x + 3y + 14 = 0,d: 3x – 4y – 2 = 0,d: 4x + 3y – 11 = 0,D,Đường tròn (C) có tâm I (– 2; – 2) nên tiếp tuyến tại M có VTPT là n→ = IM→ = 4;3 nên có phương trình là: 4.(x – 2) + 3. (y – 1) = 0⇔4x + 3y –11 = 0.
Phương trình tiếp tuyến d của đường tròn (C): x<sup>2</sup> + y<sup>2</sup> – 3x – y = 0 tại điểm N(1; – 1) là:,d: x + 3y – 2 = 0,d: x – 3y + 4 = 0,d: x – 3y – 4 = 0,d: x + 3y + 2 = 0,D,"Xét phương trình (C): x<sup>2</sup> + y<sup>2</sup> – 3x – y = 0 ⇔ <math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mfenced><mrow><mi>x</mi><mo>−</mo><mfrac><mn>3</mn><mn>2</mn></mfrac></mrow></mfenced><mn>2</mn></msup><mo>+</mo><msup><mfenced><mrow><mi>y</mi><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></mrow></mfenced><mn>2</mn></msup><mo>=</mo><mfrac><mn>5</mn><mn>2</mn></mfrac></math>. Khi đó đường tròn (C) có tâm <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>I</mi><mfenced><mrow><mfrac><mn>3</mn><mn>2</mn></mfrac><mo>;</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></mrow></mfenced></math> nên tiếp tuyến tại N có VTPT là: <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>n</mi><mo>→</mo></mover><mo>=</mo><mover><mrow><mi>I</mi><mi>N</mi></mrow><mo>→</mo></mover><mo>=</mo><mfenced><mrow><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>;</mo><mo>−</mo><mfrac><mn>3</mn><mn>2</mn></mfrac></mrow></mfenced><mo>=</mo><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mfenced><mrow><mn>1</mn><mo>;</mo><mn>3</mn></mrow></mfenced><mo>,</mo></math>. Nên có phương trình là: 1(x – 1) +3(y + 1) = 0<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>⇔</mo></math>x + 3y + 2 = 0."
"Viết phương trình tiếp tuyến của đường tròn (C): (x – 3)<sup>2</sup> + (y + 1)<sup>2</sup> = 5, biết tiếp tuyến song song với đường thẳng d: 2x + y + 7 = 0.",2x + y + 1 = 0 hoặc 2x + y – 1 = 0,2x + y = 0 hoặc 2x + y – 10 = 0,2x + y + 10 = 0 hoặc 2x + y – 10 = 0,2x + y = 0 hoặc 2x + y + 10 = 0,B,"Đường tròn (C) có tâm I(3; –1), R = √5 và tiếp tuyến có dạng ∆: 2x + y + c = 0 (c ≠ 7). Ta có: Bán kính của đường tròn <img alt=""15 Bài tập Phương trình đường tròn (có đáp án) | Cánh diều Trắc nghiệm Toán 10"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-5-phuong-trinh-duong-tron-152004.PNG"" style=""box-sizing: border-box; max-width: 100%; vertical-align: middle; border: 0px; display: inline; margin-left: auto; margin-right: auto; padding-bottom: 4px;""/> suy ra:<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>∆</mo></math>:2x + y = 0 hoặc <math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>∆</mo></math>:2x + y – 10 = 0."
"Viết phương trình tiếp tuyến của đường tròn (C): (x – 3)<sup>2</sup> + (y + 1)<sup>2</sup> = 5, biết tiếp tuyến song song với đường thẳng d: 2x + y + 7 = 0.",2x + y + 1 = 0 hoặc 2x + y – 1 = 0,2x + y = 0 hoặc 2x + y – 10 = 0,2x + y + 10 = 0 hoặc 2x + y – 10 = 0,2x + y = 0 hoặc 2x + y + 10 = 0,D,"Xét phương trình đường thẳng d có VTPT là (3; – 4) suy ra VTCP của đường thẳng d là (4; 3). Vì phương trình tiếp tuyến vuông góc với đường thẳng d nên nhận (4; 3) làm VTPT khi đó phương trình tiếp tuyến có dạng: 4x + 3y + c = 0. Ta có: Đường tròn (C) có tâm I(– 2; – 2), R = 5. Bán kính đường tròn: ... Suy ra có hai phương trình tiếp tuyến thỏa mãn: 4x + 3y + 39 = 0 hoặc 4x + 3y –11 = 0."
