question,A,B,C,D,answer,reasoning
,,,,,A,"Mệnh đề chứa biến là “x + 3 > 5”, vì mệnh đề này có chứa chữ cái x và chưa xác định được tính đúng sai. Còn câu “|x| ≥ 0” là một khẳng định đúng với mọi giá trị của x nên là mệnh đề toán học chứ không phải mệnh đề chứa biến."
,,,,,A,"Các phát biểu ở ý B, C, D là mệnh đề chứa biến."
"Trong các câu sau, câu nào là mệnh đề?",15 là số nguyên tố,a + b = c,x^2 + x = 0,2n + 1 chia hết cho 3,A,"Các phát biểu ở ý B, C, D là mệnh đề chứa biến."
Cho mệnh đề P: “Tứ giác ABCD là hình bình hành” và mệnh đề Q: ”Tứ giác ABCD là hình thoi”. Mệnh đề P ⇒ Q được phát biểu là:,Nếu tứ giác ABCD là hình bình hành thì tứ giác ABCD là hình thoi.,Nếu tứ giác ABCD là hình thoi thì tứ giác ABCD là hình bình hành.,Tứ giác ABCD là hình bình hành khi và khi tứ giác ABCD là hình thoi.,Tứ giác ABCD là hình bình hành nếu và chỉ nếu tứ giác ABCD là hình thoi.,A,Mệnh đề kéo theo P ⇒ Q có ý nghĩa là “Nếu P thì Q”. Do đó ta có phát biểu của mệnh đề P⇒ Q là: “Nếu tứ giác ABCD là hình bình hành thì tứ giác ABCD là hình thoi”
"Trong các câu sau, câu nào không phải là mệnh đề toán học?",2 là số nguyên tố,2x + y = −5,− 2 < −5,x^2 ≥ 0,B,“2x + y = −5” là mệnh đề chứa biến vì phải phụ thuộc vào giá trị cụ thể của biến x và y thì mới có thể khẳng định được tính đúng sai của mệnh đề đó.
Cho mệnh đề P: “∆ABC cân tại A ⇔ AB = AC”. Chọn khẳng định đúng nhất trong các khẳng định sau?,“AB = AC” là điều kiện cần để “∆ABC cân tại A”;,“AB = AC” là điều kiện đủ để “∆ABC cân tại A”;,“∆ABC cân tại A” là điều kiện đủ để “AB = AC”;,“∆ABC cân tại A” là điều kiện cần và đủ để “AB = AC”.,D,Mệnh đề P là một mệnh đề tương đương nên ta phát biểu là “∆ABC cân tại A” là điều kiện cần và đủ để “AB = AC”.
Cho mệnh đề P: “∀ x ∈ ℝ: |x| ≥ 0”. Phủ định của mệnh đề P là:,∀ x ∈ ℝ: |x| < 0,∃ x ∈ ℝ: |x| < 0,∃ x ∈ ℝ: |x| ≥ 0,∃ x ∈ ℝ: |x| ≠ 0,B,"Vì phủ định của mệnh đề “∀ x : P(x)” là “∃ x: P(x)”. Do đó, phủ định của mệnh đề P: “∀ x ∈ ℝ: |x| ≥ 0” là mệnh đề P: “∃ x ∈ ℝ: |x| < 0”."
"Trong các mệnh đề tương đương sau đây, mệnh đề nào SAI?",n chia hết cho 10 ⇔ n chia hết cho 2 và 5,Số tự nhiên n chia hết cho 3 ⇔ Tổng các chữ số của số tự nhiên n chia hết cho 3,ABCD là hình chữ nhật ⇔ AC = BD,∆ABC là tam giác đều ⇔ AB = AC và $\angle A = 60^\circ$,C,Vì AC = BD không là điều kiện đủ để ABCD là hình chữ nhật
"Trong các mệnh đề sau, mệnh đề nào có mệnh đề đảo ĐÚNG?",Nếu a và b là các số chẵn thì a + b là số chẵn,Nếu tứ giác ABCD là hình thoi thì AC ⊥ BD,Nếu a chia hết cho 3 thì a chia hết cho 9,Nếu một số có tận cùng bằng 0 thì số đó chia hết cho 5,C,Nếu a chia hết cho 9 thì a chia hết cho 3
Cho mệnh đề: “Nếu một tứ giác là hình thang cân thì tứ giác đó có hai cạnh bên bằng nhau”. Mệnh đề nào sau đây tương đương với mệnh đề đã cho?,Điều kiện cần để tứ giác là hình thang cân là tứ giác đó có hai cạnh bên bằng nhau;,Điều kiện đủ để một tứ giác có hai cạnh bên bằng nhau là tứ giác đó là một hình thang cân;,Điều kiện đủ để tứ giác là hình thang cân là tứ giác đó có hai cạnh bên bằng nhau;,Cả A và B đều đúng.,B,Mệnh đề “P ⇒ Q” còn được phát biểu là “P là điều kiện cần để Q” và “Q là điều kiện đủ để P”.
