question,A,B,C,D,answer,reasoning
Vì G là trọng tâm của ∆ABC nên ta có: xG = (xA + xB + xC)/3 và yG = (yA + yB + yC)/3. Do đó ta được A(1; 4). Vậy ta chọn phương án A.,1+1=1,,,,A,Vì G là trọng tâm của ∆ABC nên ta có: xG = (xA + xB + xC)/3 và yG = (yA + yB + yC)/3. Do đó ta được A(1; 4).
,,,,8;11,D,Ta được u→= AB→+ AC→= 3+5;7+4= 8;11. Vậy ta chọn phương án D.
"Trong mặt phẳng Oxy, cho ba điểm A(1; 5), B(–1; 0) và C(1; 3). M là điểm nằm trên trục Oy sao cho <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>M</mi></mrow><mo>→</mo></mover></math> cùng phương với <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover></math>. Tọa độ của M là:","A. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>M</mi><mfenced><mrow><mn>0</mn><mo>;</mo><mfrac><mn>13</mn><mn>3</mn></mfrac></mrow></mfenced></math>","B. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>M</mi><mfenced><mrow><mn>0</mn><mo>;</mo><mfrac><mn>17</mn><mn>3</mn></mfrac></mrow></mfenced></math>","C. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>M</mi><mfenced><mrow><mn>0</mn><mo>;</mo><mo>−</mo><mfrac><mn>7</mn><mn>2</mn></mfrac></mrow></mfenced></math>","D. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>M</mi><mfenced><mrow><mn>0</mn><mo>;</mo><mfrac><mn>7</mn><mn>2</mn></mfrac></mrow></mfenced></math>",D,"Theo đề, ta có <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>M</mi></mrow><mo>→</mo></mover></math> cùng phương với <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>B</mi><mi>C</mi></mrow><mo>→</mo></mover></math>. ⇔ –3 – 2y + 10 = 0 ⇔ –2y + 7 = 0 ⇔ y = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>7</mn><mn>2</mn></mfrac></math>. Vậy M(0; 7/2)."
"Trong mặt phẳng Oxy, cho hai điểm A(1; 2) và B(–2; 3). Gọi B’ là điểm đối xứng của B qua A. Tọa độ điểm B’ là:",B’(4; 1),,,,A,"Vì B’ là điểm đối xứng của B qua A nên ta có A là trung điểm của BB’. Suy ra 2x_A = x_B + x_B’ và 2y_A = y_B + y_B’. Từ đó, ta có x_B’ = 4 và y_B’ = 1. Do đó, B’(4; 1)."
Cho u→ = 4;5 và v→ = 3;a. Tìm a để u→ ⊥ v→.,a = 5/12,a = -12/5,a = 12/5,a = -5/12,B,Ta có u→ ⊥ v→ ⇔ 4.3 + 5.a = 0 ⇔ 12 + 5a = 0 ⇔ 5a = -12 ⇔ a = -12/5. Vậy ta chọn phương án B.
"Trong mặt phẳng Oxy, cho <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>a</mi><mo>→</mo></mover><mo>=</mo><mn>3</mn><mover><mi>i</mi><mo>→</mo></mover><mo>+</mo><mn>6</mn><mover><mi>j</mi><mo>→</mo></mover></math> và <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>b</mi><mo>→</mo></mover><mo>=</mo><mn>8</mn><mover><mi>i</mi><mo>→</mo></mover><mo>−</mo><mn>4</mn><mover><mi>j</mi><mo>→</mo></mover></math>. Kết luận nào sau đây <strong style=""box-sizing: border-box; font-weight: bold;"">sai</strong>?","A. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>a</mi><mo>→</mo></mover><mo>.</mo><mover><mi>b</mi><mo>→</mo></mover><mo>=</mo><mn>0</mn></math>","B. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>a</mi><mo>→</mo></mover><mo>⊥</mo><mover><mi>b</mi><mo>→</mo></mover></math>","C. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mover><mi>a</mi><mo>→</mo></mover></mfenced><mo>.</mo><mfenced><mover><mi>b</mi><mo>→</mo></mover></mfenced><mo>=</mo><mn>0</mn></math>","D. <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mover><mi>a</mi><mo>→</mo></mover><mo>.</mo><mover><mi>b</mi><mo>→</mo></mover></mrow></mfenced><mo>=</mo><mn>0</mn></math>",C,"Ta có <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>a</mi><mo>→</mo></mover><mo>.</mo><mover><mi>b</mi><mo>→</mo></mover><mo>=</mo><mn>0</mn><mo>⇔</mo><mover><mi>a</mi><mo>→</mo></mover><mo>⊥</mo><mover><mi>b</mi><mo>→</mo></mover></math>"
"Trong mặt phẳng Oxy, cho a→ = -5;0, b→ = 4;x. Tìm x để a→ và b→ cùng phương.",x = –5,x = 4,x = 0,x = –1,A,Từ a→ = 1;2 suy ra 2a→ = 2.1;2.2 = 2;4. Ta có 2a→ - y→ = b→ ⇔ y→ = 2a→ - b→ = 2 - (-1);4 - 3 = 3;1. Vậy ta chọn phương án A.
"Trong mặt phẳng Oxy, cho ba điểm A(–1; 1), B(1; 3), C(5; 2). Tọa độ điểm D là đỉnh thứ tư của hình bình hành ABCD là:",A. (3; –2),B. (5; 0),C. (3; 0),D. (5; –2),C,"+) A→B = (1; 2) 
+) D→C = (3; 0) 
Tứ giác ABCD là hình bình hành ⇔ A→B = D→C 
⇔ 2 = 5 - xD 
⇔ 2 = 2 - yD 
⇔ xD = 3 
⇔ yD = 0 
Ta suy ra tọa độ D(3; 0). 
Vậy ta chọn phương án C."
"Trong mặt phẳng Oxy, cho hai điểm A(1; 2) và B(–1; 5). Tìm m để điểm C(2; m) thuộc đường thẳng AB.",m = 1,m = 1/2,m = -1/2,m = 2,B,"Theo đề, ta có điểm C(2; m) thuộc đường thẳng AB. Tức là A→, AC→ cùng phương ⇔ –2.(m – 2) – 1.3 = 0 ⇔ –2m + 1 = 0 ⇔ –2m = –1 ⇔ m = 1/2. Vậy ta chọn phương án B."
Cho hai điểm A(6; –1) và B(x; 9). Giá trị của x để khoảng cách giữa A và B bằng 5√5 là:,x ∈ ∅;,x = 1;,x = 11;,x = 11 hoặc x = 1.,D,Ta có AB = √((x-6)^2 + (9+1)^2) = 5√5. Suy ra AB = √(x^2 - 12x + 36 + 100) = 125. ⇔ x^2 - 12x + 11 = 0. ⇔ x = 11 hoặc x = 1. Vậy ta chọn phương án D.
