question,A,B,C,D,answer,reasoning
Hai đường thẳng cắt nhau nhưng không vuông góc.,,,,,D,Hai đường thẳng có vectơ pháp tuyến khác nhau và không vuông góc với nhau nên cắt nhau nhưng không vuông góc.
Hiển thị đáp án,,,"Hai vectơ pháp tuyến của hai đường thẳng vuông góc với nhau, suy ra hai đường thẳng vuông góc với nhau.",,C,"Hai vectơ pháp tuyến của hai đường thẳng vuông góc với nhau, suy ra hai đường thẳng vuông góc với nhau."
Tìm m để hai đường thẳng d1 và d2 vuông góc với nhau:,m = −2 + √2,m = −2 − √2,m = 2,không tồn tại m,D,"Để hai đường thẳng d1 và d2 vuông góc với nhau thì vectơ pháp tuyến của chúng không cùng phương và có tích vô hướng bằng 0. Từ đó ta có hệ phương trình sau:

(1) m ≠ 2
(2) m ≠ −2
(3) m ≠ 2 + √2
(4) m ≠ 2 − √2

Lời giải: Ta có vectơ pháp tuyến của đường thẳng d1 là u1 = (m; −2) và vectơ pháp tuyến của đường thẳng d2 là u2 = (−2; 4 + m). Để hai đường thẳng d1 và d2 vuông góc với nhau thì u1 và u2 không cùng phương và u1 . u2 = 0. Từ đó ta có hệ phương trình sau:

(1) m ≠ 2
(2) m ≠ −2
(3) m ≠ 2 + √2
(4) m ≠ 2 − √2

Vậy không tồn tại m thỏa mãn yêu cầu bài toán."
Tìm m để hai đường thẳng d1 và d2 vuông góc với nhau:,m = -2 + √2,m = -2 - √2,m = 2,không tồn tại m,D,Vậy không tồn tại m thỏa mãn yêu cầu bài toán.
Tính góc tạo bởi giữa hai đường thẳng: d1: 2x – y – 3 = 0 và d2: x – 3y + 8 = 0,A. 30o,B. 45o,,,B,"Áp dụng công thức góc giữa hai đường thẳng, ta có: \overrightarrow{n_1} \cdot \overrightarrow{n_2} = \frac{2(-3) - 1(-8)}{\sqrt{2^2 + 1^2} \cdot \sqrt{1^2 + (-3)^2}} = \frac{-6 + 8}{\sqrt{5} \cdot \sqrt{10}} = \frac{2}{\sqrt{50}} = \frac{2}{5\sqrt{2}} = \frac{2\sqrt{2}}{10} = \frac{\sqrt{2}}{5}. Vì \overrightarrow{n_1} \cdot \overrightarrow{n_2} = \frac{\sqrt{2}}{5} > 0 nên hai đường thẳng d1 và d2 song song."
Tính góc tạo bởi giữa hai đường thẳng: 2x – y – 3 = 0 và x – 3y + 8 = 0,30°,45°,60°,135°,B,Áp dụng công thức góc giữa hai đường thẳng: 2(196 – 420m + 225m^2) = 58(4 + 25m^2) => 392 – 840m + 450m^2 = 232 + 1450m^2 => 1000m^2 + 840m – 160 = 0 => m = 4/25 hoặc m = – 1. Giá trị âm của m thỏa mãn điều kiện bài toán là m = – 1.
Tìm giá trị âm của m để góc tạo bởi giữa hai đường thẳng 7x – 3y + 2 = 0 và 2x + 5my +1 = 0 bằng 45°.,-1,4/25,-4/25,1,A,Ta có: 2(196 – 420m + 225m^2) = 58(4 + 25m^2) => 392 – 840m + 450m^2 = 232 + 1450m^2 => 1000m^2 + 840m – 160 = 0 => m = 4/25 hoặc m = – 1. Vậy giá trị âm của m thỏa mãn điều kiện bài toán là m = – 1.
"Tính góc tạo bởi giữa hai đường thẳng: <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>d</mi><mn>1</mn></msub><mo>:</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>2</mn><msqrt><mn>3</mn></msqrt><mi>y</mi><mo>+</mo><mn>4</mn><mo>=</mo><mn>0</mn></math> và <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>d</mi><mn>2</mn></msub></math>: y – 4 = 0",30,45,60,90,C,Áp dụng công thức góc giữa hai đường thẳng ta có: \begin{align*} \cos\alpha = \frac{\mathbf{n_1} \cdot \mathbf{n_2}}{\|\mathbf{n_1}\| \|\mathbf{n_2}\|} \\ \Rightarrow \cos\alpha = \frac{\frac{1}{2}}{\sqrt{\frac{1}{4} + 1}} = \frac{1}{2} \\ \Rightarrow \alpha = \arccos\left(\frac{1}{2}\right) = 60^\circ \end{align*}
Góc tạo bởi hai đường thẳng nào dưới đây bằng 90°,d<sub>1</sub>: 6x – 5y + 4 = 0 và , và d<sub>2</sub>: 3x + 2y – 4 = 0.,,,A,Áp dụng công thức góc giữa hai đường thẳng ta có: (d<sub>1</sub> ; d<sub>2</sub>) ≈ 0°. Do đó hai đường thẳng d<sub>1</sub> song song hoặc trùng d<sub>2</sub>. Do đó góc giữa hai đường thẳng bằng 0°.
Góc tạo bởi hai đường thẳng nào dưới đây bằng 90°,d1: 6x – 5y + 4 = 0 và ,,d1: x – 2y + 4 = 0 và d2: y + 1 = 0,,C,Áp dụng công thức tính góc giữa hai đường thẳng ta được: (d1 ; d2) ≈ 26°34’.
Khoảng cách từ điểm M( –1; 1) đến đường thẳng ∆: 3x – 4y – 3 = 0 bằng:,A. \frac{2}{5},B. 2,C. \frac{4}{5},D. \frac{4}{25},B,Áp dụng công thức tính khoảng cách từ một điểm đến đường thẳng ta có: \frac{|3(-1) - 4(1) - 3|}{\sqrt{3^2 + (-4)^2}} = \frac{|-3 - 4 - 3|}{\sqrt{9 + 16}} = \frac{|-10|}{\sqrt{25}} = \frac{10}{5} = 2
