question,A,B,C,D,answer,reasoning
,,,,,D,Phương án D: “Việt Nam là một nước thuộc châu Á.” là một mệnh đề (mệnh đề đúng).
"Các câu hỏi trắc nghiệm Toán lớp 10 sách Chân trời sáng tạo có đáp án, chọn lọc khác:",,,,,C,"Mệnh đề P \û Q được phát biểu bằng một trong ba cách sau: P khi và chỉ khi Q. Do đó phương án A đúng. P tương đương Q. Do đó phương án B đúng. P là điều kiện cần và đủ để có Q (hay Q là điều kiện cần và đủ để có P). Do đó phương án D đúng, phương án C sai. Vậy ta chọn phương án C."
Cho hai mệnh đề P và Q. Phát biểu mệnh đề P ∨ Q nào sau đây sai?,P khi và chỉ khi Q;,P tương đương Q;,P là điều kiện cần để có Q;,P là điều kiện cần và đủ để có Q.,C,"Mệnh đề P ∨ Q được phát biểu bằng một trong ba cách sau: P khi và chỉ khi Q. Do đó phương án A đúng. P tương đương Q. Do đó phương án B đúng. P là điều kiện cần và đủ để có Q (hay Q là điều kiện cần và đủ để có P). Do đó phương án D đúng, phương án C sai. Vậy ta chọn phương án C."
Cho các phát biểu sau: (I) Mệnh đề P và mệnh đề phủ định của nó có tính đúng sai trái ngược nhau; (II) Khi P đúng thì ¬P sai; (III) Khi P sai thì ¬P sai. Số các phát biểu đúng là:,0,1,2,3,C,"Phát biểu (I) đúng. Vì phát biểu (I) đúng nên ta có khi P đúng thì ¬P sai và khi P sai thì ¬P đúng. Do đó phát biểu (II) đúng, phát biểu (III) sai. Vậy có 2 phát biểu đúng là (I), (II). Do đó ta chọn phương án C."
Cho hai tập hợp M và N. Hình nào sau đây minh họa M là tập con của N?,,,,,C,"Theo đề, ta có quan hệ bao hàm: M là tập con của N hay M \subset N. Nên khi vẽ biểu đồ Ven, ta sẽ vẽ đường cong kín biểu diễn tập hợp M nằm gọn trong đường cong kín biểu diễn tập hợp N. Ta thấy chỉ có biểu đồ ở phương án C thỏa mãn yêu cầu. Do đó ta chọn phương án C."
Cho tập hợp A = {x ∈ ℝ | –3 < x < 1}. Tập A là tập nào sau đây?,A. \{–3; 1\};,B. [–3; 1];,C. [–3; 1);,D. (–3; 1).,D,"Ta thấy A là một tập con của tập số thực ℝ. Do đó ta có thể dùng kí hiệu đoạn, khoảng, nửa khoảng để biểu diễn tập hợp A. Ta thấy tập hợp A có dạng: {x ∈ ℝ | a < x < b}, với a = –3; b = 1. Do đó ta có thể sử dụng kí hiệu khoảng (a; b) để biểu diễn tập hợp A. Vậy ta có biểu diễn tập hợp A như sau: A = (–3; 1)."
Hình vẽ nào sau đây (phần không bị gạch) minh họa cho tập hợp (1; 4]?,,,,,A,"Tập hợp (1; 4] là tập hợp gồm các số thực sao cho 1 < x ≤ 4. Tập hợp (1; 4] có dạng nửa khoảng (a; b], với a = 1, b = 4. Do đó khi biểu diễn tập hợp (1; 4] trên trục số, ta thu được hình vẽ:"
Cho A = {1; 2; 4; 5} và B = {–2; –1; 0; 1; 2}. Khi đó A \ B là tập hợp:,1; 2,–2; –1; 0; 1; 2; 4; 5,4; 5,–2; –1; 0,C,"A \ B là hiệu của tập hợp A và tập hợp B, gồm những phần tử thuộc A nhưng không thuộc B. Vậy A \ B = {4; 5}."
"Cho tập hợp X = {1; 5}, Y = {1; 3; 5}. Tập X \cap Y là tập hợp nào sau đây?",1,1; 3,1; 3; 5,1; 5,D,"Tập X \cap Y là tập hợp gồm các phần tử vừa thuộc tập X, vừa thuộc tập Y. Ta thấy 1; 5 là hai phần tử vừa thuộc tập X, vừa thuộc tập Y. Do đó tập X \cap Y = {1; 5}."
"Cho tập hợp P = {a; b; d}, Q = {a; b; c}. Tập P \cup Q là tập hợp nào sau đây?",A. {a; b; c; d};,B. {a; b};,C. {c};,D. {a; b; c; d; e}.,A,"Tập P \cup Q bao gồm các phần tử hoặc thuộc P, hoặc thuộc Q. Các phần tử hoặc thuộc P, hoặc thuộc Q là: a; b; d; c. Do đó tập P \cup Q = {a; b; c; d}."
"Cho hai tập hợp U = {1; 2; 3; 4}, V = {1; 2}. Tập C_{U}V là tập hợp nào sau đây?",A. {1; 2},B. {1; 2; 3; 4},C. {3; 4},D. ∅,C,"Với U = {1; 2; 3; 4}, V = {1; 2} ta thấy V ⊂ U. Tập C_{U}V bao gồm các phần tử thuộc U nhưng không thuộc V. Các phần tử thuộc U nhưng không thuộc V là: 3; 4. Do đó C_{U}V = {3; 4}."
