question,A,B,C,D,answer,reasoning
Tam thức bậc hai có dạng nào?,f(x) = ax^2 + bx,f(x) = ax^2 + bx + c,f(x) = ax + bx^2 + c,f(x) = ax^2 - bx + c,B,Ta thấy chỉ có đa thức ở phương án B có dạng f(x) = ax^2 + bx + c với a ≠ 0.
"Các câu hỏi trắc nghiệm Toán lớp 10 sách Chân trời sáng tạo có đáp án, chọn lọc khác:",,,,,D,"Tam thức bậc hai f(x) = –x^2 – 4x – 6 có dạng f(x) = ax^2 + bx + c, với a = –1, b = –4, c = –6. Biệt thức của f(x): ∆ = b^2 – 4ac = (–4)^2 – 4.(–1).(–6) = –8. Biệt thức thu gọn của f(x): ∆’ = –2. Vậy ∆ = –8 và ∆’ = –2. Do đó ta chọn phương án D."
Biệt thức và biệt thức thu gọn của tam thức bậc hai f(x) = –x^2 – 4x – 6 lần lượt là:,-2 và -8,-8 và -2,8 và 2,-8 và -2,D,"Tam thức bậc hai f(x) = –x^2 – 4x – 6 có dạng f(x) = ax^2 + bx + c, với a = –1, b = –4, c = –6. Biệt thức của f(x): ∆ = b^2 – 4ac = (–4)^2 – 4.(–1).(–6) = –8. Biệt thức thu gọn của f(x): ∆’ = –2. Vậy ∆ = –8 và ∆’ = –2."
Nghiệm của tam thức bậc hai f(x) = –2x^{2} + 4x – 2 là:,x = 1;,x = 1 hoặc x = –1;,x = –1;,f(x) vô nghiệm.,A,Tam thức bậc hai f(x) = –2x^{2} + 4x – 2 có ∆ = 4^{2} – 4.(–2).(–2) = 0. Do đó f(x) có nghiệm kép x = 1.
Cho f(x) = (3m – 2)x^2 – 2(3m – 2)x + 3(2m + 1). Đa thức f(x) là tam thức bậc hai khi và chỉ khi:,m < \frac{2}{3},m \neq \frac{2}{3},m > \frac{2}{3},m = \frac{2}{3},B,"Ta có đa thức f(x) = (3m – 2)x^2 – 2(3m – 2)x + 3(2m + 1) là tam thức bậc hai khi và chỉ khi a ≠ 0. Nghĩa là, 3m – 2 ≠ 0. Suy ra m ≠ \frac{2}{3}."
"Cho tam thức f(x) = ax^2 + bx + c (a ≠ 0), có ∆ = b^2 – 4ac. Ta có f(x) ≤ 0, ∀x ∈ ℝ khi và chỉ khi:",a < 0 và ∆ ≤ 0;,a ≤ 0 và ∆ < 0;,a < 0 và ∆ ≥ 0;,a > 0 và ∆ ≤ 0;,A,"Ta có f(x) ≤ 0, ∀x ∈ ℝ khi và chỉ khi a < 0 và ∆ ≤ 0."
"Cho f(x) = ax^{2} + bx + c (a ≠ 0) và ∆ = b^{2} – 4ac. Khi f(x) luôn cùng dấu với hệ số a, với mọi x ∈ ℝ thì:",∆ < 0;,∆ = 0;,∆ > 0;,∆ ≥ 0.,A,f(x) cùng dấu với hệ số a với mọi giá trị của x khi ∆ < 0.
Cho tam thức bậc hai f(x) = ax^2 + bx + c (a ≠ 0). Khẳng định nào sau đây đúng?,"Nếu ∆ > 0 thì f(x) luôn cùng dấu với hệ số a, ∀x ∈ ℝ;","Nếu ∆ < 0 thì f(x) luôn trái dấu với hệ số a, ∀x ∈ ℝ;","Nếu ∆ = 0 thì f(x) luôn cùng dấu với hệ số a, ∀x ∈ ℝ \ {-b/2a};","Nếu ∆ < 0 thì f(x) luôn cùng dấu với hệ số b, ∀x ∈ ℝ.",C,"Cho tam thức bậc hai f(x) = ax^2 + bx + c (a ≠ 0), ta có: • Nếu ∆ < 0 thì f(x) cùng dấu với a với mọi giá trị x. • Nếu ∆ = 0 và x0 = -b/2a là nghiệm kép của f(x) thì f(x) cùng dấu với a với mọi x ≠ x0. • Nếu ∆ > 0 và x1, x2 là hai nghiệm của f(x) (x1 < x2) thì f(x) trái dấu với a với mọi x trong khoảng (x1; x2); f(x) cùng dấu với a với mọi x thuộc hai khoảng (–∞; x1); (x2; +∞)."
Cho tam thức bậc hai f(x) = x^2 – 10x + 2. Kết luận nào sau đây đúng?,f(–2) < 0;,f(1) > 0;,f(–2) > 0;,f(1) = 0.,C,f(1) = 1^2 – 10.1 + 2 = –7 < 0. f(–2) = (–2)^2 – 10.(–2) + 2 = 26 > 0.
Cho tam thức bậc hai f(x) = x^2 – 8x + 16. Khẳng định nào sau đây đúng?,A. Phương trình f(x) = 0 vô nghiệm;,"B. f(x) > 0, ∀x ∈ ℝ;","C. f(x) ≥ 0, ∀x ∈ ℝ;",D. f(x) < 0 khi x < 4.,C,"Tam thức bậc hai f(x) = x^2 – 8x + 16 có ∆ = (–8)^2 – 4.1.16 = 0. Do đó f(x) có nghiệm kép x = -(-8)/2.1 = 4. Khi đó phương án A sai. Ta có a = 1 > 0. Vì vậy f(x) > 0 với mọi x ≠ 4 hay f(x) ≥ 0, với mọi x ∈ ℝ. Do đó phương án B và D sai; phương án C đúng."
