question,A,B,C,D,answer,reasoning
,,,,,B,M N → + P Q → + R N → + N P → + Q R → = M N → + N P → + P Q → + Q R → + R N → . = M P → + P R → + R N → = M R → + R N → = M N → .
Xem thêm bài tập trắc nghiệm Toán lớp 10 Chân trời sáng tạo có đáp án hay khác:,,,,,A,\overrightarrow{AB} + \overrightarrow{BC} = \overrightarrow{AC}. Vì tam giác ABC đều có độ dài cạnh bằng a nên ta có AC = a. Độ dài \overrightarrow{AB} + \overrightarrow{BC} là: \left|\overrightarrow{AB} + \overrightarrow{BC}\right| = \left|\overrightarrow{AC}\right| = AC = a.
Cho tam giác ABC đều có độ dài cạnh bằng a. Độ dài \overrightarrow{AB} + \overrightarrow{BC} bằng,a,2a,\sqrt{3}a,\frac{\sqrt{3}a}{2},A,\overrightarrow{AB} + \overrightarrow{BC} = \overrightarrow{AC} = a
"Cho 6 điểm phân biệt A, B, C, D, E, F. Đẳng thức nào sau đây đúng?",\overrightarrow{AB} + \overrightarrow{CD} + \overrightarrow{FA} + \overrightarrow{BC} + \overrightarrow{EF} + \overrightarrow{DE} = 0,\overrightarrow{AB} + \overrightarrow{CD} + \overrightarrow{FA} + \overrightarrow{BC} + \overrightarrow{EF} + \overrightarrow{DE} = \overrightarrow{AF},\overrightarrow{AB} + \overrightarrow{CD} + \overrightarrow{FA} + \overrightarrow{BC} + \overrightarrow{EF} + \overrightarrow{DE} = \overrightarrow{AE},\overrightarrow{AB} + \overrightarrow{CD} + \overrightarrow{FA} + \overrightarrow{BC} + \overrightarrow{EF} + \overrightarrow{DE} = \overrightarrow{AD},A,Ta có \overrightarrow{AB} + \overrightarrow{CD} + \overrightarrow{FA} + \overrightarrow{BC} + \overrightarrow{EF} + \overrightarrow{DE} = \overrightarrow{FB} + \overrightarrow{BD} + \overrightarrow{DF} = \overrightarrow{FF} = 0
Cho hình bình hành ABCD tâm O. Kết quả nào sau đây đúng?,\vec{AB} = \vec{OA} - \vec{OB} = \vec{OA} + \vec{OD},\vec{CO} - \vec{OB} = \vec{BA},\vec{AB} - \vec{AD} = \vec{AC},\vec{AO} + \vec{OD} = \vec{CB},B,Ta xét từng đáp án: Đáp án A sai. Đáp án B đúng. Đáp án C sai. Đáp án D sai.
"Cho tam giác ABC, với M là trung điểm BC. Mệnh đề nào sau đây là đúng?",\overrightarrow{AM} + \overrightarrow{MB} + \overrightarrow{BA} = 0,\overrightarrow{MA} + \overrightarrow{MB} = \overrightarrow{AB},\overrightarrow{MA} + \overrightarrow{MB} = \overrightarrow{MC},\overrightarrow{AB} + \overrightarrow{AC} = \overrightarrow{AD},A,"Ta xét từng đáp án: Đáp án A: \overrightarrow{AM} + \overrightarrow{MB} + \overrightarrow{BA} = 0 ⇒ chọn A. Đáp án B, C: Vì M là trung điểm BC nên ta có \overrightarrow{MA} + \overrightarrow{MB} = \overrightarrow{0} ⇒ loại đáp án B, C. Đáp án D: Theo quy tắc hình bình hành, ta có: \overrightarrow{AB} + \overrightarrow{AC} = \overrightarrow{AD}, với D là điểm thỏa mãn tứ giác ABDC là hình bình hành. Mà M là trung điểm BC nên M không thể trùng với D ⇒ loại đáp án D. Vậy ta chọn đáp án A."
"Cho tam giác ABC vuông tại A có AB = 3, BC = 5. Tính \overrightarrow{AB} + \overrightarrow{BC}.",3,4,5,6,B,"Theo quy tắc ba điểm, ta có: \overrightarrow{AB} + \overrightarrow{BC} = \overrightarrow{AC}. Tam giác ABC vuông tại A: AC^2 = BC^2 – AB^2 (Định lý Pytago). Vậy ta chọn đáp án B."
"Cho ba điểm phân biệt A, B, C. Khẳng định nào sau đây đúng?",\overrightarrow{CA} - \overrightarrow{BA} = \overrightarrow{BC};,\overrightarrow{AB} + \overrightarrow{AC} = \overrightarrow{BC};,\overrightarrow{AB} + \overrightarrow{CA} = \overrightarrow{CB};,\overrightarrow{AB} - \overrightarrow{BC} = \overrightarrow{CA};,C,\overrightarrow{AB} + \overrightarrow{CA} = \overrightarrow{CB}
Cho tam giác ABC và điểm M thỏa mãn \overrightarrow{MA} + \overrightarrow{MB} + \overrightarrow{MC} = \overrightarrow{0}. Xác định vị trí điểm M.,M là điểm thứ tư của hình bình hành ACBM;,M là trung điểm của đoạn thẳng AB;,Điểm M trùng với điểm C;,M là trọng tâm của tam giác ABC.,D,Điểm G là trọng tâm của tam giác ABC khi và chỉ khi \overrightarrow{GA} + \overrightarrow{GB} + \overrightarrow{GC} = \overrightarrow{0}. Do đó ta chọn đáp án D.
"Cho hình bình hành ABCD. Hai điểm M, N lần lượt là trung điểm của BC và AD. Tìm đẳng thức sai.",\overrightarrow{AM} + \overrightarrow{AN} = \overrightarrow{AC},\overrightarrow{AM} + \overrightarrow{AN} = \overrightarrow{AB} + \overrightarrow{AD},\overrightarrow{AM} = \overrightarrow{NC} và \overrightarrow{AN} = \overrightarrow{MC},\overrightarrow{AM} + \overrightarrow{AN} = \overrightarrow{DB},D,\overrightarrow{AM} + \overrightarrow{AN} ≠ \overrightarrow{DB}
Điều kiện nào dưới đây là điều kiện cần và đủ để điểm O là trung điểm của đoạn AB?,OA = OB;,\overrightarrow{OA} = \overrightarrow{OB};,\overrightarrow{AO} = \overrightarrow{BO};,\overrightarrow{OA} + \overrightarrow{OB} = \overrightarrow{0};,D,Điểm M là trung điểm của đoạn thẳng AB khi và chỉ khi \overrightarrow{MA} + \overrightarrow{MB} = \overrightarrow{0}.
"Cho 4 điểm A, B, C, D phân biệt. Khi đó \overrightarrow{AB} - \overrightarrow{DC} + \overrightarrow{BC} - \overrightarrow{AD} bằng",0,\overrightarrow{BD},\overrightarrow{AC},\overrightarrow{DC},A,\overrightarrow{AB} - \overrightarrow{DC} + \overrightarrow{BC} - \overrightarrow{AD} = \overrightarrow{AC} - \overrightarrow{AC} = \overrightarrow{0}
Cho hình bình hành ABCD. Đẳng thức nào sau đây đúng?,\overrightarrow{AB} + \overrightarrow{AD} = \overrightarrow{CA},\overrightarrow{AB} + \overrightarrow{BC} = \overrightarrow{AC},\overrightarrow{BC} + \overrightarrow{BA} = \overrightarrow{BD},\overrightarrow{BC} + \overrightarrow{BA} = \overrightarrow{BD},D,Vì ABCD là hình bình hành nên ta có \overrightarrow{AB} + \overrightarrow{AD} = \overrightarrow{AC}. Ta có \overrightarrow{AB} - \overrightarrow{DA} = \overrightarrow{AC}. Suy ra \overrightarrow{AB} - \overrightarrow{DA} = a\sqrt{2}.
