question,A,B,C,D,answer,reasoning
Bất phương trình nào sau đây là bất phương trình bậc nhất hai ẩn?,2x + y ≤ 0,x² + 2 > 0,3,1 + y < 0,C,"Bất phương trình 2x + y ≤ 0 là bất phương trình bậc nhất hai ẩn dạng ax + by + c ≤ 0 với a = 2, b = 1, c = 0. Bất phương trình 2x + 1 > 0 là bất phương trình bậc nhất hai ẩn dạng ax + by + c > 0 với a = 2, b = 0, c = 1. Bất phương trình 1 + y < 0 là bất phương trình bậc nhất hai ẩn dạng ax + by + c < 0 với a = 0, b = 1, c = 1. Do đó có 3 bất phương trình bậc nhất hai ẩn. Vậy ta chọn phương án C."
"Các câu hỏi trắc nghiệm Toán lớp 10 sách Chân trời sáng tạo có đáp án, chọn lọc khác:",,,,,B,-5 - 4.0 + 5 = 0 nên (-5; 0) là một nghiệm của bất phương trình đã cho. -2 - 4.1 + 5 = -1 < 0 nên (-2; 1) không là nghiệm của bất phương trình đã cho. 0 - 4.0 + 5 > 0 nên (0; 0) là một nghiệm của bất phương trình đã cho. 0 - 4.(-3) + 5 = 17 > 0 nên (1; -3) là một nghiệm của bất phương trình đã cho.
"Trong các cặp số sau, cặp số nào không là nghiệm của bất phương trình $x – 4y + 5 \ge 0$?",(-5; 0);,(-2; 1);,(0; 0);,(1; –3);,B,-2 – 4.1 + 5 = –1 < 0 nên (-2; 1) không là nghiệm của bất phương trình đã cho.
Cho bất phương trình x + y – 1 ≤ 0. Chọn khẳng định đúng trong các khẳng định sau:,Bất phương trình đã cho chỉ có một nghiệm duy nhất;,Bất phương trình đã cho vô nghiệm;,Bất phương trình đã cho luôn có vô số nghiệm;,Bất phương trình đã cho có tập nghiệm là ℝ.,C,"Trên mặt phẳng Oxy, đường thẳng (d): x + y – 1 = 0 chia mặt phẳng Oxy thành hai nửa mặt phẳng. Ta thấy O(0;0) ∉ (d) và 1 + 0 – 1 = –1 ≤ 0 nên (0; 0) là nghiệm của bất phương trình đã cho. Do đó miền nghiệm của bất phương trình là nửa mặt phẳng bờ (d) (kể cả bờ (d)) chứa điểm O(0;0). Xét cặp số (10; 0) ta có: 10 + 0 – 1 = 9 > 0 nên cặp số (10; 0) không là nghiệm của bất phương trình đã cho. Vậy bất phương trình đã cho luôn có vô số nghiệm nhưng không phải là ℝ. Ta chọn phương án C."
Hệ bất phương trình {\begin{array}{l} x > 0 \\ x + \sqrt{3}y + 1 > 0 \end{array}} có miền nghiệm không chứa điểm nào sau đây?,A(–1; 2);,B(\sqrt{2}; 0);,C (1; \sqrt{3});,D(\sqrt{3}; 0);,A,Hệ bất phương trình có bất phương trình x > 0. Mà điểm A(–1; 2) có x = –1 < 0 nên miền nghiệm của hệ bất phương trình không chứa điểm A(–1; 2).
"Cho hệ bất phương trình {x - y > 0, x - 3y + 3 < 0, x + y - 5 > 0}. Điểm nào sau đây thuộc miền nghiệm của hệ bất phương trình đã cho:",A. A(–2; 2);,B. B(5; 3);,C. C(1; –1);,D. O(0; 0).,B,Xét từng phương án. Xét điểm A(–2; 2): không thỏa mãn đồng thời ba bất phương trình của hệ đã cho. Xét điểm B(5; 3): thỏa mãn đồng thời ba bất phương trình của hệ đã cho. Xét điểm C(1; –1): không thỏa mãn đồng thời ba bất phương trình của hệ đã cho. Xét điểm O(0; 0): không thỏa mãn đồng thời ba bất phương trình của hệ đã cho. Vậy điểm B(5; 3) thuộc miền nghiệm của hệ bất phương trình đã cho.
Điểm O(0; 0) thuộc miền nghiệm của hệ bất phương trình nào sau đây?,\{x+3y-6<0; 2x+y+4<0\},\{x+3y-6>0; 2x+y+4>0\},\{x+3y-6>0; 2x+y+4<0\},\{x+3y-6<0; 2x+y+4>0\},D,0+3.0-6=-6<0; 2.0+0+4=4>0
Cho hệ bất phương trình {\begin{array}{l} x > 0 \\ 2x - \frac{3}{2}y - 1 \geq 0 \\ 4x - 3y - 2 \leq 0 \end{array}}. Khẳng định nào sau đây là sai?,2,2x - \frac{3}{2}y - 1 = 0;,4x - 3y - 2 = 0;,Miền nghiệm của hệ bất phương trình là miền chứa gốc toạ độ.,D,Xét điểm O(0; 0) ta có hoành độ của điểm O không thỏa mãn x > 0 nên miền nghiệm của hệ bất phương trình là miền không chứa gốc toạ độ.
Miền nghiệm của bất phương trình 4(x – 1) + 5(y – 3) > 2x – 9 là nửa mặt phẳng chứa điểm:,0; 0,1; 1,–1; 1,2; 5,D,2x + 5y – 10 > 0
Miền nghiệm của bất phương trình 3x – 2y < –6 được biểu diễn bởi miền không tô đậm trong hình vẽ nào dưới đây:,,,,,A,"Ta có: 3x – 2y < –6 \Rightarrow 3x – 2y + 6 < 0. Trước hết, ta vẽ đường thẳng (d): 3x – 2y + 6 = 0. Ta thấy (0 ; 0) không phải là nghiệm của bất phương trình đã cho. Do đó miền nghiệm của bất phương trình là nửa mặt phẳng (không kể bờ (d)) và không chứa điểm (0; 0). Vậy miền không tô đậm trong hình vẽ là miền nghiệm của bất phương trình."
