question,A,B,C,D,answer,reasoning
,,,,,C,"Bất phương trình $2x^{2} + x + 1 < 0$ chứa $x^{2}$ nên không phải là bất phương trình bậc nhất hai ẩn; Bất phương trình $x – 5y^{2} + 1 > 0$ chứa $y^{2}$ nên không phải là bất phương trình bậc nhất hai ẩn; Bất phương trình $x + 1 > 0$ là bất phương trình bậc nhất hai ẩn dạng $ax + by + c < 0$ với $a = 1, b = 0, c = 1$. Bất phương trình $2y^{2} + 2 < 0$ chứa $y^{2}$ nên không phải là bất phương trình bậc nhất hai ẩn; Vậy ta chọn phương án C."
"Các câu hỏi trắc nghiệm Toán lớp 10 sách Chân trời sáng tạo có đáp án, chọn lọc khác:",,,,,C,"Bất phương trình 2x + y ≤ 0 là bất phương trình bậc nhất hai ẩn dạng ax + by + c ≤ 0 với a = 2, b = 1, c = 0. Bất phương trình x^2 + 2 > 0 không phải là bất phương trình bậc nhất hai ẩn vì chứa x^2 không phải bậc nhất. Bất phương trình 2x + 1 > 0 là bất phương trình bậc nhất hai ẩn dạng ax + by + c > 0 với a = 2, b = 0, c = 1. Bất phương trình 1 + y < 0 là bất phương trình bậc nhất hai ẩn dạng ax + by + c < 0 với a = 0, b = 1, c = 1. Do đó có 3 bất phương trình bậc nhất hai ẩn. Vậy ta chọn phương án C."
Cho các bất phương trình sau: $2x + y \leq 0$; $x^{2} + 2 > 0$; $2x + 1 > 0$; $1 + y < 0$. Có bao nhiêu bất phương trình bậc nhất hai ẩn?,1,2,3,4,C,"Bất phương trình $2x + y \leq 0$ là bất phương trình bậc nhất hai ẩn dạng $ax + by + c \leq 0$ với $a = 2, b = 1, c = 0$. Bất phương trình $x^{2} + 2 > 0$ không phải là bất phương trình bậc nhất hai ẩn vì chứa $x^{2}$ không phải bậc nhất. Bất phương trình $2x + 1 > 0$ là bất phương trình bậc nhất hai ẩn dạng $ax + by + c > 0$ với $a = 2, b = 0, c = 1$. Bất phương trình $1 + y < 0$ là bất phương trình bậc nhất hai ẩn dạng $ax + by + c < 0$ với $a = 0, b = 1, c = 1$. Do đó có 3 bất phương trình bậc nhất hai ẩn."
"Trong các cặp số sau, cặp số nào là một nghiệm của bất phương trình $2x + 5y – 7 < 0$?",5; 2,-5; 2,2; 5,-2; 5,B,Xét cặp số (–5; 2) ta có: $2.(–5) + 5.2 – 7 = –7 < 0$ nên (–5; 2) là nghiệm của bất phương trình đã cho.
"Trong các cặp số sau, cặp số nào không là nghiệm của bất phương trình x – 4y + 5 ≥ 0?",–5; 0,–2; 1,0; 0,1; –3,B,Xét cặp số (–2; 1) ta có: –2 – 4.1 + 5 = –1 < 0 nên (–2; 1) không là nghiệm của bất phương trình đã cho.
Cặp số (1; 2) là một nghiệm của bất phương trình nào sau đây?,2x - 3y - 1 > 0;,x - y < 0;,4x - 3y > 0;,x - 3y + 7 < 0;,B,Xét phương án B: Ta có 1 - 2 = -1 < 0 nên (1; 2) là một nghiệm của bất phương trình x - y < 0.
Cho bất phương trình x + y ≤ 5 (1). Chọn khẳng định đúng trong các khẳng định sau:,Bất phương trình (1) có miền nghiệm là nửa mặt phẳng không kể bờ x + y – 5 = 0 và chứa điểm O(0; 0);,Bất phương trình (1) có miền nghiệm là nửa mặt phẳng không kể bờ x + y – 5 = 0 và không chứa điểm O(0; 0);,Bất phương trình (1) có miền nghiệm là nửa mặt phẳng kể cả bờ x + y – 5 = 0 và chứa điểm O(0; 0);,Bất phương trình (1) có miền nghiệm là nửa mặt phẳng kể cả bờ x + y – 5 = 0 và không chứa điểm O(0; 0).,C,"Ta có x + y ≤ 5 \Leftrightarrow x + y – 5 ≤ 0. Trên mặt phẳng Oxy, đường thẳng d: x + y + 5 = 0 chia mặt phẳng thành hai nửa mặt phẳng. Ta thấy điểm O(0; 0) ∉ d và 0 + 0 – 5 = –5 < 0 do đó (0; 0) là một nghiệm của bất phương trình (1). Vậy miền nghiệm của (1) là nửa mặt phẳng bờ d (kể cả bờ d) chứa điểm O(0; 0)."
Miền nghiệm của bất phương trình 4(x – 1) + 5(y – 3) > 2x – 9 là nửa mặt phẳng chứa điểm:,0; 0,1; 1,–1; 1,2; 5,D,2x + 5y – 10 > 0. Xét điểm (0; 0) ta có: 2.0 + 5.0 – 10 = –10 < 0 nên (0; 0) không là nghiệm của bất phương trình đã cho. Xét điểm (1; 1) ta có: 2.1 + 5.1 – 10 = –3 < 0 nên (1; 1) không là nghiệm của bất phương trình đã cho. Xét điểm (–1; 1) ta có: 2.(–1) + 5.1 – 10 = –7 < 0 nên (–1; 1) không là nghiệm của bất phương trình đã cho. Xét điểm (2; 5) ta có: 2.2 + 5.5 – 10 = 19 > 0 nên (2; 5) là một nghiệm của bất phương trình đã cho. Khi đó miền nghiệm của bất phương trình 4(x – 1) + 5(y – 3) > 2x – 9 là nửa mặt phẳng chứa điểm (2; 5).
Miền nghiệm của bất phương trình x + 3 + 2(2y + 5) < 2(1 – x) là mặt phẳng không chứa điểm,(-3; –4);,(-2; –5);,(0; 0);,(-1; –6).,C,3x + 4y + 11 < 0. Xét điểm (–3; –4) ta có: 3.(–3) + 4.(–4) + 11 = –14 < 0 nên (–3; –4) là một nghiệm của bất phương trình đã cho. Xét điểm (–2; –5) ta có: 3.(–2) + 4.(–5) + 11 = –15 < 0 nên (–2; –5) là một nghiệm của bất phương trình đã cho. Xét điểm (0; 0) ta có: 3.0 + 4.0 + 11 = 11 > 0 nên (0; 0) là không là nghiệm của bất phương trình đã cho. Xét điểm (–1; –6) ta có: 3.(–1) + 4.(–6) + 11 = –16 < 0 nên (–1; –6) là một nghiệm của bất phương trình đã cho. Do đó miền nghiệm của bất phương trình đã cho là nửa mặt phẳng không chứa điểm (0; 0).
Miền nghiệm của bất phương trình 3x – 2y < –6 được biểu diễn bởi miền không tô đậm trong hình vẽ nào dưới đây:,,,,,A,"Ta có: 3x – 2y < –6 ⇔ 3x – 2y + 6 < 0. Trước hết, ta vẽ đường thẳng (d): 3x – 2y + 6 = 0. Ta thấy (0 ; 0) không phải là nghiệm của bất phương trình đã cho. Do đó miền nghiệm của bất phương trình là nửa mặt phẳng (không kể bờ (d)) và không chứa điểm (0; 0)."
