question,A,B,C,D,answer,reasoning
"Bảng biến thiên có bề lõm hướng xuống nên a < 0. Do đó, loại đáp án A và B.",,,,Đỉnh của parabol có tọa độ là $-rac{1}{2};rac{3}{2}$.,D,"Xét các đáp án còn lại: - Thay x = $-rac{1}{2}$; y = $rac{3}{2}$ vào phương trình $y=-2x^2-2x+1$: $rac{3}{2} = -2.left(-rac{1}{2}ight)^2-2.left(-rac{1}{2}ight)+1$. Như vậy điểm $-rac{1}{2};rac{3}{2}$ không thuộc đồ thị của hàm số. - Thay x = $-rac{1}{2}$; y = $rac{3}{2}$ vào phương trình $y=-2x^2-2x+1$: $rac{3}{2} = -2.left(-rac{1}{2}ight)^2-2.left(-rac{1}{2}ight)+1$. Như vậy $-rac{1}{2};rac{3}{2}$ thuộc đồ thị hàm số."
"Hệ số a=−2nên bề lõm hướng xuống. Loại A, C. Ta có: Trục đối xứng x = −b/2a=1, thay giá trị x = 1 vào phương trình y=−2x²+4x+1=3. Như vậy, đáp án đúng là D.",,,,,D,"Hệ số a=−2nên bề lõm hướng xuống. Loại A, C. Ta có: Trục đối xứng x = −b/2a=1, thay giá trị x = 1 vào phương trình y=−2x²+4x+1=3. Như vậy, đáp án đúng là D."
Câu 2. Bảng biến thiên của hàm số y = -2x^2 + 4x + 1 là bảng nào trong các bảng được cho sau đây?,"A. <img alt=""15 Bài tập Hàm số bậc hai. Đồ thị hàm số bậc hai và ứng dụng (có đáp án) | Cánh diều Trắc nghiệm Toán 10"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-2-ham-so-bac-hai-do-thi-ham-so-bac-hai-va-ung-dung-150933.PNG"">","B. <img alt=""15 Bài tập Hàm số bậc hai. Đồ thị hàm số bậc hai và ứng dụng (có đáp án) | Cánh diều Trắc nghiệm Toán 10"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-2-ham-so-bac-hai-do-thi-ham-so-bac-hai-va-ung-dung-150934.PNG"">","C. <img alt=""15 Bài tập Hàm số bậc hai. Đồ thị hàm số bậc hai và ứng dụng (có đáp án) | Cánh diều Trắc nghiệm Toán 10"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-2-ham-so-bac-hai-do-thi-ham-so-bac-hai-va-ung-dung-150935.PNG"">","D. <img alt=""15 Bài tập Hàm số bậc hai. Đồ thị hàm số bậc hai và ứng dụng (có đáp án) | Cánh diều Trắc nghiệm Toán 10"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-2-ham-so-bac-hai-do-thi-ham-so-bac-hai-va-ung-dung-150936.PNG"">",D,"Hệ số a > 0 nên bề lõm hướng lên. Loại A, C."
Đồ thị sau đây là đồ thị của hàm số nào trong các phương án dưới đây?,y = -x^2 + 4x - 9,y = x^2 - 4x - 1,y = -x^2 + 4x,y = x^2 - 4x - 5,B,"Bảng biến thiên có bề lõm hướng lên nên a > 0. Do đó, loại đáp án A và C. Đỉnh của parabol có tọa độ là (2; -5). Xét các đáp án còn lại, ta có: - Thay x = 2; y = -5 vào phương trình y = x^2 - 4x - 1: -5 = 2^2 - 4.2 - 1 = -5. Như vậy điểm (2; -5) thuộc đồ thị của hàm số."
Đồ thị sau đây là đồ thị của hàm số nào trong các phương án dưới đây?,y = -x^2 + 3x - 1,y = -2x^2 + 3x - 1,y = 2x^2 - 3x + 1,y = x^2 - 3x + 1,C,"Parabol có bề lõm hướng lên nên a > 0. Loại đáp án A, B. Parabol cắt trục hoành tại điểm (1; 0), thay x = 1; y = 0 vào các phương trình: - Thay x = 1; y = 0 vào y = 2x^2 - 3x + 1: 0 = 2.1^2 - 3.1 + 1 = 0 như vậy điểm (1; 0) thuộc đồ thị hàm số."
Đồ thị sau đây là đồ thị của hàm số nào trong các phương án dưới đây?,y = -3x^2 - 6x,y = 3x^2 + 6x + 1,y = x^2 + 2x + 1,y = -x^2 - 2x + 1,B,"Parabol có bề lõm hướng lên nên a > 0. Loại đáp án A, D. Parabol cắt trục hoành tại 2 điểm phân biệt có hoành độ âm, như vậy phương trình khi y = 0 phải có hai nghiệm âm. Xét 3x^2 + 6x + 1 = 0 ⇔ Phương trình có hai nghiệm âm. Xét x^2 + 2x + 1 = 0 ⇔ x = -1"
Đồ thị sau đây là đồ thị của hàm số nào trong các phương án dưới đây?,y = x^2 - 2x + 3/2,y = -1/2x^2 + x + 5/2,y = x^2 - 2x,y = -1/2x^2 + x + 3/2,D,"Parabol có bề lõm hướng xuống nên a < 0. Loại đáp án A, C. Parabol cắt trục hoành tại 2 điểm 3 và -1 như vậy phương trình hoành độ sẽ có hai nghiệm 3 và -1."
Đồ thị sau đây là đồ thị của hàm số nào trong các phương án dưới đây?,y = -2x^2 + x - 1,y = -2x^2 + x + 3,y = x^2 + x + 3,y = -x^2 + 1/2x + 3,D,"Bề lõm quay xuống nên a < 0 nên loại C. Đồ thị hàm số cắt trục hoành tại hai điểm phân biệt nên loại A. Xét phương trình hoành độ giao điểm của hàm số với trục hoành ở đáp án B, ta có ... Quan sát đồ thị ta thấy đồ thị hàm số không cắt trục hoành tại điểm có hoành độ bằng -1. Do đó đáp án B không phù hợp. Dùng phương pháp loại trừ, thì D là đáp án đúng."
Đồ thị sau đây là đồ thị của hàm số nào trong các phương án dưới đây?,y = -x^2 + 2x,y = -x^2 + 2x - 1,y = x^2 - 2x,y = x^2 - 2x + 1,B,"Bề lõm quay xuống nên a < 0 ta loại C, D. Đồ thị hàm số đi qua điểm (1; 0), thay x = 1; y = 0 vào các hàm số còn lại ta được: - Xét hàm số y = -x^2 + 2x ta có: 0 = -1/2 + 2.1 = 1 (Vô lý) như vậy điểm (1; 0) không thuộc đồ thị - Xét hàm số y = -x^2 + 2x - 1 ta có: 0 = -1/2 + 2.1 - 1 = 0 như vậy điểm (1; 0) thuộc đồ thị hàm số."
Cho hàm số y = ax^2 + bx + c có đồ thị như hình sau. Khẳng định nào sau đây đúng?,"a > 0, b < 0, c < 0","a > 0, b < 0, c > 0","a > 0, b > 0, c > 0","a < 0, b < 0, c > 0",B,Bề lõm hướng lên nên a > 0. Hoành độ đỉnh parabol x = -b/2a > 0 (vì a > 0) nên b < 0. Parabol cắt trục tung tại điểm có tung độ dương nên c > 0
