question,A,B,C,D,answer,reasoning
Theo bảng tần số trên thì cỡ áo 38 bán được với số lượng nhiều nhất trong một quý.,38,,,,A,Nên mốt của mẫu số liệu là 38
,,,,,C,"Sắp xếp các số liệu theo thứ tự tăng dần ta được: 2,5; 3,0; 6,5; 6,7; 6,9; 7,2; 8,4. Ta thấy bảng số liệu trên có 7 giá trị nên trung vị là số liệu đứng ở vị trí 4. Vậy trung vị M$_e$ = 6,7."
"Tiền lương hàng tháng của 7 nhân viên trong một công ty du lịch lần lượt là 6,5; 8,4; 6,9; 7,2; 2,5; 6,7; 3,0 (đơn vị: triệu đồng). Trung vị của mẫu số liệu trên là","6,8 triệu đồng;","7,2 triệu đồng;","6,7 triệu đồng;","6,9 triệu đồng.",C,"Sắp xếp các số liệu theo thứ tự tăng dần ta được: 2,5; 3,0; 6,5; 6,7; 6,9; 7,2; 8,4. Ta thấy bảng số liệu trên có 7 giá trị nên trung vị là số liệu đứng ở vị trí 4. Vậy trung vị Me = 6,7."
Kết quả kiểm tra 15 phút môn toán của 100 học sinh được trình bày ở bảng sau: ... Điểm trung bình môn Toán của các học sinh nói trên là:,"6,88","7,12","6,5","7,22",A,"x¯ = (3.3 + 4.5 + 5.11 + 6.17 + 7.30 + 8.19 + 9.10 + 10.5) / 100 = 6,88"
"Cho tam giác ABC có độ dài ba cạnh: a = 13cm ± 0,2cm; b = 11, 2cm ± 0,2cm; c = 7cm ± 0,1cm. Tính chu vi P của tam giác đã cho.","P = 31, 2cm ± 0, 2cm;","P = 31, 2cm ± 1cm;","P = 31, 2cm ± 0,5cm;","P = 31, 2cm ± 2cm.",C,"Chu vi tam giác là: P = a + b + c = (13 + 11, 2 + 7) ± (0,2 + 0,2 + 0,1) = 31, 2 ± 0,5."
Cho dãy số liệu thống kê:1; 2; 3; 4; 5; 6; 7. Phương sai của mẫu số liệu trên là,1,2,3,4,D,Ta có: \bar{x} = \frac{1+2+3+4+5+6+7}{7} = 4. s^2 = \frac{(1-4)^2 + (2-4)^2 + (3-4)^2 + (4-4)^2 + (5-4)^2 + (6-4)^2 + (7-4)^2}{7} = 4
Nếu đơn vị đo của số liệu là kg thì đơn vị của độ lệch chuẩn là,\frac{kg}{2},Không có đơn vị;,kg²;,kg.,D,Độ lệch chuẩn của số liệu thống kê có cùng đơn vị với đơn vị của các số liệu trong mẫu thống kê.
"Theo kết quả thống kê điểm thi giữa kì 2 môn toán khối 10 của một trường THPT , người ta tính được phương sai của mẫu số liệu đó là s^2 = 0,64. Độ lệch chuẩn của mẫu số liệu đó bằng:","0,4096;","0,77;","0,8;","0,64;",C,"Ta có s = sqrt(s^2) = sqrt(0,64) = 0,8"
Biểu đồ sau thể hiện tổng nợ nước ngoài của nhóm nước đang phát triẻn trong giai đoạn 1990 đến 2004. Hãy tìm khoảng biến thiên của mẫu số liệu đó.,2724,1414,1310,4034,B,Ta có: x_{max} = 2724 và x_{min} = 1310 ⇒ R = x_{max} - x_{min} = 2724 – 1310 = 1414.
Gieo 1 con xúc xắc . Số phần tử của không gian mẫu là:,5;,6;,8;,0;,B,$Omega = {1; 2; 3; 4; 5; 6} Rightarrow n(Omega) = 6$
