question,A,B,C,D,answer,reasoning
Các số tự nhiên nhỏ hơn hoặc bằng 5 gồm: 0; 1; 2; 3; 4; 5 nên tập A = {0; 1; 2; 3; 4; 5},,,0; 1; 2; 3; 4; 5,,C,Các số tự nhiên nhỏ hơn hoặc bằng 5 gồm: 0; 1; 2; 3; 4; 5 nên tập A = {0; 1; 2; 3; 4; 5}
Hình vẽ biểu diễn tập hợp (–3;2],,,,Hình vẽ biểu diễn tập hợp (–3;2],D,Hình vẽ biểu diễn tập hợp (–3;2]
Hình vẽ dưới đây biểu diễn tập hợp nào?,(-3; 2),[(-3; 2),[(-3; 2],(−3; 2],D,Hình vẽ biểu diễn tập hợp (−3; 2]
"Cho tập hợp A ≠ ∅. Trong các mệnh đề sau, mệnh đề nào SAI?",A ∩ A = A,A ∩ ∅ = A,A ∪ ∅ = A,A ∩ ∅ = ∅,B,Vì A ∩ ∅ = ∅
Xác định tập hợp B = {x ∈ ℤ | -2 ≤ x < 3} bằng cách liệt kê các phần tử.,B = {–2; –1; 0; 1; 2},B = {0; 1; 2},B = {–2; –1; 0; 1; 2},B = {–1; 0; 1; 2},C,Các số nguyên lớn hơn hoặc bằng 2 và nhỏ hơn 3 gồm –2; –1; 0; 1; 2. Do đó: B = {–2; –1; 0; 1; 2}.
"Trong các đáp án dưới đây, cách viết khác của tập D = {x ∈ ℝ | x ≠ -3} là",ℝ \ {-3},(–3; +∞),(−∞; −3),{−3},A,Tập D = {x ∈ ℝ | x ≠ -3} = ℝ \ {-3}
"Câu 6. Sử dụng các kí hiệu đoạn, khoảng, nửa khoảng để viết tập hợp A = {x ∈ ℝ | -3 ≤ x ≤ 5}.",[-3; 5),[-3; 5],(–3; 5),(–3; 5],B,Ta có A = [–3; 5].
Cho tập hợp A = [−2; 4] và B = (0; 5]. Khẳng định nào sau đây là SA?,[−2; 5],(0; 4],[−2; 0],(4 ; 5],B,A ∩ B = (0; 4] và A ∪ B = [−2; 5]
Cho A = [−7; +∞). Tập hợp CℝA là:, (−∞; −7);, (−∞; −7], (−7; +∞);,[−7; +∞).,A,CℝA = ℝ\A = ℝ − [−7; +∞) = (−∞; −7]
Cho A = [−7; +∞). Tập hợp CℝA là:, (−∞; −7);, (−∞; −7];, (−7; +∞);,[−7; +∞).,A,Xác định tập hợp A\ B bằng cách lấy các phần tử thuộc A nhưng không thuộc B. Do đó: A\ B = {x ∈ A | x ∉ B} = {1; 4}.
Cho A = {1; 3; 4; 7} và B = {3; 5; 7; 10} . Tập A\ B là:,1; 4,3; 7,5; 10,,A,\[A\B = \{x\in A|x\notin B\} = \{1; 4\}
Cho hai tập A = [−2; 1] và B = (0; +∞). Tập hợp A ∪ B là:, [1; +∞), [−2;0],(0; 1],[−2; +∞),D,Suy ra A ∪ B = [−2;+∞)
"Cho A = (−∞;−2], B = [3; +∞) và C = (0; 4). Khi đó, (A ∪ B) ∩ C là: ",A. [3; 4]; ,B. (−∞; −2] ∪ (3; +∞); ,C. [3; 4); ,D. (−∞; −2) ∪ [3; +∞).,C,Ta có A ∪ B = (−∞; −2] ∪ [3; +∞). Suy ra (A ∪ B) ∩ C = [3; 4).
"Cho A = (−∞;−2], B = [3; +∞) và C = (0; 4). Khi đó, (A ∪ B) ∩ C là:",[3; 4];,(−∞; −2] ∪ (3; +∞);,[3; 4);,(−∞; −2) ∪ [3; +∞).,C,Ta có A ∪ B = (−∞; −2) ∪ [3; +∞). Suy ra (A ∪ B) ∩ C = [3; 4).
Cho A = {0; 1; 2}. Số tập con của A là:,5,6,7,8,D,Tập A có 3 phần tử nên số tập con của A là 2^3 = 8 tập hợp.
